subject_id,fold_id,accuracy,balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,n_train,n_test,embedding_dim
1,0,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
1,1,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
1,2,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
1,3,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
1,4,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
1,5,0.3125,0.3125,0.625,0.0,"[[5, 3], [8, 0]]",False,0.8125,"[13, 3]",24,16,20
1,6,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
1,7,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
1,8,0.6875,0.6875,0.625,0.75,"[[5, 3], [2, 6]]",False,0.5625,"[7, 9]",24,16,20
1,9,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
2,0,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
2,1,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
2,2,0.625,0.625,0.625,0.625,"[[5, 3], [3, 5]]",False,0.5,"[8, 8]",24,16,20
2,3,0.6875,0.6875,0.375,1.0,"[[3, 5], [0, 8]]",False,0.8125,"[3, 13]",24,16,20
2,4,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
2,5,0.625,0.625,0.875,0.375,"[[7, 1], [5, 3]]",False,0.75,"[12, 4]",24,16,20
2,6,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
2,7,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
2,8,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
2,9,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
3,0,0.5,0.5,0.125,0.875,"[[1, 7], [1, 7]]",False,0.875,"[2, 14]",24,16,20
3,1,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
3,2,0.5,0.5,0.875,0.125,"[[7, 1], [7, 1]]",False,0.875,"[14, 2]",24,16,20
3,3,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
3,4,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
3,5,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
3,6,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
3,7,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
3,8,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
3,9,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
4,0,0.625,0.625,0.375,0.875,"[[3, 5], [1, 7]]",False,0.75,"[4, 12]",24,16,20
4,1,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
4,2,0.625,0.625,0.75,0.5,"[[6, 2], [4, 4]]",False,0.625,"[10, 6]",24,16,20
4,3,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
4,4,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
4,5,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
4,6,0.625,0.625,0.75,0.5,"[[6, 2], [4, 4]]",False,0.625,"[10, 6]",24,16,20
4,7,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
4,8,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
4,9,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
5,0,0.25,0.25,0.125,0.375,"[[1, 7], [5, 3]]",False,0.625,"[6, 10]",24,16,20
5,1,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
5,2,0.75,0.75,0.625,0.875,"[[5, 3], [1, 7]]",False,0.625,"[6, 10]",24,16,20
5,3,0.5625,0.5625,0.875,0.25,"[[7, 1], [6, 2]]",False,0.8125,"[13, 3]",24,16,20
5,4,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
5,5,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
5,6,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
5,7,0.625,0.625,0.875,0.375,"[[7, 1], [5, 3]]",False,0.75,"[12, 4]",24,16,20
5,8,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
5,9,0.6875,0.6875,0.875,0.5,"[[7, 1], [4, 4]]",False,0.6875,"[11, 5]",24,16,20
6,0,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
6,1,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
6,2,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
6,3,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
6,4,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
6,5,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
6,6,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
6,7,0.625,0.625,0.875,0.375,"[[7, 1], [5, 3]]",False,0.75,"[12, 4]",24,16,20
6,8,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
6,9,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
7,0,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
7,1,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
7,2,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
7,3,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
7,4,0.25,0.25,0.125,0.375,"[[1, 7], [5, 3]]",False,0.625,"[6, 10]",24,16,20
7,5,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
7,6,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
7,7,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
7,8,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
7,9,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
8,0,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
8,1,0.6875,0.6875,0.625,0.75,"[[5, 3], [2, 6]]",False,0.5625,"[7, 9]",24,16,20
8,2,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
8,3,0.375,0.375,0.0,0.75,"[[0, 8], [2, 6]]",False,0.875,"[2, 14]",24,16,20
8,4,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
8,5,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
8,6,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
8,7,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
8,8,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
8,9,0.5,0.5,0.25,0.75,"[[2, 6], [2, 6]]",False,0.75,"[4, 12]",24,16,20
9,0,0.1875,0.1875,0.125,0.25,"[[1, 7], [6, 2]]",False,0.5625,"[7, 9]",24,16,20
9,1,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
9,2,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
9,3,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
9,4,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
9,5,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
9,6,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
9,7,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
9,8,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
9,9,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
10,0,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
10,1,0.3125,0.3125,0.125,0.5,"[[1, 7], [4, 4]]",False,0.6875,"[5, 11]",24,16,20
10,2,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
10,3,0.4375,0.4375,0.75,0.125,"[[6, 2], [7, 1]]",False,0.8125,"[13, 3]",24,16,20
10,4,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
10,5,0.4375,0.4375,0.75,0.125,"[[6, 2], [7, 1]]",False,0.8125,"[13, 3]",24,16,20
10,6,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
10,7,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
10,8,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
10,9,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
11,0,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
11,1,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
11,2,0.25,0.25,0.25,0.25,"[[2, 6], [6, 2]]",False,0.5,"[8, 8]",24,16,20
11,3,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
11,4,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
11,5,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
11,6,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
11,7,0.5,0.5,0.75,0.25,"[[6, 2], [6, 2]]",False,0.75,"[12, 4]",24,16,20
11,8,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
11,9,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
12,0,0.5,0.5,0.25,0.75,"[[2, 6], [2, 6]]",False,0.75,"[4, 12]",24,16,20
12,1,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
12,2,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
12,3,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
12,4,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
12,5,0.5,0.5,0.25,0.75,"[[2, 6], [2, 6]]",False,0.75,"[4, 12]",24,16,20
12,6,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
12,7,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
12,8,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
12,9,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
13,0,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
13,1,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
13,2,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
13,3,0.4375,0.4375,0.75,0.125,"[[6, 2], [7, 1]]",False,0.8125,"[13, 3]",24,16,20
13,4,0.25,0.25,0.25,0.25,"[[2, 6], [6, 2]]",False,0.5,"[8, 8]",24,16,20
13,5,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
13,6,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
13,7,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
13,8,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
13,9,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
14,0,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
14,1,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
14,2,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
14,3,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
14,4,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
14,5,0.625,0.625,0.375,0.875,"[[3, 5], [1, 7]]",False,0.75,"[4, 12]",24,16,20
14,6,0.6875,0.6875,1.0,0.375,"[[8, 0], [5, 3]]",False,0.8125,"[13, 3]",24,16,20
14,7,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
14,8,0.5625,0.5625,0.125,1.0,"[[1, 7], [0, 8]]",False,0.9375,"[1, 15]",24,16,20
14,9,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
15,0,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
15,1,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
15,2,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
15,3,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
15,4,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
15,5,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
15,6,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
15,7,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
15,8,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
15,9,0.75,0.75,0.875,0.625,"[[7, 1], [3, 5]]",False,0.625,"[10, 6]",24,16,20
16,0,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
16,1,0.6875,0.6875,0.75,0.625,"[[6, 2], [3, 5]]",False,0.5625,"[9, 7]",24,16,20
16,2,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
16,3,0.625,0.625,0.375,0.875,"[[3, 5], [1, 7]]",False,0.75,"[4, 12]",24,16,20
16,4,0.1875,0.1875,0.0,0.375,"[[0, 8], [5, 3]]",False,0.6875,"[5, 11]",24,16,20
16,5,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
16,6,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
16,7,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
