subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,n_folds,n_collapsed_folds
1,0.43125,0.10625,0.43125,0.10625,10,0
2,0.51875,0.11875000000000001,0.51875,0.11875000000000001,10,0
3,0.425,0.09185586535436918,0.425,0.09185586535436918,10,0
4,0.51875,0.0840851502942107,0.51875,0.0840851502942107,10,0
5,0.525,0.1403121520040228,0.525,0.1403121520040228,10,0
6,0.51875,0.06281172263200557,0.51875,0.06281172263200557,10,0
7,0.40625,0.0894863816454772,0.40625,0.0894863816454772,10,0
8,0.4625,0.09354143466934853,0.4625,0.09354143466934853,10,0
9,0.4625,0.1015504800579495,0.4625,0.1015504800579495,10,0
10,0.44375,0.06525191568069093,0.44375,0.06525191568069093,10,0
11,0.41875,0.11875000000000001,0.41875,0.11875000000000001,10,0
12,0.40625,0.08500919067959652,0.40625,0.08500919067959652,10,0
13,0.39375,0.1084334473306092,0.39375,0.1084334473306092,10,0
14,0.475,0.1375,0.475,0.1375,10,0
15,0.525,0.10532687216470447,0.525,0.10532687216470447,10,0
16,0.45,0.14197270864500683,0.45,0.14197270864500683,10,0
17,0.48125,0.14537129187016257,0.48125,0.14537129187016257,10,0
18,0.44375,0.14644218142324977,0.44375,0.14644218142324977,10,0
19,0.45,0.15761900266148113,0.45,0.15761900266148113,10,0
20,0.39375,0.09291292967074066,0.39375,0.09291292967074066,10,0
21,0.45,0.10752906583803283,0.45,0.10752906583803283,10,0
22,0.3875,0.1334634781503914,0.3875,0.1334634781503914,10,0
23,0.475,0.1015504800579495,0.475,0.1015504800579495,10,0
24,0.4875,0.1334634781503914,0.4875,0.1334634781503914,10,0
25,0.4625,0.09354143466934853,0.4625,0.09354143466934853,10,0
26,0.425,0.11456439237389601,0.425,0.11456439237389601,10,0
27,0.5125,0.09185586535436918,0.5125,0.09185586535436918,10,0
28,0.39375,0.07930360962780951,0.39375,0.07930360962780951,10,0
29,0.4,0.16345871038277524,0.4,0.16345871038277524,10,0
30,0.4125,0.1159202311936963,0.4125,0.1159202311936963,10,0
31,0.425,0.11456439237389601,0.425,0.11456439237389601,10,0
32,0.4875,0.0960143218483576,0.4875,0.0960143218483576,10,0
33,0.4625,0.09354143466934853,0.4625,0.09354143466934853,10,0
34,0.425,0.0960143218483576,0.425,0.0960143218483576,10,0
35,0.425,0.15000000000000002,0.425,0.15000000000000002,10,0
36,0.36875,0.10250762166785454,0.36875,0.10250762166785454,10,0
37,0.4125,0.1125,0.4125,0.1125,10,0
38,0.44375,0.07098635432250341,0.44375,0.07098635432250341,10,0
39,0.49375,0.090355201842506,0.49375,0.090355201842506,10,0
40,0.39375,0.10097184013377196,0.39375,0.10097184013377196,10,0
41,0.40625,0.1288470508005519,0.40625,0.1288470508005519,10,0
42,0.475,0.12247448713915891,0.475,0.12247448713915891,10,0
43,0.475,0.14842927608797396,0.475,0.14842927608797396,10,0
44,0.4375,0.08838834764831845,0.4375,0.08838834764831845,10,0
45,0.46875,0.15625,0.46875,0.15625,10,0
46,0.34375,0.10915155747858113,0.34375,0.10915155747858113,10,0
47,0.40625,0.13764197215965776,0.40625,0.13764197215965776,10,0
48,0.425,0.082915619758885,0.425,0.082915619758885,10,0
49,0.425,0.1243734296383275,0.425,0.1243734296383275,10,0
50,0.4,0.1015504800579495,0.4,0.1015504800579495,10,0
