subject,n_trials,cov_source,shipped_fb_leaky,shipped_fb_honest_acc,shipped_fb_honest_bacc,twfb_leaky,twfb_honest_acc,twfb_honest_bacc,fixed_8_12,fixed_8_20,fixed_8_30,fixed_12_20,fixed_15_20,fixed_15_30,fixed_20_30,fixed_8_15
1,40,computed,0.64375,0.45625,0.45625,0.75,0.4625,0.4625,0.35625,0.45625,0.49375,0.525,0.58125,0.48125,0.5,0.4625
2,40,computed,0.625,0.51875,0.51875,0.75625,0.475,0.475,0.40625,0.45625,0.5375,0.50625,0.54375,0.5,0.50625,0.4875
3,40,computed,0.63125,0.4875,0.4875,0.76875,0.55,0.55,0.51875,0.4625,0.48125,0.525,0.48125,0.45625,0.4375,0.4875
4,40,computed,0.6375,0.48125,0.48125,0.775,0.56875,0.56875,0.45,0.56875,0.5875,0.49375,0.4875,0.49375,0.51875,0.48125
5,40,computed,0.6125,0.4625,0.4625,0.7375,0.5375,0.5375,0.5625,0.58125,0.4375,0.53125,0.38125,0.4625,0.44375,0.5875
6,40,computed,0.54375,0.49375,0.49375,0.725,0.45625,0.45625,0.4,0.40625,0.45,0.4875,0.51875,0.475,0.45,0.3875
7,40,computed,0.80625,0.73125,0.73125,0.83125,0.56875,0.56875,0.78125,0.73125,0.68125,0.64375,0.55,0.7125,0.725,0.66875
8,40,computed,0.6125,0.4125,0.4125,0.74375,0.4625,0.4625,0.48125,0.45,0.44375,0.46875,0.35,0.5,0.4875,0.425
9,40,computed,0.6375,0.4625,0.4625,0.7875,0.6,0.6,0.53125,0.55,0.525,0.49375,0.4125,0.41875,0.425,0.575
10,40,computed,0.7125,0.55,0.55,0.7875,0.53125,0.53125,0.61875,0.56875,0.5625,0.575,0.6,0.5375,0.45,0.51875
11,40,computed,0.69375,0.525,0.525,0.75,0.45625,0.45625,0.6,0.55625,0.55625,0.56875,0.5625,0.50625,0.475,0.56875
12,40,computed,0.66875,0.425,0.425,0.75625,0.49375,0.49375,0.44375,0.4625,0.4,0.44375,0.4625,0.4375,0.54375,0.49375
13,40,computed,0.7375,0.49375,0.49375,0.79375,0.5,0.5,0.53125,0.51875,0.5625,0.45625,0.44375,0.4875,0.55625,0.575
14,40,computed,0.6125,0.525,0.525,0.775,0.5375,0.5375,0.48125,0.5,0.5125,0.54375,0.6,0.48125,0.45625,0.475
15,40,computed,0.65,0.46875,0.46875,0.73125,0.44375,0.44375,0.55,0.56875,0.55,0.50625,0.5375,0.46875,0.4125,0.6
16,40,computed,0.575,0.375,0.375,0.7125,0.45625,0.45625,0.29375,0.41875,0.44375,0.44375,0.475,0.46875,0.4125,0.36875
17,40,computed,0.58125,0.53125,0.53125,0.71875,0.45625,0.45625,0.58125,0.40625,0.425,0.41875,0.45,0.4375,0.41875,0.475
18,40,computed,0.69375,0.5,0.5,0.8375,0.625,0.625,0.53125,0.5625,0.6625,0.4375,0.575,0.6375,0.5875,0.58125
19,40,computed,0.66875,0.54375,0.54375,0.79375,0.45,0.45,0.5375,0.58125,0.58125,0.55,0.49375,0.4625,0.36875,0.5375
20,40,computed,0.8375,0.6625,0.6625,0.9,0.75625,0.75625,0.59375,0.68125,0.6875,0.7,0.7125,0.73125,0.73125,0.64375
21,40,computed,0.6375,0.53125,0.53125,0.71875,0.43125,0.43125,0.5125,0.51875,0.5125,0.475,0.4625,0.5625,0.50625,0.51875
