target,branch,strategy,K,rep,source_cap,calibration_upweight,n_source_train,n_cal_train,n_test,target_ea,balanced_accuracy
7,riemann,transfer_only,0,0,24,none,24,0,40,none,0.4
7,riemann,transfer_only,0,0,48,none,48,0,40,none,0.44999999999999996
7,riemann,transfer_only,0,0,96,none,96,0,40,none,0.5
7,riemann,transfer_only,0,0,200,none,200,0,40,none,0.55
7,riemann,transfer_only,0,0,all,none,1960,0,40,none,0.475
7,sjepa,transfer_only,0,0,24,none,24,0,40,none,0.65
7,sjepa,transfer_only,0,0,48,none,48,0,40,none,0.375
7,sjepa,transfer_only,0,0,96,none,96,0,40,none,0.375
7,sjepa,transfer_only,0,0,200,none,200,0,40,none,0.45
7,sjepa,transfer_only,0,0,all,none,1960,0,40,none,0.42500000000000004
7,fusion,transfer_only,0,0,24,none,24,0,40,none,0.475
7,fusion,transfer_only,0,0,48,none,48,0,40,none,0.375
7,fusion,transfer_only,0,0,96,none,96,0,40,none,0.5
7,fusion,transfer_only,0,0,200,none,200,0,40,none,0.425
7,fusion,transfer_only,0,0,all,none,1960,0,40,none,0.55
7,riemann,transfer_only,0,1,24,none,24,0,40,none,0.475
7,riemann,transfer_only,0,1,48,none,48,0,40,none,0.475
7,riemann,transfer_only,0,1,96,none,96,0,40,none,0.30000000000000004
7,riemann,transfer_only,0,1,200,none,200,0,40,none,0.5
7,riemann,transfer_only,0,1,all,none,1960,0,40,none,0.475
7,sjepa,transfer_only,0,1,24,none,24,0,40,none,0.475
7,sjepa,transfer_only,0,1,48,none,48,0,40,none,0.275
7,sjepa,transfer_only,0,1,96,none,96,0,40,none,0.625
7,sjepa,transfer_only,0,1,200,none,200,0,40,none,0.45
7,sjepa,transfer_only,0,1,all,none,1960,0,40,none,0.42500000000000004
7,fusion,transfer_only,0,1,24,none,24,0,40,none,0.525
7,fusion,transfer_only,0,1,48,none,48,0,40,none,0.42500000000000004
7,fusion,transfer_only,0,1,96,none,96,0,40,none,0.3
7,fusion,transfer_only,0,1,200,none,200,0,40,none,0.525
7,fusion,transfer_only,0,1,all,none,1960,0,40,none,0.55
7,riemann,transfer_only,0,2,24,none,24,0,40,none,0.475
7,riemann,transfer_only,0,2,48,none,48,0,40,none,0.55
7,riemann,transfer_only,0,2,96,none,96,0,40,none,0.5
7,riemann,transfer_only,0,2,200,none,200,0,40,none,0.575
7,riemann,transfer_only,0,2,all,none,1960,0,40,none,0.475
7,sjepa,transfer_only,0,2,24,none,24,0,40,none,0.625
7,sjepa,transfer_only,0,2,48,none,48,0,40,none,0.275
7,sjepa,transfer_only,0,2,96,none,96,0,40,none,0.6
7,sjepa,transfer_only,0,2,200,none,200,0,40,none,0.375
7,sjepa,transfer_only,0,2,all,none,1960,0,40,none,0.42500000000000004
7,fusion,transfer_only,0,2,24,none,24,0,40,none,0.55
7,fusion,transfer_only,0,2,48,none,48,0,40,none,0.425
