branch,strategy,K,source_cap,calibration_upweight,mean_balanced_accuracy,std_balanced_accuracy,n
fusion,transfer_only,0,200,none,0.505,0.06257199243501949,60
fusion,transfer_only,4,96,none,0.5111111111111112,0.06788744176906131,60
fusion,transfer_only,8,200,none,0.5098958333333333,0.06916086461438317,60
fusion,transfer_only,12,200,none,0.5047619047619047,0.08534693949234648,60
fusion,transfer_only,16,96,none,0.5138888888888888,0.06169045705903929,60
fusion,transfer_only,24,200,none,0.5135416666666667,0.09495459627162525,60
riemann,transfer_only,0,200,none,0.5083333333333333,0.06388991238024046,60
riemann,transfer_only,4,96,none,0.5083333333333333,0.04611389050684552,60
riemann,transfer_only,8,200,none,0.509375,0.06414673822903022,60
riemann,transfer_only,12,200,none,0.5041666666666667,0.09231347331245746,60
riemann,transfer_only,16,48,none,0.5048611111111111,0.06513587975253134,60
riemann,transfer_only,24,96,none,0.5020833333333333,0.0670649297491609,60
sjepa,transfer_only,0,all,none,0.5291666666666667,0.08287302246875845,60
sjepa,transfer_only,4,all,none,0.5282407407407407,0.08997274509235872,60
sjepa,transfer_only,8,all,none,0.5307291666666667,0.08543485837009102,60
sjepa,transfer_only,12,all,none,0.5261904761904762,0.09991060226321422,60
sjepa,transfer_only,16,all,none,0.5375,0.10975812304512111,60
sjepa,transfer_only,24,all,none,0.5354166666666667,0.1343764370570904,60
