branch,strategy,K,source_cap,calibration_upweight,mean_balanced_accuracy,std_balanced_accuracy,n
fusion,transfer_only,0,200,none,0.505,0.06257199243501949,60
fusion,transfer_only,0,24,none,0.505,0.05344092255369315,60
fusion,transfer_only,0,48,none,0.4895833333333333,0.05863772478841229,60
fusion,transfer_only,0,96,none,0.4979166666666667,0.062145889501405524,60
fusion,transfer_only,0,all,none,0.4708333333333333,0.05128985979230329,60
fusion,transfer_only,4,200,none,0.49212962962962964,0.06009941253954586,60
fusion,transfer_only,4,24,none,0.5069444444444444,0.05231234960221108,60
fusion,transfer_only,4,48,none,0.5,0.05808732089460765,60
fusion,transfer_only,4,96,none,0.5111111111111112,0.06788744176906131,60
fusion,transfer_only,4,all,none,0.47453703703703703,0.050185799029377476,60
fusion,transfer_only,8,200,none,0.5098958333333333,0.06916086461438317,60
fusion,transfer_only,8,24,none,0.4984375,0.05379684842464035,60
fusion,transfer_only,8,48,none,0.490625,0.05932061514647274,60
fusion,transfer_only,8,96,none,0.4859375,0.07355263918400348,60
fusion,transfer_only,8,all,none,0.47552083333333334,0.05669307216492305,60
fusion,transfer_only,12,200,none,0.5047619047619047,0.08534693949234648,60
fusion,transfer_only,12,24,none,0.4928571428571429,0.06952673935472024,60
fusion,transfer_only,12,48,none,0.48273809523809524,0.07395404243191318,60
fusion,transfer_only,12,96,none,0.48333333333333334,0.07394673387763855,60
fusion,transfer_only,12,all,none,0.46904761904761905,0.055197934246826987,60
fusion,transfer_only,16,200,none,0.4979166666666667,0.0696477720167175,60
fusion,transfer_only,16,24,none,0.5048611111111111,0.05483436080526087,60
fusion,transfer_only,16,48,none,0.5013888888888889,0.05840727087141273,60
fusion,transfer_only,16,96,none,0.5138888888888888,0.06169045705903929,60
fusion,transfer_only,16,all,none,0.475,0.06740411338295031,60
fusion,transfer_only,24,200,none,0.5135416666666667,0.09495459627162525,60
fusion,transfer_only,24,24,none,0.471875,0.09656782217519982,60
fusion,transfer_only,24,48,none,0.49583333333333335,0.0639313500101812,60
fusion,transfer_only,24,96,none,0.49166666666666664,0.0857008329502204,60
fusion,transfer_only,24,all,none,0.465625,0.07316342428114185,60
fusion,transfer_plus_cal,4,200,1,0.5125,0.0752385131196472,60
fusion,transfer_plus_cal,4,200,10,0.5203703703703704,0.07479249852072364,60
fusion,transfer_plus_cal,4,200,100,0.5287037037037037,0.07721864308162037,60
fusion,transfer_plus_cal,4,200,25,0.5217592592592593,0.07252429704968838,60
fusion,transfer_plus_cal,4,200,5,0.5194444444444445,0.07676567748953218,60
fusion,transfer_plus_cal,4,200,50,0.5236111111111111,0.07372849788158206,60
fusion,transfer_plus_cal,4,24,1,0.5208333333333334,0.0894089365834973,60
fusion,transfer_plus_cal,4,24,10,0.5300925925925927,0.07861595492364692,60
fusion,transfer_plus_cal,4,24,100,0.5333333333333333,0.07478084042720405,60
fusion,transfer_plus_cal,4,24,25,0.5351851851851852,0.07686215603404305,60
fusion,transfer_plus_cal,4,24,5,0.5291666666666667,0.08237442648880598,60
fusion,transfer_plus_cal,4,24,50,0.5361111111111111,0.07327924159254325,60
fusion,transfer_plus_cal,4,48,1,0.525,0.06622973579387931,60
fusion,transfer_plus_cal,4,48,10,0.5361111111111111,0.07451805113927304,60
fusion,transfer_plus_cal,4,48,100,0.537962962962963,0.07445952756852436,60
fusion,transfer_plus_cal,4,48,25,0.5356481481481481,0.07483183117753431,60
fusion,transfer_plus_cal,4,48,5,0.5347222222222222,0.07079662835414641,60
fusion,transfer_plus_cal,4,48,50,0.5361111111111111,0.07539045326569839,60
fusion,transfer_plus_cal,4,96,1,0.5305555555555556,0.07801618022875018,60
fusion,transfer_plus_cal,4,96,10,0.5365740740740741,0.07402354287125028,60
fusion,transfer_plus_cal,4,96,100,0.5435185185185186,0.07166718978674949,60
fusion,transfer_plus_cal,4,96,25,0.537037037037037,0.07135629420454685,60
fusion,transfer_plus_cal,4,96,5,0.5337962962962963,0.07106704486421271,60
fusion,transfer_plus_cal,4,96,50,0.5407407407407407,0.07366490886111862,60
fusion,transfer_plus_cal,4,all,1,0.524537037037037,0.06430444292307547,60
fusion,transfer_plus_cal,4,all,10,0.5333333333333333,0.06196543731497682,60
fusion,transfer_plus_cal,4,all,100,0.5310185185185186,0.05833258601141478,60
fusion,transfer_plus_cal,4,all,25,0.5347222222222222,0.057322421551736016,60
fusion,transfer_plus_cal,4,all,5,0.5342592592592593,0.05950347902586794,60
fusion,transfer_plus_cal,4,all,50,0.5347222222222222,0.055936780519979565,60
fusion,transfer_plus_cal,8,200,1,0.5432291666666667,0.10033241668711483,60
fusion,transfer_plus_cal,8,200,10,0.5609375,0.10120843596555193,60
fusion,transfer_plus_cal,8,200,100,0.571875,0.1119069822195716,60
fusion,transfer_plus_cal,8,200,25,0.565625,0.10076179642426027,60
fusion,transfer_plus_cal,8,200,5,0.5588541666666667,0.09917089867174536,60
fusion,transfer_plus_cal,8,200,50,0.5682291666666667,0.10522808451397483,60
fusion,transfer_plus_cal,8,24,1,0.5989583333333334,0.10964580075996426,60
fusion,transfer_plus_cal,8,24,10,0.6161458333333333,0.10579283292971121,60
fusion,transfer_plus_cal,8,24,100,0.6244791666666667,0.10678945596861822,60
fusion,transfer_plus_cal,8,24,25,0.6208333333333333,0.10506673289667824,60
fusion,transfer_plus_cal,8,24,5,0.6161458333333333,0.10484989565058163,60
fusion,transfer_plus_cal,8,24,50,0.6203125,0.10715050227465978,60
fusion,transfer_plus_cal,8,48,1,0.5536458333333333,0.09577468805574439,60
fusion,transfer_plus_cal,8,48,10,0.5765625,0.10088082019628196,60
fusion,transfer_plus_cal,8,48,100,0.5927083333333333,0.10291801046722136,60
fusion,transfer_plus_cal,8,48,25,0.5848958333333333,0.10196877940757185,60
fusion,transfer_plus_cal,8,48,5,0.5677083333333334,0.09851362685000105,60
fusion,transfer_plus_cal,8,48,50,0.5880208333333333,0.10268051788694421,60
fusion,transfer_plus_cal,8,96,1,0.5583333333333333,0.10938887119466464,60
fusion,transfer_plus_cal,8,96,10,0.5869791666666667,0.10033241668711483,60
fusion,transfer_plus_cal,8,96,100,0.5994791666666667,0.1018713388826046,60
fusion,transfer_plus_cal,8,96,25,0.590625,0.0987709160427917,60
fusion,transfer_plus_cal,8,96,5,0.5760416666666667,0.10282146950124511,60
fusion,transfer_plus_cal,8,96,50,0.5989583333333334,0.1001797025885706,60
fusion,transfer_plus_cal,8,all,1,0.5395833333333333,0.0727474833082466,60
fusion,transfer_plus_cal,8,all,10,0.5645833333333333,0.07694913115370916,60
fusion,transfer_plus_cal,8,all,100,0.5869791666666667,0.09490664784080474,60
fusion,transfer_plus_cal,8,all,25,0.5739583333333333,0.08435766980424636,60
