branch,strategy,K,source_cap,calibration_upweight,mean_balanced_accuracy,std_balanced_accuracy,n
fusion,transfer_plus_cal,4,96,100,0.5435185185185186,0.07166718978674949,60
fusion,transfer_plus_cal,8,24,100,0.6244791666666667,0.10678945596861822,60
fusion,transfer_plus_cal,12,24,100,0.636904761904762,0.11045460185378926,60
fusion,transfer_plus_cal,16,24,100,0.66875,0.13073586639032395,60
fusion,transfer_plus_cal,24,24,100,0.7020833333333333,0.14016422470447176,60
riemann,transfer_plus_cal,4,48,100,0.5523148148148148,0.08216246916865266,60
riemann,transfer_plus_cal,8,24,100,0.6255208333333333,0.11296567736266466,60
riemann,transfer_plus_cal,12,24,25,0.6535714285714286,0.11184206510435744,60
riemann,transfer_plus_cal,16,24,100,0.6715277777777777,0.14435625386132853,60
riemann,transfer_plus_cal,24,24,10,0.68125,0.16663576690962634,60
sjepa,transfer_plus_cal,4,all,100,0.5222222222222223,0.09174438866797853,60
sjepa,transfer_plus_cal,8,all,100,0.5572916666666666,0.07679841219595109,60
sjepa,transfer_plus_cal,12,96,100,0.5416666666666666,0.09115279484129506,60
sjepa,transfer_plus_cal,16,48,100,0.5534722222222223,0.11250959016109335,60
sjepa,transfer_plus_cal,24,all,10,0.5739583333333333,0.12735684191913604,60
