subject_id,fold_id,classifier_name,accuracy,balanced_accuracy,collapse_ratio,collapse_flag,representation_layer,representation_pooling,feature_dim
1,1,logistic_regression,0.625,0.625,0.625,False,final_layer_input,flatten,1024
1,1,linear_svm,0.625,0.625,0.625,False,final_layer_input,flatten,1024
1,1,ridge,0.625,0.625,0.625,False,final_layer_input,flatten,1024
1,1,lda,0.625,0.625,0.625,False,final_layer_input,flatten,1024
1,2,logistic_regression,0.5,0.5,0.5,False,final_layer_input,flatten,1024
1,2,linear_svm,0.375,0.375,0.625,False,final_layer_input,flatten,1024
1,2,ridge,0.5,0.5,0.5,False,final_layer_input,flatten,1024
1,2,lda,0.5,0.5,0.5,False,final_layer_input,flatten,1024
1,3,logistic_regression,0.5,0.5,0.5,False,final_layer_input,flatten,1024
1,3,linear_svm,0.5,0.5,0.5,False,final_layer_input,flatten,1024
1,3,ridge,0.5,0.5,0.5,False,final_layer_input,flatten,1024
1,3,lda,0.5,0.5,0.5,False,final_layer_input,flatten,1024
1,4,logistic_regression,0.875,0.875,0.625,False,final_layer_input,flatten,1024
1,4,linear_svm,0.875,0.875,0.625,False,final_layer_input,flatten,1024
1,4,ridge,0.875,0.875,0.625,False,final_layer_input,flatten,1024
1,4,lda,0.875,0.875,0.625,False,final_layer_input,flatten,1024
1,5,logistic_regression,0.75,0.75,0.75,False,final_layer_input,flatten,1024
1,5,linear_svm,0.875,0.875,0.625,False,final_layer_input,flatten,1024
1,5,ridge,0.875,0.875,0.625,False,final_layer_input,flatten,1024
1,5,lda,0.75,0.75,0.75,False,final_layer_input,flatten,1024
2,1,logistic_regression,0.5,0.5,0.75,False,final_layer_input,flatten,1024
2,1,linear_svm,0.5,0.5,0.75,False,final_layer_input,flatten,1024
2,1,ridge,0.5,0.5,0.75,False,final_layer_input,flatten,1024
2,1,lda,0.5,0.5,0.75,False,final_layer_input,flatten,1024
2,2,logistic_regression,0.75,0.75,0.5,False,final_layer_input,flatten,1024
2,2,linear_svm,0.75,0.75,0.5,False,final_layer_input,flatten,1024
2,2,ridge,0.75,0.75,0.5,False,final_layer_input,flatten,1024
2,2,lda,0.75,0.75,0.5,False,final_layer_input,flatten,1024
2,3,logistic_regression,0.625,0.625,0.875,False,final_layer_input,flatten,1024
2,3,linear_svm,0.625,0.625,0.875,False,final_layer_input,flatten,1024
2,3,ridge,0.625,0.625,0.875,False,final_layer_input,flatten,1024
2,3,lda,0.625,0.625,0.875,False,final_layer_input,flatten,1024
2,4,logistic_regression,0.625,0.625,0.625,False,final_layer_input,flatten,1024
2,4,linear_svm,0.625,0.625,0.625,False,final_layer_input,flatten,1024
2,4,ridge,0.625,0.625,0.625,False,final_layer_input,flatten,1024
2,4,lda,0.625,0.625,0.625,False,final_layer_input,flatten,1024
2,5,logistic_regression,0.5,0.5,0.5,False,final_layer_input,flatten,1024
2,5,linear_svm,0.375,0.375,0.625,False,final_layer_input,flatten,1024
2,5,ridge,0.375,0.375,0.625,False,final_layer_input,flatten,1024
2,5,lda,0.375,0.375,0.625,False,final_layer_input,flatten,1024
3,1,logistic_regression,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,1,linear_svm,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,1,ridge,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,1,lda,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,2,logistic_regression,0.625,0.625,0.625,False,final_layer_input,flatten,1024
3,2,linear_svm,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,2,ridge,0.625,0.625,0.625,False,final_layer_input,flatten,1024
3,2,lda,0.625,0.625,0.625,False,final_layer_input,flatten,1024
3,3,logistic_regression,0.75,0.75,0.5,False,final_layer_input,flatten,1024
3,3,linear_svm,0.75,0.75,0.5,False,final_layer_input,flatten,1024
3,3,ridge,0.75,0.75,0.5,False,final_layer_input,flatten,1024
3,3,lda,0.75,0.75,0.5,False,final_layer_input,flatten,1024
3,4,logistic_regression,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,4,linear_svm,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,4,ridge,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,4,lda,0.5,0.5,0.5,False,final_layer_input,flatten,1024
3,5,logistic_regression,0.625,0.625,0.625,False,final_layer_input,flatten,1024
3,5,linear_svm,0.5,0.5,0.75,False,final_layer_input,flatten,1024
3,5,ridge,0.5,0.5,0.75,False,final_layer_input,flatten,1024
3,5,lda,0.5,0.5,0.75,False,final_layer_input,flatten,1024
4,1,logistic_regression,0.5,0.5,0.75,False,final_layer_input,flatten,1024
4,1,linear_svm,0.5,0.5,0.75,False,final_layer_input,flatten,1024
4,1,ridge,0.5,0.5,0.75,False,final_layer_input,flatten,1024
4,1,lda,0.5,0.5,0.75,False,final_layer_input,flatten,1024
4,2,logistic_regression,0.25,0.25,0.5,False,final_layer_input,flatten,1024
