classifier_name,subject_id,mean_accuracy,mean_balanced_accuracy,collapse_rate,mean_collapse_ratio,n_folds
logistic_regression,33,0.3,0.3,0.0,0.65,5
logistic_regression,34,0.7,0.7,0.0,0.7,5
logistic_regression,35,0.6,0.6,0.0,0.6,5
logistic_regression,36,0.5,0.5,0.0,0.6,5
logistic_regression,37,0.6,0.6,0.2,0.7,5
logistic_regression,38,0.65,0.65,0.2,0.7,5
logistic_regression,39,0.55,0.55,0.0,0.65,5
logistic_regression,4,0.475,0.475,0.0,0.625,5
logistic_regression,40,0.625,0.625,0.0,0.675,5
logistic_regression,41,0.475,0.475,0.0,0.675,5
logistic_regression,42,0.6,0.6,0.0,0.6,5
logistic_regression,43,0.425,0.425,0.0,0.675,5
logistic_regression,44,0.6,0.6,0.0,0.6,5
logistic_regression,45,0.525,0.525,0.0,0.725,5
logistic_regression,46,0.7,0.7,0.0,0.7,5
logistic_regression,47,0.45,0.45,0.0,0.65,5
logistic_regression,48,0.625,0.625,0.0,0.625,5
logistic_regression,49,0.425,0.425,0.0,0.725,5
logistic_regression,5,0.5,0.5,0.0,0.6,5
logistic_regression,50,0.45,0.45,0.0,0.65,5
logistic_regression,6,0.45,0.45,0.0,0.6,5
logistic_regression,7,0.725,0.725,0.0,0.625,5
logistic_regression,8,0.625,0.625,0.0,0.675,5
logistic_regression,9,0.4,0.4,0.0,0.55,5
ridge,1,0.675,0.675,0.0,0.575,5
ridge,10,0.5,0.5,0.0,0.6,5
ridge,11,0.45,0.45,0.0,0.65,5
ridge,12,0.55,0.55,0.2,0.75,5
ridge,13,0.775,0.775,0.0,0.625,5
ridge,14,0.525,0.525,0.0,0.625,5
ridge,15,0.7,0.7,0.0,0.65,5
ridge,16,0.475,0.475,0.0,0.675,5
ridge,17,0.625,0.625,0.0,0.775,5
ridge,18,0.6,0.6,0.0,0.65,5
ridge,19,0.425,0.425,0.0,0.675,5
ridge,2,0.575,0.575,0.0,0.675,5
ridge,20,0.75,0.75,0.0,0.55,5
ridge,21,0.55,0.55,0.0,0.65,5
ridge,22,0.775,0.775,0.0,0.675,5
ridge,23,0.325,0.325,0.0,0.575,5
ridge,24,0.45,0.45,0.0,0.65,5
ridge,25,0.65,0.65,0.0,0.55,5
ridge,26,0.5,0.5,0.0,0.65,5
ridge,27,0.525,0.525,0.0,0.675,5
ridge,28,0.575,0.575,0.0,0.725,5
ridge,29,0.425,0.425,0.0,0.725,5
ridge,3,0.575,0.575,0.0,0.575,5
ridge,30,0.55,0.55,0.0,0.7,5
ridge,31,0.65,0.65,0.2,0.7,5
ridge,32,0.6,0.6,0.0,0.6,5
ridge,33,0.325,0.325,0.0,0.625,5
ridge,34,0.7,0.7,0.0,0.7,5
ridge,35,0.575,0.575,0.0,0.575,5
ridge,36,0.55,0.55,0.0,0.6,5
ridge,37,0.6,0.6,0.0,0.7,5
ridge,38,0.65,0.65,0.2,0.7,5
ridge,39,0.55,0.55,0.0,0.65,5
ridge,4,0.525,0.525,0.0,0.625,5
ridge,40,0.625,0.625,0.0,0.625,5
ridge,41,0.5,0.5,0.0,0.6,5
ridge,42,0.575,0.575,0.0,0.575,5
ridge,43,0.45,0.45,0.0,0.7,5
ridge,44,0.6,0.6,0.0,0.6,5
ridge,45,0.525,0.525,0.0,0.725,5
ridge,46,0.675,0.675,0.0,0.725,5
ridge,47,0.425,0.425,0.0,0.625,5
ridge,48,0.625,0.625,0.0,0.625,5
ridge,49,0.425,0.425,0.0,0.725,5
ridge,5,0.475,0.475,0.0,0.575,5
ridge,50,0.45,0.45,0.0,0.65,5
ridge,6,0.45,0.45,0.0,0.6,5
ridge,7,0.75,0.75,0.0,0.6,5
ridge,8,0.6,0.6,0.0,0.65,5
ridge,9,0.475,0.475,0.0,0.625,5
