method,subject_id,accuracy,balanced_accuracy,f1,confusion_matrix
absolute_motor_power_lda,sub-27,0.35,0.35,0.3157894736842105,"[[8, 12], [14, 6]]"
absolute_motor_power_lda,sub-28,0.4,0.4,0.42857142857142855,"[[7, 13], [11, 9]]"
absolute_motor_power_lda,sub-29,0.525,0.525,0.5777777777777777,"[[8, 12], [7, 13]]"
absolute_motor_power_lda,sub-30,0.425,0.42500000000000004,0.41025641025641024,"[[9, 11], [12, 8]]"
absolute_motor_power_lda,sub-31,0.6,0.6000000000000001,0.6190476190476191,"[[11, 9], [7, 13]]"
absolute_motor_power_lda,sub-32,0.475,0.47500000000000003,0.5116279069767442,"[[8, 12], [9, 11]]"
absolute_motor_power_lda,sub-33,0.6,0.6000000000000001,0.5789473684210527,"[[13, 7], [9, 11]]"
absolute_motor_power_lda,sub-34,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
absolute_motor_power_lda,sub-35,0.5,0.5,0.4117647058823529,"[[13, 7], [13, 7]]"
absolute_motor_power_lda,sub-36,0.575,0.575,0.6046511627906976,"[[10, 10], [7, 13]]"
absolute_motor_power_lda,sub-37,0.775,0.775,0.7692307692307693,"[[16, 4], [5, 15]]"
absolute_motor_power_lda,sub-38,0.6,0.6,0.6,"[[12, 8], [8, 12]]"
absolute_motor_power_lda,sub-39,0.475,0.47500000000000003,0.43243243243243246,"[[11, 9], [12, 8]]"
absolute_motor_power_lda,sub-40,0.55,0.55,0.5909090909090909,"[[9, 11], [7, 13]]"
absolute_motor_power_lda,sub-41,0.65,0.65,0.65,"[[13, 7], [7, 13]]"
absolute_motor_power_lda,sub-42,0.2,0.2,0.23809523809523808,"[[3, 17], [15, 5]]"
absolute_motor_power_lda,sub-43,0.5,0.5,0.4444444444444444,"[[12, 8], [12, 8]]"
absolute_motor_power_lda,sub-44,0.4,0.4,0.4,"[[8, 12], [12, 8]]"
absolute_motor_power_lda,sub-45,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
absolute_motor_power_lda,sub-46,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
absolute_motor_power_lda,sub-47,0.3,0.3,0.3,"[[6, 14], [14, 6]]"
absolute_motor_power_lda,sub-48,0.525,0.525,0.5581395348837209,"[[9, 11], [8, 12]]"
absolute_motor_power_lda,sub-49,0.375,0.375,0.4444444444444444,"[[5, 15], [10, 10]]"
absolute_motor_power_lda,sub-50,0.675,0.675,0.6666666666666666,"[[14, 6], [7, 13]]"
temporal_trajectory_lda,sub-01,0.375,0.375,0.358974358974359,"[[8, 12], [13, 7]]"
temporal_trajectory_lda,sub-02,0.75,0.75,0.7368421052631579,"[[16, 4], [6, 14]]"
temporal_trajectory_lda,sub-03,0.65,0.65,0.65,"[[13, 7], [7, 13]]"
temporal_trajectory_lda,sub-04,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
temporal_trajectory_lda,sub-05,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
temporal_trajectory_lda,sub-06,0.475,0.47500000000000003,0.5116279069767442,"[[8, 12], [9, 11]]"
temporal_trajectory_lda,sub-07,0.8,0.8,0.8,"[[16, 4], [4, 16]]"
temporal_trajectory_lda,sub-08,0.75,0.75,0.7368421052631579,"[[16, 4], [6, 14]]"
temporal_trajectory_lda,sub-09,0.725,0.725,0.717948717948718,"[[15, 5], [6, 14]]"
temporal_trajectory_lda,sub-10,0.4,0.4,0.42857142857142855,"[[7, 13], [11, 9]]"
temporal_trajectory_lda,sub-11,0.575,0.575,0.6382978723404256,"[[8, 12], [5, 15]]"
temporal_trajectory_lda,sub-12,0.575,0.575,0.5641025641025641,"[[12, 8], [9, 11]]"
temporal_trajectory_lda,sub-13,0.325,0.325,0.22857142857142856,"[[9, 11], [16, 4]]"
temporal_trajectory_lda,sub-14,0.575,0.575,0.6046511627906976,"[[10, 10], [7, 13]]"
temporal_trajectory_lda,sub-15,0.525,0.525,0.5581395348837209,"[[9, 11], [8, 12]]"
