subject_id,repeat_id,method_name,window_name,window_start_sample,window_stop_sample,n_train,n_test,n_channels,n_times,train_indices_0based,test_indices_0based,train_class_counts,test_class_counts,n_features,accuracy,balanced_accuracy,kappa_sklearn,precision_macro,sensitivity_macro,prediction_counts,confusion_matrix_standard_labels_1_2,confusion_matrix_author_labels_2_1,left_total,left_correct,right_total,right_correct
1,6,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[25, 37, 22, 29, 14, 13, 8, 9, 0, 12, 36, 24, 26, 38, 3, 7, 35, 2, 10, 31, 33, 11, 21, 20]","[4, 19, 18, 15, 23, 1, 6, 5, 34, 28, 39, 32, 27, 16, 30, 17]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,43.75,43.75,-0.125,43.65079365079365,43.75,"{1: 9, 2: 7}","[[4, 4], [5, 3]]","[[3, 5], [4, 4]]",8,4,8,3
1,6,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[25, 37, 22, 29, 14, 13, 8, 9, 0, 12, 36, 24, 26, 38, 3, 7, 35, 2, 10, 31, 33, 11, 21, 20]","[4, 19, 18, 15, 23, 1, 6, 5, 34, 28, 39, 32, 27, 16, 30, 17]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,68.75,68.75,0.375,69.04761904761905,68.75,"{1: 9, 2: 7}","[[6, 2], [3, 5]]","[[5, 3], [2, 6]]",8,6,8,5
1,7,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[33, 12, 6, 5, 27, 21, 24, 14, 26, 0, 20, 29, 15, 32, 17, 23, 30, 39, 34, 2, 11, 18, 13, 1]","[31, 36, 35, 25, 38, 19, 16, 8, 7, 28, 22, 37, 4, 10, 9, 3]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,56.25,56.25,0.125,56.34920634920635,56.25,"{1: 9, 2: 7}","[[5, 3], [4, 4]]","[[4, 4], [3, 5]]",8,5,8,4
1,7,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[33, 12, 6, 5, 27, 21, 24, 14, 26, 0, 20, 29, 15, 32, 17, 23, 30, 39, 34, 2, 11, 18, 13, 1]","[31, 36, 35, 25, 38, 19, 16, 8, 7, 28, 22, 37, 4, 10, 9, 3]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,43.75,43.75,-0.125,42.72727272727273,43.75,"{1: 5, 2: 11}","[[2, 6], [3, 5]]","[[5, 3], [6, 2]]",8,2,8,5
1,8,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[5, 36, 4, 29, 6, 3, 34, 20, 21, 23, 19, 24, 30, 8, 18, 31, 38, 25, 37, 1, 11, 32, 16, 13]","[7, 26, 27, 10, 15, 28, 33, 9, 0, 12, 17, 2, 35, 22, 14, 39]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,56.25,56.25,0.125,56.34920634920635,56.25,"{1: 9, 2: 7}","[[5, 3], [4, 4]]","[[4, 4], [3, 5]]",8,5,8,4
1,8,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[5, 36, 4, 29, 6, 3, 34, 20, 21, 23, 19, 24, 30, 8, 18, 31, 38, 25, 37, 1, 11, 32, 16, 13]","[7, 26, 27, 10, 15, 28, 33, 9, 0, 12, 17, 2, 35, 22, 14, 39]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,50.0,50.0,0.0,50.0,50.0,"{1: 6, 2: 10}","[[3, 5], [3, 5]]","[[5, 3], [5, 3]]",8,3,8,5
1,9,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[19, 0, 24, 13, 9, 1, 11, 18, 4, 17, 35, 22, 5, 39, 38, 30, 8, 28, 37, 16, 15, 26, 7, 36]","[25, 12, 14, 21, 20, 33, 10, 6, 31, 27, 23, 32, 34, 2, 29, 3]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,56.25,56.25,0.125,56.34920634920635,56.25,"{1: 9, 2: 7}","[[5, 3], [4, 4]]","[[4, 4], [3, 5]]",8,5,8,4
1,9,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[19, 0, 24, 13, 9, 1, 11, 18, 4, 17, 35, 22, 5, 39, 38, 30, 8, 28, 37, 16, 15, 26, 7, 36]","[25, 12, 14, 21, 20, 33, 10, 6, 31, 27, 23, 32, 34, 2, 29, 3]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,56.25,56.25,0.125,57.27272727272727,56.25,"{1: 11, 2: 5}","[[6, 2], [5, 3]]","[[3, 5], [2, 6]]",8,6,8,3
1,10,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[25, 39, 32, 10, 34, 5, 12, 35, 27, 24, 18, 0, 29, 21, 36, 22, 1, 31, 30, 23, 26, 7, 3, 14]","[16, 6, 37, 11, 2, 33, 28, 8, 19, 38, 17, 15, 13, 9, 20, 4]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,37.5,37.5,-0.25,33.333333333333336,37.5,"{1: 4, 2: 12}","[[1, 7], [3, 5]]","[[5, 3], [7, 1]]",8,1,8,5
1,10,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[25, 39, 32, 10, 34, 5, 12, 35, 27, 24, 18, 0, 29, 21, 36, 22, 1, 31, 30, 23, 26, 7, 3, 14]","[16, 6, 37, 11, 2, 33, 28, 8, 19, 38, 17, 15, 13, 9, 20, 4]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,56.25,56.25,0.125,57.27272727272727,56.25,"{1: 5, 2: 11}","[[3, 5], [2, 6]]","[[6, 2], [5, 3]]",8,3,8,6
