method_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_kappa_sklearn,n_repeats,left_total,left_correct,right_total,right_correct
CSP_LDA,27,51.25,6.454972243679029,51.25,0.025,10,80,45,80,37
CSP_LDA,28,63.75,14.068285846778442,63.75,0.275,10,80,56,80,46
CSP_LDA,29,48.75,10.5409255338946,48.75,-0.025,10,80,26,80,52
CSP_LDA,30,63.75,9.223309842157773,63.75,0.275,10,80,43,80,59
CSP_LDA,31,41.25,14.79019945774904,41.25,-0.175,10,80,32,80,34
CSP_LDA,32,55.0,7.095577652469333,55.0,0.1,10,80,45,80,43
CSP_LDA,33,43.75,11.785113019775793,43.75,-0.125,10,80,37,80,33
CSP_LDA,34,45.0,9.223309842157773,45.0,-0.1,10,80,34,80,38
CSP_LDA,35,48.125,9.793882727952633,48.125,-0.0375,10,80,46,80,31
CSP_LDA,36,47.5,12.219065248845983,47.5,-0.05,10,80,42,80,34
CSP_LDA,37,73.75,13.110110602126895,73.75,0.475,10,80,61,80,57
CSP_LDA,38,68.125,10.80525206657495,68.125,0.3625,10,80,56,80,53
CSP_LDA,39,41.875,11.429888936954336,41.875,-0.1625,10,80,37,80,30
CSP_LDA,40,68.75,8.838834764831844,68.75,0.375,10,80,58,80,52
CSP_LDA,41,44.375,9.057110466368398,44.375,-0.1125,10,80,36,80,35
CSP_LDA,42,54.375,5.929270612815711,54.375,0.0875,10,80,41,80,46
CSP_LDA,43,44.375,10.80525206657495,44.375,-0.1125,10,80,25,80,46
CSP_LDA,44,59.375,12.586506222494345,59.375,0.1875,10,80,48,80,47
CSP_LDA,45,46.875,14.2064392676936,46.875,-0.0625,10,80,36,80,39
CSP_LDA,46,52.5,17.969882210706523,52.5,0.05,10,80,44,80,40
CSP_LDA,47,50.0,8.333333333333334,50.0,0.0,10,80,38,80,42
CSP_LDA,48,46.875,10.724614730194793,46.875,-0.0625,10,80,45,80,30
CSP_LDA,49,46.25,11.858541225631422,46.25,-0.075,10,80,42,80,32
CSP_LDA,50,71.25,8.936504412303002,71.25,0.425,10,80,52,80,62
FBCSP_SVM,1,51.875,7.246886304552536,51.875,0.0375,10,80,41,80,42
FBCSP_SVM,2,43.75,8.333333333333332,43.75,-0.125,10,80,27,80,43
FBCSP_SVM,3,41.25,13.881942707464734,41.25,-0.175,10,80,38,80,28
FBCSP_SVM,4,43.125,6.215180787573457,43.125,-0.1375,10,80,36,80,33
FBCSP_SVM,5,55.0,11.334558757279536,55.0,0.1,10,80,42,80,46
FBCSP_SVM,6,38.125,9.969571761671165,38.125,-0.2375,10,80,35,80,26
FBCSP_SVM,7,63.125,21.740658913657608,63.125,0.2625,10,80,47,80,54
FBCSP_SVM,8,56.875,8.041774610674494,56.875,0.1375,10,80,37,80,54
FBCSP_SVM,9,57.5,5.743353646704259,57.5,0.15,10,80,47,80,45
FBCSP_SVM,10,58.125,8.359334436557868,58.125,0.1625,10,80,57,80,36
FBCSP_SVM,11,43.75,10.206207261596576,43.75,-0.125,10,80,27,80,43
FBCSP_SVM,12,52.5,7.905694150420949,52.5,0.05,10,80,43,80,41
FBCSP_SVM,13,46.25,11.858541225631422,46.25,-0.075,10,80,34,80,40
FBCSP_SVM,14,45.625,10.643366478704001,45.625,-0.0875,10,80,40,80,33
FBCSP_SVM,15,41.875,8.359334436557868,41.875,-0.1625,10,80,40,80,27
FBCSP_SVM,16,50.625,10.395812458228875,50.625,0.0125,10,80,45,80,36
FBCSP_SVM,17,53.125,12.586506222494345,53.125,0.0625,10,80,40,80,45
FBCSP_SVM,18,50.0,11.41088661469096,50.0,0.0,10,80,41,80,39
FBCSP_SVM,19,50.0,9.316949906249123,50.0,0.0,10,80,39,80,41
FBCSP_SVM,20,49.375,12.655285457072866,49.375,-0.0125,10,80,35,80,44
FBCSP_SVM,21,53.125,8.462540004829124,53.125,0.0625,10,80,37,80,48
FBCSP_SVM,22,53.125,15.934435979977453,53.125,0.0625,10,80,53,80,32
FBCSP_SVM,23,54.375,10.22744809052798,54.375,0.0875,10,80,38,80,49
