method_name,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_kappa_sklearn,n_subjects,paper_target_accuracy,delta_vs_paper
CSP_LDA,50.575,8.755319082985949,50.575,0.0115,50,55.57,-4.994999999999997
FBCSP_SVM,51.15,8.280363111923663,51.15,0.023,50,57.57,-6.420000000000002
