method_name,repeat_id_used_for_paper_scale,author_style_confusion_matrix_right_left_order,n_predictions,accuracy_from_matrix
CSP_LDA,1,"[[225, 175], [214, 186]]",800,51.37500000000001
FBCSP_SVM,1,"[[211, 189], [204, 196]]",800,50.875
