window_name,window_start_sample,window_stop_sample,method_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_kappa_sklearn,n_repeats
0_4s,0,2000,CSP_LDA,1,46.25,7.905694150420947,46.25,-0.075,10
0_4s,0,2000,CSP_LDA,2,43.125,11.949691999749989,43.125,-0.1375,10
0_4s,0,2000,CSP_LDA,3,47.5,8.43685697138191,47.5,-0.05,10
0_4s,0,2000,CSP_LDA,4,43.75,11.02396379610246,43.75,-0.125,10
0_4s,0,2000,CSP_LDA,5,45.0,6.454972243679028,45.0,-0.1,10
0_4s,0,2000,CSP_LDA,6,41.875,10.227448090527979,41.875,-0.1625,10
0_4s,0,2000,CSP_LDA,7,48.75,12.774758097296573,48.75,-0.025,10
0_4s,0,2000,CSP_LDA,8,44.375,8.041774610674493,44.375,-0.1125,10
0_4s,0,2000,CSP_LDA,9,59.375,9.432692852226475,59.375,0.1875,10
0_4s,0,2000,CSP_LDA,10,63.125,13.645435744844011,63.125,0.2625,10
0_4s,0,2000,CSP_LDA,11,48.75,15.534459901922707,48.75,-0.025,10
0_4s,0,2000,CSP_LDA,12,44.375,10.80525206657495,44.375,-0.1125,10
0_4s,0,2000,CSP_LDA,13,47.5,13.565683830083088,47.5,-0.05,10
0_4s,0,2000,CSP_LDA,14,45.625,6.620936909196127,45.625,-0.0875,10
0_4s,0,2000,CSP_LDA,15,41.875,8.863353077576104,41.875,-0.1625,10
0_4s,0,2000,CSP_LDA,16,45.625,7.246886304552536,45.625,-0.0875,10
0_4s,0,2000,CSP_LDA,17,46.875,11.876827344782686,46.875,-0.0625,10
0_4s,0,2000,CSP_LDA,18,45.625,5.929270612815711,45.625,-0.0875,10
0_4s,0,2000,CSP_LDA,19,48.75,15.534459901922707,48.75,-0.025,10
0_4s,0,2000,CSP_LDA,20,47.5,9.860132971832694,47.5,-0.05,10
0_4s,0,2000,CSP_LDA,21,41.25,9.860132971832694,41.25,-0.175,10
0_4s,0,2000,CSP_LDA,22,57.5,11.334558757279536,57.5,0.15,10
0_4s,0,2000,CSP_LDA,23,69.375,12.993721774593897,69.375,0.3875,10
0_4s,0,2000,CSP_LDA,24,45.0,10.120798167909266,45.0,-0.1,10
0_4s,0,2000,CSP_LDA,25,43.75,8.838834764831843,43.75,-0.125,10
0_4s,0,2000,CSP_LDA,26,49.375,6.215180787573458,49.375,-0.0125,10
0_4s,0,2000,CSP_LDA,27,51.25,6.454972243679029,51.25,0.025,10
0_4s,0,2000,CSP_LDA,28,63.75,14.068285846778442,63.75,0.275,10
0_4s,0,2000,CSP_LDA,29,48.75,10.5409255338946,48.75,-0.025,10
0_4s,0,2000,CSP_LDA,30,63.75,9.223309842157773,63.75,0.275,10
0_4s,0,2000,CSP_LDA,31,41.25,14.79019945774904,41.25,-0.175,10
0_4s,0,2000,CSP_LDA,32,55.0,7.095577652469333,55.0,0.1,10
0_4s,0,2000,CSP_LDA,33,43.75,11.785113019775793,43.75,-0.125,10
0_4s,0,2000,CSP_LDA,34,45.0,9.223309842157773,45.0,-0.1,10
0_4s,0,2000,CSP_LDA,35,48.125,9.793882727952633,48.125,-0.0375,10
0_4s,0,2000,CSP_LDA,36,47.5,12.219065248845983,47.5,-0.05,10
0_4s,0,2000,CSP_LDA,37,73.75,13.110110602126895,73.75,0.475,10
0_4s,0,2000,CSP_LDA,38,68.125,10.80525206657495,68.125,0.3625,10
0_4s,0,2000,CSP_LDA,39,41.875,11.429888936954336,41.875,-0.1625,10
0_4s,0,2000,CSP_LDA,40,68.75,8.838834764831844,68.75,0.375,10
0_4s,0,2000,CSP_LDA,41,44.375,9.057110466368398,44.375,-0.1125,10
0_4s,0,2000,CSP_LDA,42,54.375,5.929270612815711,54.375,0.0875,10
0_4s,0,2000,CSP_LDA,43,44.375,10.80525206657495,44.375,-0.1125,10
0_4s,0,2000,CSP_LDA,44,59.375,12.586506222494345,59.375,0.1875,10
0_4s,0,2000,CSP_LDA,45,46.875,14.2064392676936,46.875,-0.0625,10
0_4s,0,2000,CSP_LDA,46,52.5,17.969882210706523,52.5,0.05,10
0_4s,0,2000,CSP_LDA,47,50.0,8.333333333333334,50.0,0.0,10
0_4s,0,2000,CSP_LDA,48,46.875,10.724614730194793,46.875,-0.0625,10
0_4s,0,2000,CSP_LDA,49,46.25,11.858541225631422,46.25,-0.075,10
0_4s,0,2000,CSP_LDA,50,71.25,8.936504412303002,71.25,0.425,10
0_4s,0,2000,FBCSP_SVM,1,51.875,7.246886304552536,51.875,0.0375,10
0_4s,0,2000,FBCSP_SVM,2,43.75,8.333333333333332,43.75,-0.125,10
0_4s,0,2000,FBCSP_SVM,3,41.25,13.881942707464734,41.25,-0.175,10
0_4s,0,2000,FBCSP_SVM,4,43.125,6.215180787573457,43.125,-0.1375,10
0_4s,0,2000,FBCSP_SVM,5,55.0,11.334558757279536,55.0,0.1,10
