run_id,subject_id,fold_id,n_train,n_val,n_test,train_class_counts,val_class_counts,test_class_counts,best_valid_loss,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram
20260402_1104_05151661,51,5,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.2597211599349976,0.55,0.55,"[[3, 1, 0, 1], [0, 3, 1, 1], [2, 1, 2, 0], [1, 1, 0, 3]]","[6, 6, 3, 5]"
20260402_1104_05151661,51,4,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.336574673652649,0.4,0.4,"[[3, 0, 2, 0], [2, 1, 1, 1], [1, 2, 1, 1], [1, 0, 1, 3]]","[7, 3, 5, 5]"
20260402_1104_05151661,51,2,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.3587656021118164,0.35,0.35,"[[2, 2, 0, 1], [2, 3, 0, 0], [2, 2, 1, 0], [1, 2, 1, 1]]","[7, 9, 2, 2]"
20260402_1104_05151661,51,3,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.3733205795288086,0.45,0.45000000000000007,"[[1, 3, 1, 0], [0, 3, 2, 0], [2, 1, 2, 0], [0, 2, 0, 3]]","[3, 9, 5, 3]"
20260402_1104_05151661,51,1,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.282579779624939,0.25,0.25,"[[1, 0, 3, 1], [2, 1, 1, 1], [3, 1, 1, 0], [2, 1, 0, 2]]","[8, 3, 5, 4]"
20260402_1127_908549c4,51,5,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.3032186031341553,0.5,0.5,"[[3, 1, 0, 1], [0, 3, 1, 1], [2, 1, 2, 0], [2, 1, 0, 2]]","[7, 6, 3, 4]"
20260402_1127_908549c4,51,4,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.342200756072998,0.45,0.44999999999999996,"[[4, 0, 0, 1], [2, 1, 1, 1], [1, 2, 1, 1], [1, 0, 1, 3]]","[8, 3, 3, 6]"
20260402_1127_908549c4,51,2,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.3593463897705078,0.5,0.5,"[[2, 2, 0, 1], [2, 3, 0, 0], [0, 2, 3, 0], [1, 1, 1, 2]]","[5, 8, 4, 3]"
20260402_1127_908549c4,51,1,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.275383472442627,0.3,0.30000000000000004,"[[2, 0, 2, 1], [2, 1, 1, 1], [3, 1, 1, 0], [2, 1, 0, 2]]","[9, 3, 4, 4]"
20260402_1127_908549c4,51,3,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.3696963787078857,0.3,0.30000000000000004,"[[1, 3, 1, 0], [1, 1, 2, 1], [2, 2, 1, 0], [0, 1, 1, 3]]","[4, 7, 5, 4]"
20260402_1152_a9933d00,51,5,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.3871455192565918,0.5,0.5,"[[3, 1, 0, 1], [0, 3, 1, 1], [1, 2, 2, 0], [1, 2, 0, 2]]","[5, 8, 3, 4]"
20260402_1152_a9933d00,51,4,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.2759093046188354,0.2,0.2,"[[2, 0, 2, 1], [3, 0, 0, 2], [1, 2, 1, 1], [1, 2, 1, 1]]","[7, 4, 4, 5]"
