run_id,subject_id,accuracies,balanced_accuracies,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy
20260402_1152_a9933d00,48,"[0.95, 0.9, 0.95, 1.0, 0.95]","[0.95, 0.9, 0.95, 1.0, 0.95]",0.95,0.031622776601683784,0.95,0.031622776601683784
20260402_1152_a9933d00,49,"[0.85, 0.95, 0.9, 0.7, 0.95]","[0.8500000000000001, 0.95, 0.8999999999999999, 0.7000000000000001, 0.95]",0.8699999999999999,0.09273618495495704,0.8700000000000001,0.09273618495495699
20260402_1152_a9933d00,50,"[0.95, 0.6, 0.95, 0.95, 0.9]","[0.95, 0.6, 0.95, 0.95, 0.9]",0.8700000000000001,0.13638181696985854,0.8700000000000001,0.13638181696985854
20260402_1152_a9933d00,51,"[0.35, 0.3, 0.4, 0.2, 0.5]","[0.35000000000000003, 0.30000000000000004, 0.4, 0.2, 0.5]",0.35,0.09999999999999999,0.35000000000000003,0.09999999999999999
20260402_1152_a9933d00,52,"[0.85, 1.0, 0.95, 1.0, 1.0]","[0.85, 1.0, 0.95, 1.0, 1.0]",0.96,0.058309518948453015,0.96,0.058309518948453015
20260402_1152_a9933d00,53,"[0.95, 0.85, 1.0, 0.9, 0.95]","[0.95, 0.8500000000000001, 1.0, 0.9, 0.95]",0.9299999999999999,0.05099019513592784,0.9299999999999999,0.050990195135927806
20260402_1152_a9933d00,54,"[0.6, 0.6, 0.6, 0.25, 0.8]","[0.6, 0.6, 0.6, 0.25, 0.8]",0.57,0.1777638883463118,0.57,0.1777638883463118
20260402_1205_29e654bc,54,"[0.6, 0.6, 0.6, 0.25, 0.8]","[0.6, 0.6, 0.6, 0.25, 0.8]",0.57,0.1777638883463118,0.57,0.1777638883463118
20260402_1205_29e654bc,52,"[0.85, 1.0, 0.95, 1.0, 1.0]","[0.85, 1.0, 0.95, 1.0, 1.0]",0.96,0.058309518948453015,0.96,0.058309518948453015
20260402_1205_29e654bc,53,"[0.95, 0.85, 1.0, 0.9, 0.95]","[0.95, 0.8500000000000001, 1.0, 0.9, 0.95]",0.9299999999999999,0.05099019513592784,0.9299999999999999,0.050990195135927806
20260402_1205_29e654bc,49,"[0.85, 0.95, 0.9, 0.7, 0.95]","[0.8500000000000001, 0.95, 0.8999999999999999, 0.7000000000000001, 0.95]",0.8699999999999999,0.09273618495495704,0.8700000000000001,0.09273618495495699
20260402_1205_29e654bc,48,"[0.95, 0.9, 0.95, 1.0, 0.95]","[0.95, 0.9, 0.95, 1.0, 0.95]",0.95,0.031622776601683784,0.95,0.031622776601683784
20260402_1205_29e654bc,50,"[0.95, 0.6, 0.95, 0.95, 0.9]","[0.95, 0.6, 0.95, 0.95, 0.9]",0.8700000000000001,0.13638181696985854,0.8700000000000001,0.13638181696985854
20260402_1217_1cd1e826,48,"[1.0, 0.95, 1.0, 1.0, 0.85]","[1.0, 0.95, 1.0, 1.0, 0.8500000000000001]",0.96,0.058309518948453015,0.9600000000000002,0.05830951894845297
