method,subject_id,accuracy,balanced_accuracy,f1,confusion_matrix
fixed_spectral_lda,sub-01,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
fixed_spectral_lda,sub-02,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
fixed_spectral_lda,sub-03,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
fixed_spectral_lda,sub-04,0.375,0.375,0.32432432432432434,"[[9, 11], [14, 6]]"
fixed_spectral_lda,sub-05,0.425,0.42500000000000004,0.43902439024390244,"[[8, 12], [11, 9]]"
fixed_spectral_lda,sub-06,0.3,0.3,0.2631578947368421,"[[7, 13], [15, 5]]"
fixed_spectral_lda,sub-07,0.6,0.6,0.6521739130434783,"[[9, 11], [5, 15]]"
fixed_spectral_lda,sub-08,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
fixed_spectral_lda,sub-09,0.5,0.5,0.5238095238095238,"[[9, 11], [9, 11]]"
fixed_spectral_lda,sub-10,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
fixed_spectral_lda,sub-11,0.725,0.725,0.717948717948718,"[[15, 5], [6, 14]]"
fixed_spectral_lda,sub-12,0.475,0.475,0.36363636363636365,"[[13, 7], [14, 6]]"
fixed_spectral_lda,sub-13,0.625,0.625,0.6511627906976745,"[[11, 9], [6, 14]]"
fixed_spectral_lda,sub-14,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
fixed_spectral_lda,sub-15,0.55,0.55,0.55,"[[11, 9], [9, 11]]"
fixed_spectral_lda,sub-16,0.4,0.4,0.42857142857142855,"[[7, 13], [11, 9]]"
fixed_spectral_lda,sub-17,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
fixed_spectral_lda,sub-18,0.65,0.6499999999999999,0.6666666666666666,"[[12, 8], [6, 14]]"
fixed_spectral_lda,sub-19,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
fixed_spectral_lda,sub-20,0.65,0.65,0.65,"[[13, 7], [7, 13]]"
fixed_spectral_lda,sub-21,0.5,0.5,0.5238095238095238,"[[9, 11], [9, 11]]"
fixed_spectral_lda,sub-22,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
fixed_spectral_lda,sub-23,0.8,0.8,0.8,"[[16, 4], [4, 16]]"
fixed_spectral_lda,sub-24,0.65,0.65,0.65,"[[13, 7], [7, 13]]"
fixed_spectral_lda,sub-25,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
fixed_spectral_lda,sub-26,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
fixed_spectral_lda,sub-27,0.425,0.425,0.46511627906976744,"[[7, 13], [10, 10]]"
fixed_spectral_lda,sub-28,0.575,0.575,0.6222222222222222,"[[9, 11], [6, 14]]"
fixed_spectral_lda,sub-29,0.375,0.375,0.4186046511627907,"[[6, 14], [11, 9]]"
fixed_spectral_lda,sub-30,0.7,0.7,0.7142857142857143,"[[13, 7], [5, 15]]"
fixed_spectral_lda,sub-31,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
fixed_spectral_lda,sub-32,0.25,0.25,0.25,"[[5, 15], [15, 5]]"
fixed_spectral_lda,sub-33,0.575,0.575,0.5853658536585366,"[[11, 9], [8, 12]]"
fixed_spectral_lda,sub-34,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
