method_name,model_name,subject_id,mean_accuracy,std_accuracy,mean_accuracy_percent,std_accuracy_percent,mean_balanced_accuracy,std_balanced_accuracy,mean_balanced_accuracy_percent,std_balanced_accuracy_percent,collapse_rate,mean_confidence,mean_normalized_prediction_entropy,n_folds
EEGNetv4__eegnet_preprocess,EEGNetv4,18,0.65,0.13693063937629155,65.0,13.693063937629153,0.65,0.13693063937629155,65.0,13.693063937629153,0.2,0.5669060260000001,0.9733928519999999,5
EEGNetv4__eegnet_preprocess,EEGNetv4,14,0.625,0.1767766952966369,62.5,17.67766952966369,0.625,0.1767766952966369,62.5,17.67766952966369,0.2,0.5677688479999999,0.936569024,5
EEGNetv4__eegnet_preprocess,EEGNetv4,20,0.625,0.1767766952966369,62.5,17.67766952966369,0.625,0.1767766952966369,62.5,17.67766952966369,0.4,0.50406658,0.9998468199999999,5
EEGNetv4__eegnet_preprocess,EEGNetv4,9,0.6,0.10458250331675943,60.0,10.458250331675943,0.6,0.10458250331675943,60.0,10.458250331675943,0.2,0.516506232,0.997406904,5
EEGNetv4__eegnet_preprocess,EEGNetv4,10,0.6,0.10458250331675945,60.0,10.458250331675945,0.6,0.10458250331675945,60.0,10.458250331675945,0.0,0.525521456,0.98912231,5
EEGNetv4__eegnet_preprocess,EEGNetv4,40,0.6,0.2053959590644373,60.0,20.53959590644373,0.6,0.2053959590644373,60.0,20.53959590644373,0.0,0.5381759319999999,0.98698404,5
EEGNetv4__eegnet_preprocess,EEGNetv4,23,0.575,0.11180339887498951,57.5,11.180339887498949,0.575,0.11180339887498951,57.5,11.180339887498949,0.2,0.567750112,0.9578629160000001,5
EEGNetv4__eegnet_preprocess,EEGNetv4,50,0.575,0.11180339887498948,57.5,11.180339887498949,0.575,0.11180339887498948,57.5,11.180339887498949,0.4,0.6145625960000001,0.8762372519999999,5
EEGNetv4__eegnet_preprocess,EEGNetv4,49,0.575,0.06846531968814577,57.5,6.846531968814577,0.575,0.06846531968814577,57.5,6.846531968814577,0.4,0.5207865500000001,0.993416176,5
EEGNetv4__eegnet_preprocess,EEGNetv4,44,0.575,0.16770509831248423,57.5,16.77050983124842,0.575,0.16770509831248423,57.5,16.77050983124842,0.8,0.648308156,0.887221472,5
EEGNetv4__eegnet_preprocess,EEGNetv4,30,0.575,0.11180339887498948,57.5,11.180339887498949,0.575,0.11180339887498948,57.5,11.180339887498949,0.4,0.584676142,0.9487053060000001,5
EEGNetv4__eegnet_preprocess,EEGNetv4,46,0.575,0.16770509831248423,57.5,16.77050983124842,0.575,0.16770509831248423,57.5,16.77050983124842,0.0,0.5013108239999999,0.99999215,5
