method_name,model_name,subject_id,fold_id,accuracy,accuracy_percent,balanced_accuracy,balanced_accuracy_percent,n_train,n_test,train_class_counts,test_class_counts,prediction_histogram,collapse_ratio,collapse_flag,mean_confidence,mean_normalized_prediction_entropy,best_epoch,stopped_epoch,epochs_ran,best_valid_loss,fold_seed
EEGNetv4__eegnet_preprocess,EEGNetv4,7,4,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.53382339,0.99652319,76,116,116,0.6900667548179626,16
EEGNetv4__eegnet_preprocess,EEGNetv4,7,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.5053819,0.99991383,24,60,60,0.6940564513206482,17
EEGNetv4__eegnet_preprocess,EEGNetv4,8,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50186909,0.99998415,3,41,41,0.6937459111213684,13
EEGNetv4__eegnet_preprocess,EEGNetv4,8,2,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[1, 7]",0.875,False,0.6925023,0.87494045,209,249,249,0.6346155405044556,14
EEGNetv4__eegnet_preprocess,EEGNetv4,8,3,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.63454676,0.90833009,289,300,300,0.5814411044120789,15
EEGNetv4__eegnet_preprocess,EEGNetv4,8,4,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.50140774,0.99999315,1,41,41,0.6930810213088989,16
EEGNetv4__eegnet_preprocess,EEGNetv4,8,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.50215424,0.99997122,1,41,41,0.6897626519203186,17
EEGNetv4__eegnet_preprocess,EEGNetv4,9,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50076753,0.99999704,1,41,41,0.6934532523155212,13
EEGNetv4__eegnet_preprocess,EEGNetv4,9,2,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[3, 5]",0.625,False,0.54152734,0.99136754,165,204,204,0.6652315855026245,14
EEGNetv4__eegnet_preprocess,EEGNetv4,9,3,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[7, 1]",0.875,False,0.50199058,0.99997213,41,41,41,0.6936150789260864,15
EEGNetv4__eegnet_preprocess,EEGNetv4,9,4,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50091532,0.99999622,1,41,41,0.693520188331604,16
EEGNetv4__eegnet_preprocess,EEGNetv4,9,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.53733039,0.99570159,66,105,105,0.6886486411094666,17
EEGNetv4__eegnet_preprocess,EEGNetv4,10,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50110859,0.99999486,1,41,41,0.693853497505188,13
EEGNetv4__eegnet_preprocess,EEGNetv4,10,2,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.50233001,0.99997735,16,55,55,0.6921733021736145,14
EEGNetv4__eegnet_preprocess,EEGNetv4,10,3,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[3, 5]",0.625,False,0.59829381,0.94832772,249,289,289,0.5079346299171448,15
EEGNetv4__eegnet_preprocess,EEGNetv4,10,4,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.52401111,0.99733001,101,140,140,0.6791630983352661,16
EEGNetv4__eegnet_preprocess,EEGNetv4,10,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.50186376,0.99998161,31,71,71,0.6916472911834717,17
EEGNetv4__eegnet_preprocess,EEGNetv4,11,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.61092963,0.94434699,186,226,226,0.6848939657211304,13
EEGNetv4__eegnet_preprocess,EEGNetv4,11,2,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[3, 5]",0.625,False,0.50118575,0.99999476,1,41,41,0.6932089328765869,14
EEGNetv4__eegnet_preprocess,EEGNetv4,11,3,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.50395513,0.99989919,1,41,41,0.6945868134498596,15
EEGNetv4__eegnet_preprocess,EEGNetv4,11,4,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[1, 7]",0.875,False,0.50147936,0.99999042,26,62,62,0.6924532651901245,16
EEGNetv4__eegnet_preprocess,EEGNetv4,11,5,0.875,87.5,0.875,87.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.80219445,0.60537971,230,270,270,0.5983795523643494,17
EEGNetv4__eegnet_preprocess,EEGNetv4,12,1,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.50223196,0.99997635,1,41,41,0.6927717328071594,13
