subject_id,fold_id,test_indices,true_labels,predictions,probabilities,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,collapse_diagnostics,parameter_count,trainable_parameter_count,training_seconds,seed,source_subject_ids,checkpoint_signature,checkpoint_path,classifier_head,adaptation_mode,target_train_indices
sub-01,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.15744532644748688, 0.8425547480583191], [0.12964823842048645, 0.8703517913818359], [0.10834208130836487, 0.8916578888893127], [0.1408035010099411, 0.8591965436935425], [0.16083413362503052, 0.8391659259796143], [0.0952536016702652, 0.904746413230896], [0.10380817204713821, 0.8961917757987976], [0.1568431854248047, 0.8431567549705505]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.9311305829323828,2026,"['sub-03', 'sub-07', 'sub-09']",0b5a8d80281a6da3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/0b5a8d80281a6da3.pt,final_layer,full_finetune,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 14, 15, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39]"
sub-01,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.12486067414283752, 0.8751393556594849], [0.09572015702724457, 0.9042798280715942], [0.11110983043909073, 0.8888902068138123], [0.16152939200401306, 0.8384705781936646], [0.08014155924320221, 0.919858455657959], [0.1505882441997528, 0.8494117856025696], [0.10675229877233505, 0.8932477235794067], [0.13360612094402313, 0.8663938641548157]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.3544352089520544,2026,"['sub-03', 'sub-07', 'sub-09']",0b5a8d80281a6da3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/0b5a8d80281a6da3.pt,final_layer,full_finetune,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 37, 38]"
sub-01,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.172490656375885, 0.827509343624115], [0.17521344125270844, 0.8247865438461304], [0.13240711390972137, 0.8675928711891174], [0.34767210483551025, 0.6523278951644897], [0.2472924292087555, 0.7527075409889221], [0.16298414766788483, 0.8370158672332764], [0.20099757611751556, 0.7990024089813232], [0.2916717231273651, 0.7083283066749573]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.3445730831008404,2026,"['sub-03', 'sub-07', 'sub-09']",0b5a8d80281a6da3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/0b5a8d80281a6da3.pt,final_layer,full_finetune,"[0, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39]"
sub-01,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 1]","[[0.5225223898887634, 0.4774776101112366], [0.33767372369766235, 0.6623263359069824], [0.49998441338539124, 0.5000156164169312], [0.3888631761074066, 0.611136794090271], [0.18210643529891968, 0.8178936243057251], [0.30466458201408386, 0.6953354477882385], [0.2975650131702423, 0.7024350166320801], [0.33104240894317627, 0.6689575910568237]]",0.625,0.625,"[[1, 3], [0, 4]]","[1, 7]",{'collapsed': False},12513,12513,1.3498449579346925,2026,"['sub-03', 'sub-07', 'sub-09']",0b5a8d80281a6da3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/0b5a8d80281a6da3.pt,final_layer,full_finetune,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39]"
sub-01,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.10520695894956589, 0.8947930335998535], [0.17385350167751312, 0.8261464834213257], [0.10604359954595566, 0.8939564228057861], [0.143308624625206, 0.8566913604736328], [0.13468493521213531, 0.8653150200843811], [0.12714453041553497, 0.8728554844856262], [0.21029026806354523, 0.789709746837616], [0.1316249519586563, 0.8683750629425049]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.3846417081076652,2026,"['sub-03', 'sub-07', 'sub-09']",0b5a8d80281a6da3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/0b5a8d80281a6da3.pt,final_layer,full_finetune,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 33, 34, 36, 38, 39]"
sub-03,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.14277765154838562, 0.857222318649292], [0.08487129211425781, 0.9151287078857422], [0.16613222658634186, 0.8338677883148193], [0.10076631605625153, 0.8992337584495544], [0.17204830050468445, 0.8279517292976379], [0.12818047404289246, 0.8718194961547852], [0.058498233556747437, 0.9415017366409302], [0.15131662786006927, 0.8486833572387695]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.3507680830080062,2026,"['sub-01', 'sub-07', 'sub-09']",f56d708267c09f14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/f56d708267c09f14.pt,final_layer,full_finetune,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 14, 15, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39]"
sub-03,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.1114884614944458, 0.8885115385055542], [0.04198957234621048, 0.9580104947090149], [0.0826522633433342, 0.91734778881073], [0.1633589267730713, 0.8366410136222839], [0.06095759943127632, 0.9390424489974976], [0.15196377038955688, 0.8480362296104431], [0.1132935956120491, 0.8867064118385315], [0.07237324863672256, 0.9276267886161804]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.3543025418184698,2026,"['sub-01', 'sub-07', 'sub-09']",f56d708267c09f14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/f56d708267c09f14.pt,final_layer,full_finetune,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 37, 38]"
sub-03,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.19654130935668945, 0.8034587502479553], [0.08662634342908859, 0.9133736491203308], [0.08443843573331833, 0.9155616164207458], [0.1593349725008011, 0.8406650424003601], [0.14248691499233246, 0.8575130701065063], [0.09065766632556915, 0.9093422889709473], [0.13465306162834167, 0.8653469085693359], [0.10695275664329529, 0.8930472731590271]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.3465427497867495,2026,"['sub-01', 'sub-07', 'sub-09']",f56d708267c09f14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/f56d708267c09f14.pt,final_layer,full_finetune,"[0, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39]"
sub-03,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.19629275798797607, 0.8037073016166687], [0.16725647449493408, 0.8327435255050659], [0.26981109380722046, 0.7301889061927795], [0.1204567477107048, 0.8795433044433594], [0.24224622547626495, 0.7577537894248962], [0.19723156094551086, 0.8027684092521667], [0.2021758109331131, 0.7978241443634033], [0.2577665448188782, 0.7422334551811218]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.3532861659768969,2026,"['sub-01', 'sub-07', 'sub-09']",f56d708267c09f14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/f56d708267c09f14.pt,final_layer,full_finetune,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39]"
sub-03,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.1685134321451187, 0.8314865827560425], [0.14265450835227966, 0.8573455214500427], [0.1006319671869278, 0.8993680477142334], [0.06947313249111176, 0.9305267930030823], [0.1275869458913803, 0.8724130392074585], [0.07431990653276443, 0.9256800413131714], [0.2383226603269577, 0.7616773247718811], [0.10039853304624557, 0.8996014595031738]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},12513,12513,1.3458597080316395,2026,"['sub-01', 'sub-07', 'sub-09']",f56d708267c09f14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/f56d708267c09f14.pt,final_layer,full_finetune,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 33, 34, 36, 38, 39]"
