clinical_family,category,n_subjects,coverage_fraction,mean_subject_ba,ci95_low,ci95_high,kruskal_statistic,p_value,holm_p,holm_family
paralysis_side,left,28,0.56,0.567857142857143,0.5205357142857143,0.6142857142857142,0.06481453072745902,0.7990421158415313,1.0,six_prespecified_clinical_omnibus_tests
paralysis_side,right,22,0.44,0.5829545454545454,0.540909090909091,0.6261363636363637,0.06481453072745902,0.7990421158415313,1.0,six_prespecified_clinical_omnibus_tests
nihss,0_none,0,0.0,,,,2.400476344313053,0.12129831019721711,0.6064915509860855,six_prespecified_clinical_omnibus_tests
nihss,1-4_minor,33,0.66,0.5560606060606061,0.5143939393939394,0.5962121212121212,2.400476344313053,0.12129831019721711,0.6064915509860855,six_prespecified_clinical_omnibus_tests
nihss,5-15_moderate,17,0.34,0.6102941176470589,0.5617647058823528,0.6602941176470589,2.400476344313053,0.12129831019721711,0.6064915509860855,six_prespecified_clinical_omnibus_tests
nihss,16-20_moderate_severe,0,0.0,,,,2.400476344313053,0.12129831019721711,0.6064915509860855,six_prespecified_clinical_omnibus_tests
nihss,21-42_severe,0,0.0,,,,2.400476344313053,0.12129831019721711,0.6064915509860855,six_prespecified_clinical_omnibus_tests
age,<45,7,0.14,0.5821428571428571,0.4428571428571428,0.7071428571428572,3.044022233812984,0.2182724737824456,0.7239926114046777,six_prespecified_clinical_omnibus_tests
age,45-64,33,0.66,0.5886363636363636,0.5515151515151516,0.6242424242424243,3.044022233812984,0.2182724737824456,0.7239926114046777,six_prespecified_clinical_omnibus_tests
age,>=65,10,0.2,0.5225,0.48749999999999993,0.5625,3.044022233812984,0.2182724737824456,0.7239926114046777,six_prespecified_clinical_omnibus_tests
duration,1-3,27,0.54,0.5379629629629631,0.49537037037037046,0.5777777777777778,6.478219022262212,0.09052546106745428,0.5431527664047257,six_prespecified_clinical_omnibus_tests
duration,4-7,14,0.28,0.6339285714285714,0.5839285714285715,0.6821428571428572,6.478219022262212,0.09052546106745428,0.5431527664047257,six_prespecified_clinical_omnibus_tests
duration,8-14,4,0.08,0.575,0.4875,0.6625,6.478219022262212,0.09052546106745428,0.5431527664047257,six_prespecified_clinical_omnibus_tests
duration,>=15,5,0.1,0.6050000000000001,0.47000000000000003,0.74,6.478219022262212,0.09052546106745428,0.5431527664047257,six_prespecified_clinical_omnibus_tests
mRS,0,2,0.04,0.4125,0.4,0.425,7.579268810276213,0.18099815285116944,0.7239926114046777,six_prespecified_clinical_omnibus_tests
mRS,1,15,0.3,0.5633333333333334,0.5116666666666667,0.6166666666666668,7.579268810276213,0.18099815285116944,0.7239926114046777,six_prespecified_clinical_omnibus_tests
mRS,2,4,0.08,0.55625,0.43125,0.6375,7.579268810276213,0.18099815285116944,0.7239926114046777,six_prespecified_clinical_omnibus_tests
mRS,3,6,0.12,0.5708333333333333,0.5208333333333334,0.6208333333333332,7.579268810276213,0.18099815285116944,0.7239926114046777,six_prespecified_clinical_omnibus_tests
mRS,4,22,0.44,0.5954545454545456,0.5397727272727273,0.6488636363636363,7.579268810276213,0.18099815285116944,0.7239926114046777,six_prespecified_clinical_omnibus_tests
mRS,5,1,0.02,0.7,0.7,0.7,7.579268810276213,0.18099815285116944,0.7239926114046777,six_prespecified_clinical_omnibus_tests
MBI,0-20_total,0,0.0,,,,2.288930700866227,0.5146448070853515,1.0,six_prespecified_clinical_omnibus_tests
MBI,21-60_severe,20,0.4,0.5850000000000001,0.54,0.6300000000000001,2.288930700866227,0.5146448070853515,1.0,six_prespecified_clinical_omnibus_tests
MBI,61-90_moderate,25,0.5,0.555,0.508,0.602,2.288930700866227,0.5146448070853515,1.0,six_prespecified_clinical_omnibus_tests
MBI,91-99_slight,2,0.04,0.6000000000000001,0.4,0.8,2.288930700866227,0.5146448070853515,1.0,six_prespecified_clinical_omnibus_tests
MBI,100_independent,3,0.06,0.6499999999999999,0.6499999999999999,0.65,2.288930700866227,0.5146448070853515,1.0,six_prespecified_clinical_omnibus_tests
