dataset_name,subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
Liu2024_SourceMAT,23,4,0.875,0.875,"[3, 5]",0.625,False,1,0.00538514,0.00050001,0.00460831,True,0.51999862,0.99841164,2170
Liu2024_SourceMAT,23,5,0.75,0.75,"[2, 6]",0.75,False,1,0.03300609,0.0043629,0.02824482,True,0.54358355,0.99323886,2170
Liu2024_SourceMAT,24,1,0.625,0.625,"[3, 5]",0.625,False,1,0.04473189,0.00599983,0.03827912,True,0.5337354,0.99523448,2170
Liu2024_SourceMAT,24,2,0.625,0.625,"[5, 3]",0.625,False,0,0.00864109,0.00100016,0.00739457,True,0.54027114,0.99215068,2170
Liu2024_SourceMAT,24,3,0.375,0.375,"[7, 1]",0.875,False,0,0.06745508,0.01221869,0.05772439,True,0.52730399,0.9951513,2170
Liu2024_SourceMAT,24,4,0.375,0.375,"[1, 7]",0.875,False,1,0.04519898,0.00620602,0.03867883,True,0.56633757,0.97467959,2170
Liu2024_SourceMAT,24,5,0.5,0.5,"[6, 2]",0.75,False,0,0.0408506,0.00601633,0.03495772,True,0.55836292,0.982389,2170
Liu2024_SourceMAT,25,1,0.625,0.625,"[7, 1]",0.875,False,0,0.0714336,0.01120321,0.06112899,True,0.58649268,0.96824897,2170
Liu2024_SourceMAT,25,2,0.5,0.5,"[6, 2]",0.75,False,0,0.0660089,0.01036306,0.05648683,True,0.57900412,0.97808236,2170
Liu2024_SourceMAT,25,3,0.5,0.5,"[6, 2]",0.75,False,0,0.07105392,0.01182461,0.06080408,True,0.59071277,0.95363731,2170
Liu2024_SourceMAT,25,4,0.5,0.5,"[4, 4]",0.5,False,0,0.07663351,0.01173746,0.06557879,True,0.5969218,0.96750085,2170
Liu2024_SourceMAT,25,5,0.625,0.625,"[5, 3]",0.625,False,0,0.00538493,0.00050001,0.00460813,True,0.54031674,0.99385993,2170
Liu2024_SourceMAT,26,1,0.75,0.75,"[4, 4]",0.5,False,0,0.04306421,0.00617754,0.03685201,True,0.53389946,0.99545913,2170
Liu2024_SourceMAT,26,2,0.25,0.25,"[6, 2]",0.75,False,0,0.01196111,0.00149842,0.01023566,True,0.52934588,0.99585281,2170
Liu2024_SourceMAT,26,3,0.625,0.625,"[3, 5]",0.625,False,1,0.01322617,0.00149651,0.01131824,True,0.5268543,0.99754938,2170
Liu2024_SourceMAT,26,4,0.25,0.25,"[4, 4]",0.5,False,0,0.00538514,0.00050001,0.00460831,True,0.52505258,0.99706231,2170
Liu2024_SourceMAT,26,5,0.375,0.375,"[3, 5]",0.625,False,1,0.01291121,0.00149974,0.01104871,True,0.53658196,0.99487513,2170
Liu2024_SourceMAT,27,1,0.75,0.75,"[6, 2]",0.75,False,0,0.02408724,0.00342514,0.02061256,True,0.53967343,0.99364302,2170
Liu2024_SourceMAT,27,2,0.5,0.5,"[6, 2]",0.75,False,0,0.00929345,0.00100017,0.00795283,True,0.54254314,0.99278873,2170
Liu2024_SourceMAT,27,3,0.375,0.375,"[3, 5]",0.625,False,1,0.0433423,0.00606978,0.03708998,True,0.55633866,0.98584749,2170
Liu2024_SourceMAT,27,4,0.125,0.125,"[5, 3]",0.625,False,0,0.04063933,0.00600058,0.03477693,True,0.52997781,0.99646129,2170
Liu2024_SourceMAT,27,5,0.625,0.625,"[5, 3]",0.625,False,0,0.05892435,0.01074894,0.05042425,True,0.53957666,0.98907267,2170
Liu2024_SourceMAT,28,1,0.25,0.25,"[6, 2]",0.75,False,0,0.08139186,0.01155638,0.06965073,True,0.56823849,0.98133129,2170
Liu2024_SourceMAT,28,2,0.5,0.5,"[4, 4]",0.5,False,0,0.00538514,0.00050001,0.00460831,True,0.52298882,0.99754489,2170
Liu2024_SourceMAT,28,3,0.375,0.375,"[7, 1]",0.875,False,0,0.05643955,0.00798024,0.0482979,True,0.53744209,0.9945145,2170
Liu2024_SourceMAT,28,4,0.5,0.5,"[2, 6]",0.75,False,1,0.07944568,0.01243332,0.0679853,True,0.52154747,0.99728429,2170
Liu2024_SourceMAT,28,5,0.625,0.625,"[5, 3]",0.625,False,0,0.06182911,0.00996273,0.05291,True,0.5341342,0.99449197,2170
Liu2024_SourceMAT,29,1,0.375,0.375,"[7, 1]",0.875,False,0,0.04026299,0.00611325,0.03445488,True,0.53014583,0.99693164,2170
Liu2024_SourceMAT,29,2,0.5,0.5,"[6, 2]",0.75,False,0,0.01232551,0.00149981,0.0105475,True,0.53512092,0.99467448,2170
Liu2024_SourceMAT,29,3,0.75,0.75,"[6, 2]",0.75,False,0,0.00838169,0.00100017,0.00717259,True,0.53918536,0.9940241,2170
Liu2024_SourceMAT,29,4,0.125,0.125,"[5, 3]",0.625,False,0,0.00538505,0.00050001,0.00460823,True,0.53342026,0.99535427,2170
Liu2024_SourceMAT,29,5,0.5,0.5,"[4, 4]",0.5,False,0,0.00888639,0.00100018,0.00760449,True,0.5271127,0.99710294,2170
Liu2024_SourceMAT,30,1,0.375,0.375,"[7, 1]",0.875,False,0,0.00912108,0.00100015,0.00780533,True,0.55883637,0.98673727,2170
