channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.15285669867999999,0.0034087662081507997,0.006018567680000001,0.15317416188000002,250,0.859,0.516,0.04839928232
28,O2,0.14449899904,0.003653684882634496,-0.023349058,0.14734830972000001,250,0.859,0.516,0.04839928232
15,T3,0.12695417747999999,0.004042550962275729,0.12695417747999999,0.13254225647999998,250,0.859,0.516,0.04839928232
27,O1,0.12238559580000001,0.00444859268643001,0.0559080908,0.13304232931999999,250,0.859,0.516,0.04839928232
16,T4,0.12186037136,0.003348252142179108,0.014311840119999999,0.13455166308,250,0.859,0.516,0.04839928232
17,CP3,0.12128916836,0.00361774910014957,0.032009791280000005,0.13912507336,250,0.859,0.516,0.04839928232
13,C3,0.11501301259999999,0.0038227659084197063,0.07157340356,0.11731498328000001,250,0.859,0.516,0.04839928232
18,CP4,0.11099798584,0.004040332247530597,0.03451178328,0.12769906116,250,0.859,0.516,0.04839928232
0,Fp1,0.10983132148,0.003925931843690439,-0.09609492280000001,0.12280123396,250,0.859,0.516,0.04839928232
22,P3,0.10732950683999999,0.004439977472289266,0.10732950683999999,0.11683269172,250,0.859,0.516,0.04839928232
2,Fz,0.10477666740000001,0.003526278452730241,-0.09959599504000001,0.11854986312,250,0.859,0.516,0.04839928232
23,P4,0.10464397996,0.003890350293433597,-0.0927048208,0.11667351492,250,0.859,0.516,0.04839928232
24,T5,0.10418477856,0.004768906090508804,0.07303714136,0.11398460532,250,0.859,0.516,0.04839928232
7,FCz,0.09814537312,0.003957985262036865,0.09792617776,0.11338557984,250,0.859,0.516,0.04839928232
4,F4,0.096628114,0.003667914494992363,0.01243602848,0.10705012103999999,250,0.859,0.516,0.04839928232
10,FT7,0.08996659852000001,0.004125052726361016,-0.05730457112,0.10350514748,250,0.859,0.516,0.04839928232
20,TP8,0.08967834828,0.003907898082848163,-0.05835402808,0.10838480228,250,0.859,0.516,0.04839928232
3,F3,0.08729850688,0.003100477605127357,0.02733008624,0.094427493,250,0.859,0.516,0.04839928232
14,C4,0.08568317156000001,0.004031522052352885,-0.07461130276,0.09605170244,250,0.859,0.516,0.04839928232
5,F7,0.08461516864,0.004388511810069223,0.08173986204,0.0978615808,250,0.859,0.516,0.04839928232
19,TP7,0.08399829212,0.004278194433328878,-0.018642314160000003,0.09391877092,250,0.859,0.516,0.04839928232
25,T6,0.0808487686,0.0036328135352127508,-0.061755680480000005,0.0923293146,250,0.859,0.516,0.04839928232
11,FT8,0.08015348276,0.004024628934234648,-0.00270984292,0.09751566076,250,0.859,0.516,0.04839928232
26,Oz,0.07748008131999999,0.003764504487799334,0.0426181386,0.07990407464,250,0.859,0.516,0.04839928232
6,F8,0.07720729364000001,0.004438541469663617,-0.02867207704,0.07858031339999999,250,0.859,0.516,0.04839928232
12,Cz,0.07698281344,0.003244159388117764,0.07473630912,0.0919898948,250,0.859,0.516,0.04839928232
1,Fp2,0.07683914964,0.003908321086208853,0.06089850748,0.09517774679999999,250,0.859,0.516,0.04839928232
9,FC4,0.0581189392,0.003406623675097072,-0.05751675528,0.0760173596,250,0.859,0.516,0.04839928232
8,FC3,0.03134421264,0.0032017387823088874,0.00528790448,0.03786456256,250,0.859,0.516,0.04839928232
