channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.15186857164,0.021520061603833785,0.0060186212,0.15669011792,250,0.6575,0.02,0.21358330068
28,O2,0.1387305852,0.020558298380827903,-0.021840885879999997,0.14392308227999998,250,0.6575,0.02,0.21358330068
17,CP3,0.11964599892,0.017019281271711234,0.02097116068,0.13896209728,250,0.6575,0.02,0.21358330068
15,T3,0.11962738672,0.02300321648849818,0.1170425376,0.12618791664,250,0.6575,0.02,0.21358330068
27,O1,0.11875675936,0.015874218072316145,0.053636474919999996,0.13078518883999998,250,0.6575,0.02,0.21358330068
16,T4,0.11558215348,0.020490846682775125,0.013697365080000001,0.128604222,250,0.6575,0.02,0.21358330068
18,CP4,0.114863213,0.017320440834828817,0.03900312312,0.1324254016,250,0.6575,0.02,0.21358330068
13,C3,0.11398738776,0.014646747909169972,0.06515197328000001,0.12005570024000001,250,0.6575,0.02,0.21358330068
22,P3,0.107169694,0.018544481317757766,0.10147657424,0.118407133,250,0.6575,0.02,0.21358330068
2,Fz,0.10309097839999999,0.015531269780443998,-0.09555632208,0.11657691272,250,0.6575,0.02,0.21358330068
23,P4,0.10296345275999999,0.01901314187403852,-0.08495221528,0.1155014118,250,0.6575,0.02,0.21358330068
0,Fp1,0.101423143,0.019615192643359834,-0.08551039084,0.11431360424,250,0.6575,0.02,0.21358330068
24,T5,0.10064582672,0.022464723459093977,0.06606090808000001,0.11113886348,250,0.6575,0.02,0.21358330068
7,FCz,0.09920616016,0.01827070658288462,0.09494849532,0.11373294536,250,0.6575,0.02,0.21358330068
4,F4,0.0943245724,0.016067435018219216,0.014265068760000001,0.10610377784000001,250,0.6575,0.02,0.21358330068
20,TP8,0.09070297688,0.01798246410133641,-0.059060073160000004,0.10940467515999999,250,0.6575,0.02,0.21358330068
10,FT7,0.08919820044,0.01838646036612035,-0.05535844712,0.10335568168,250,0.6575,0.02,0.21358330068
14,C4,0.08704668524,0.02181681480146547,-0.07079511724,0.09895019172,250,0.6575,0.02,0.21358330068
19,TP7,0.08502387496,0.012533339694021537,-0.02187612624,0.09702099752,250,0.6575,0.02,0.21358330068
3,F3,0.0845957642,0.01508059446747655,0.02529113944,0.09319697272000001,250,0.6575,0.02,0.21358330068
5,F7,0.08397017384,0.015388493246927204,0.07625219112,0.09704989116,250,0.6575,0.02,0.21358330068
12,Cz,0.08388480712,0.02492009508510901,0.06921562299999999,0.0988562764,250,0.6575,0.02,0.21358330068
25,T6,0.08102248508,0.012229520765441872,-0.06071114288,0.09332035988,250,0.6575,0.02,0.21358330068
11,FT8,0.08074314112,0.01574851963258357,-0.0018980703599999998,0.09661680704,250,0.6575,0.02,0.21358330068
26,Oz,0.07621621624,0.014008629552370443,0.0390211158,0.08137640704,250,0.6575,0.02,0.21358330068
1,Fp2,0.07609332108,0.016127964095633027,0.0580294684,0.09332394428,250,0.6575,0.02,0.21358330068
6,F8,0.07353772544,0.015090867959602875,-0.027041366520000002,0.07704371264,250,0.6575,0.02,0.21358330068
9,FC4,0.06153914012,0.019696634359339892,-0.05308669304,0.07764390924,250,0.6575,0.02,0.21358330068
8,FC3,0.03992922264,0.01958912064440153,-0.0006320082,0.04771964448,250,0.6575,0.02,0.21358330068
