subject_id,fold_id,cv_scheme,accuracy,balanced_accuracy,train_accuracy,train_balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,y_train_counts,y_test_counts,n_train,n_test,embedding_dim,pca_n_components,pca_explained_variance_sum,finetune_use_validation,finetune_val_split,finetune_n_train_inner,finetune_n_val_inner,finetune_train_counts_inner,finetune_val_counts_inner,finetune_epochs_ran,finetune_best_val_loss,finetune_last_train_loss,finetune_last_val_loss,finetune_selected_checkpoint
1,0,sjepa_5fold,0.5,0.5,0.8125,0.8125,1.0,0.0,"[[4, 0], [4, 0]]",True,1.0,"[8, 0]","[16, 16]","[4, 4]",32,8,20,20,0.975084662437439,True,0.2,26,6,"[13, 13]","[3, 3]",51,0.6939725279808044,0.49173469841480255,0.707787036895752,best_internal_validation_loss
1,1,sjepa_5fold,0.5,0.5,0.96875,0.96875,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,20,20,0.9798338413238525,True,0.2,26,6,"[13, 13]","[3, 3]",116,0.6794409155845642,0.21933526173233986,0.7242727875709534,best_internal_validation_loss
1,2,sjepa_5fold,0.5,0.5,1.0,1.0,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,20,20,0.9785975217819214,True,0.2,26,6,"[13, 13]","[3, 3]",463,0.5067242980003357,0.04136025905609131,0.5125175714492798,best_internal_validation_loss
1,3,sjepa_5fold,0.5,0.5,0.875,0.875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,20,20,0.9846064448356628,True,0.2,26,6,"[13, 13]","[3, 3]",54,0.6941070556640625,0.4464396983385086,0.6995997428894043,best_internal_validation_loss
1,4,sjepa_5fold,0.75,0.75,0.96875,0.96875,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,20,20,0.9822537302970886,True,0.2,26,6,"[13, 13]","[3, 3]",51,0.6943633556365967,0.4458767846226692,0.7547121047973633,best_internal_validation_loss
2,0,sjepa_5fold,0.5,0.5,0.9375,0.9375,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,20,20,0.9810174703598022,True,0.2,26,6,"[13, 13]","[3, 3]",530,0.17488692700862885,0.023550077807158232,0.1881989985704422,best_internal_validation_loss
2,1,sjepa_5fold,0.25,0.25,0.90625,0.90625,0.0,0.5,"[[0, 4], [2, 2]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,20,20,0.979133129119873,True,0.2,26,6,"[13, 13]","[3, 3]",160,0.5812603831291199,0.21906127780675888,0.5918931365013123,best_internal_validation_loss
2,2,sjepa_5fold,0.375,0.375,0.875,0.875,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,20,20,0.978781521320343,True,0.2,26,6,"[13, 13]","[3, 3]",51,0.6954662799835205,0.3804332837462425,0.8845067024230957,best_internal_validation_loss
2,3,sjepa_5fold,0.5,0.5,0.96875,0.96875,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,20,20,0.9799330830574036,True,0.2,26,6,"[13, 13]","[3, 3]",51,0.6961219310760498,0.46130167692899704,0.7531054019927979,best_internal_validation_loss
2,4,sjepa_5fold,0.5,0.5,0.75,0.75,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,20,20,0.9814030528068542,True,0.2,26,6,"[13, 13]","[3, 3]",91,0.6281729936599731,0.3210652023553848,0.661721408367157,best_internal_validation_loss
3,0,sjepa_5fold,0.5,0.5,0.84375,0.84375,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,20,20,0.9802626967430115,True,0.2,26,6,"[13, 13]","[3, 3]",51,0.6958487629890442,0.4403984472155571,0.775550127029419,best_internal_validation_loss
3,1,sjepa_5fold,0.75,0.75,0.9375,0.9375,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,20,20,0.9821598529815674,True,0.2,26,6,"[13, 13]","[3, 3]",377,0.49450305104255676,0.02458438603207469,0.49959683418273926,best_internal_validation_loss
3,2,sjepa_5fold,0.75,0.75,0.90625,0.90625,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,20,20,0.9810590744018555,True,0.2,26,6,"[13, 13]","[3, 3]",95,0.6631526947021484,0.2589772753417492,0.6773643493652344,best_internal_validation_loss
3,3,sjepa_5fold,0.625,0.625,0.8125,0.8125,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,20,20,0.9845821261405945,True,0.2,26,6,"[13, 13]","[3, 3]",369,0.4494124948978424,0.037182982079684734,0.4696977436542511,best_internal_validation_loss
3,4,sjepa_5fold,0.5,0.5,0.875,0.875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,20,20,0.9889147877693176,True,0.2,26,6,"[13, 13]","[3, 3]",85,0.6626653671264648,0.23090123012661934,0.6890131831169128,best_internal_validation_loss
4,0,sjepa_5fold,0.25,0.25,0.875,0.875,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,20,20,0.9745141267776489,True,0.2,26,6,"[13, 13]","[3, 3]",54,0.6885411739349365,0.3903035521507263,0.7456920742988586,best_internal_validation_loss
4,1,sjepa_5fold,0.5,0.5,0.875,0.875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,20,20,0.9802196621894836,True,0.2,26,6,"[13, 13]","[3, 3]",51,0.6965767741203308,0.3526226133108139,0.7544339299201965,best_internal_validation_loss
4,2,sjepa_5fold,0.5,0.5,1.0,1.0,1.0,0.0,"[[4, 0], [4, 0]]",True,1.0,"[8, 0]","[16, 16]","[4, 4]",32,8,20,20,0.9724733233451843,True,0.2,26,6,"[13, 13]","[3, 3]",144,0.6750442385673523,0.2980608642101288,0.7004497051239014,best_internal_validation_loss
