method_name,repeat_id_used_for_paper_scale,author_style_confusion_matrix_right_left_order,n_predictions,accuracy_from_matrix
CSP_LDA,1,"[[211, 184], [206, 199]]",800,51.24999999999999
FBCSP_SVM,1,"[[206, 189], [217, 188]]",800,49.25
