method_name,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_kappa_sklearn,n_subjects,paper_target_accuracy,delta_vs_paper
CSP_LDA,50.9125,11.651159671194685,53.06369602619603,0.058604533135916986,50,55.57,-4.657499999999999
FBCSP_SVM,48.2125,9.076462677987388,51.135818903318906,0.022960224459484865,50,57.57,-9.357500000000002
