method,subjects,cv_scheme,bal_acc_pct,fair_vs_this_run
riemann (this run),"2 subject(s): [1, 3]","repeated_holdout test_size=0.4 x1, inner_folds=2",53.12,"Yes -- identical subject set, splits, and CV scheme as the other 'this run' rows."
sjepa (this run),"2 subject(s): [1, 3]","repeated_holdout test_size=0.4 x1, inner_folds=2",62.5,"Yes -- identical subject set, splits, and CV scheme as the other 'this run' rows."
fusion (this run),"2 subject(s): [1, 3]","repeated_holdout test_size=0.4 x1, inner_folds=2",37.5,"Yes -- identical subject set, splits, and CV scheme as the other 'this run' rows."
CSP+LDA (honest),all 50,not verified here,50.58,No -- different pipeline/CV scheme; provenance not re-verified in this notebook.
FBCSP+SVM (honest),all 50,not verified here,51.15,No -- different pipeline/CV scheme; provenance not re-verified in this notebook.
"TWFB+DGFMDM paper-faithful, honest nested-CV",all 50,"repeated_holdout 24/16 x5, inner_folds=3",51.6,"Partial -- same honest-nested-CV *philosophy*, different feature/classifier and outer test_size/n_repeats than this notebook's CONFIG."
"TWFB+DGFMDM paper-faithful, honest nested-CV",Lv-14 subset,"repeated_holdout 24/16 x5, inner_folds=3",50.8,"Partial -- same subject-set-selection philosophy as this notebook's Lv-14 runs, but different CV scheme/test_size."
Frozen S-JEPA embeddings + LDA probe (solo),all 50 (reported),"sjepa_5fold or liu_repeated_holdout -- exact protocol match to this run NOT verified (open item, CLAUDE.md sec.3 #4)",53.95,No -- exact CV protocol match unconfirmed; treat as directional only until re-run.
