window_start_s,8-12,10-14,12-16,14-18,16-20,18-22,20-24,22-26,24-28,26-30,8-30
0.0,0.48350000000000004,0.47950000000000004,0.462,0.4725,0.461,0.456,0.47700000000000004,0.47350000000000003,0.46149999999999997,0.447,0.4515
0.5,0.495,0.4825,0.48950000000000005,0.4705,0.47950000000000004,0.47950000000000004,0.4965,0.48350000000000004,0.4645,0.4595,0.48
1.0,0.488,0.4885,0.4765,0.4685,0.48,0.47450000000000003,0.489,0.495,0.455,0.4385,0.467
1.5,0.5145000000000001,0.493,0.47700000000000004,0.4855,0.4925,0.467,0.47,0.4765,0.46950000000000003,0.4445,0.469
2.0,0.488,0.488,0.48950000000000005,0.48,0.47950000000000004,0.4725,0.507,0.47200000000000003,0.4815,0.4645,0.473
