subject_id,window_start_s,band,band_lo,band_hi,mean_accuracy,mean_balanced_accuracy,std_balanced_accuracy,collapse_rate,prediction_histogram_total,n_folds
1,0.0,8-12,8,12,0.5,0.5,0.1767766952966369,0.0,"[22, 18]",5
1,0.0,10-14,10,14,0.35,0.35,0.09354143466934853,0.0,"[18, 22]",5
1,0.0,12-16,12,16,0.425,0.425,0.15000000000000002,0.0,"[19, 21]",5
1,0.0,14-18,14,18,0.475,0.475,0.18371173070873836,0.0,"[17, 23]",5
1,0.0,16-20,16,20,0.6,0.6,0.24238399287081644,0.0,"[18, 22]",5
1,0.0,18-22,18,22,0.525,0.525,0.21505813167606566,0.0,"[19, 21]",5
1,0.0,20-24,20,24,0.35,0.35,0.09354143466934853,0.0,"[16, 24]",5
1,0.0,22-26,22,26,0.425,0.425,0.12747548783981963,0.0,"[15, 25]",5
1,0.0,24-28,24,28,0.5,0.5,0.15811388300841897,0.0,"[14, 26]",5
1,0.0,26-30,26,30,0.5,0.5,0.11180339887498948,0.0,"[16, 24]",5
1,0.0,8-30,8,30,0.425,0.425,0.12747548783981963,0.0,"[17, 23]",5
2,0.0,8-12,8,12,0.55,0.55,0.1695582495781317,0.0,"[18, 22]",5
2,0.0,10-14,10,14,0.525,0.525,0.1457737973711325,0.0,"[19, 21]",5
2,0.0,12-16,12,16,0.375,0.375,0.07905694150420949,0.0,"[21, 19]",5
2,0.0,14-18,14,18,0.3,0.3,0.06123724356957945,0.0,"[20, 20]",5
2,0.0,16-20,16,20,0.55,0.55,0.1695582495781317,0.0,"[22, 18]",5
2,0.0,18-22,18,22,0.375,0.375,0.11180339887498948,0.0,"[21, 19]",5
2,0.0,20-24,20,24,0.55,0.55,0.18708286933869706,0.0,"[24, 16]",5
2,0.0,22-26,22,26,0.5,0.5,0.23717082451262844,0.0,"[22, 18]",5
2,0.0,24-28,24,28,0.525,0.525,0.16583123951777,0.0,"[25, 15]",5
2,0.0,26-30,26,30,0.4,0.4,0.049999999999999996,0.0,"[18, 22]",5
2,0.0,8-30,8,30,0.475,0.475,0.09354143466934853,0.0,"[21, 19]",5
3,0.0,8-12,8,12,0.375,0.375,0.11180339887498948,0.0,"[21, 19]",5
3,0.0,10-14,10,14,0.45,0.45,0.1695582495781317,0.0,"[16, 24]",5
3,0.0,12-16,12,16,0.425,0.425,0.16955824957813173,0.0,"[17, 23]",5
3,0.0,14-18,14,18,0.425,0.425,0.12747548783981963,0.0,"[19, 21]",5
3,0.0,16-20,16,20,0.45,0.45,0.1695582495781317,0.0,"[22, 18]",5
3,0.0,18-22,18,22,0.35,0.35,0.1224744871391589,0.0,"[22, 18]",5
3,0.0,20-24,20,24,0.425,0.425,0.16955824957813173,0.0,"[21, 19]",5
3,0.0,22-26,22,26,0.375,0.375,0.07905694150420949,0.0,"[21, 19]",5
