subject_id,fold_id,cv_scheme,branches,fusion,twfb_classifier,n_train,n_test,y_test_counts,selected_window_idx,selected_band_idx,selected_inner_score,accuracy,balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts
1,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,2,0.8125,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
1,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,11,0.75,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
1,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.78125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
1,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.78125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
1,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,1,0.8125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
2,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,16,0.78125,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
2,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,5,0.8125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
2,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,17,0.71875,0.125,0.125,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]"
2,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,14,0.75,0.625,0.625,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]"
2,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,15,0.75,0.375,0.375,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]"
