subject_id,rep,band,accuracy,balanced_accuracy
3,0,8-20,0.5,0.5272727272727272
3,0,8-30,0.4375,0.42727272727272725
3,0,12-20,0.375,0.32727272727272727
3,0,15-20,0.4375,0.5363636363636364
3,0,15-30,0.3125,0.33636363636363636
3,0,20-30,0.3125,0.3909090909090909
3,0,8-15,0.375,0.38181818181818183
3,1,8-12,0.5625,0.6166666666666667
3,1,8-20,0.3125,0.35
3,1,8-30,0.375,0.4
3,1,12-20,0.4375,0.4833333333333333
3,1,15-20,0.4375,0.4833333333333333
3,1,15-30,0.5625,0.65
3,1,20-30,0.5625,0.6166666666666667
3,1,8-15,0.5,0.5666666666666667
3,2,8-12,0.5625,0.5634920634920635
3,2,8-20,0.375,0.3968253968253968
3,2,8-30,0.5,0.5396825396825397
3,2,12-20,0.4375,0.45238095238095233
3,2,15-20,0.375,0.36507936507936506
3,2,15-30,0.4375,0.45238095238095233
3,2,20-30,0.375,0.38095238095238093
3,2,8-15,0.4375,0.45238095238095233
3,3,8-12,0.375,0.38095238095238093
3,3,8-20,0.375,0.38095238095238093
3,3,8-30,0.5625,0.5634920634920635
3,3,12-20,0.625,0.6507936507936507
3,3,15-20,0.5,0.5079365079365079
3,3,15-30,0.3125,0.30952380952380953
3,3,20-30,0.5,0.5238095238095238
3,3,8-15,0.4375,0.45238095238095233
3,4,8-12,0.4375,0.4365079365079365
3,4,8-20,0.5,0.4920634920634921
3,4,8-30,0.5,0.4920634920634921
3,4,12-20,0.375,0.38095238095238093
3,4,15-20,0.5625,0.5793650793650793
3,4,15-30,0.4375,0.4365079365079365
3,4,20-30,0.5625,0.5793650793650793
3,4,8-15,0.5,0.5079365079365079
3,5,8-12,0.375,0.3968253968253968
3,5,8-20,0.375,0.36507936507936506
3,5,8-30,0.5,0.5079365079365079
3,5,12-20,0.375,0.3968253968253968
3,5,15-20,0.4375,0.46825396825396826
3,5,15-30,0.375,0.3968253968253968
3,5,20-30,0.3125,0.32539682539682535
3,5,8-15,0.3125,0.30952380952380953
3,6,8-12,0.375,0.4126984126984127
3,6,8-20,0.4375,0.46825396825396826
3,6,8-30,0.5,0.5396825396825397
3,6,12-20,0.5,0.5079365079365079
3,6,15-20,0.5,0.5079365079365079
3,6,15-30,0.4375,0.46825396825396826
3,6,20-30,0.5,0.5238095238095238
3,6,8-15,0.375,0.4126984126984127
3,7,8-12,0.4375,0.4833333333333333
3,7,8-20,0.375,0.43333333333333335
3,7,8-30,0.375,0.4666666666666667
3,7,12-20,0.375,0.4666666666666667
3,7,15-20,0.4375,0.55
3,7,15-30,0.375,0.4666666666666667
3,7,20-30,0.25,0.3333333333333333
3,7,8-15,0.3125,0.35
3,8,8-12,0.375,0.375
3,8,8-20,0.4375,0.4375
3,8,8-30,0.5625,0.5625
3,8,12-20,0.5,0.5
3,8,15-20,0.5625,0.5625
3,8,15-30,0.5625,0.5625
3,8,20-30,0.5625,0.5625
3,8,8-15,0.3125,0.3125
3,9,8-12,0.3125,0.31666666666666665
3,9,8-20,0.3125,0.2833333333333333
3,9,8-30,0.5,0.4666666666666667
3,9,12-20,0.3125,0.31666666666666665
3,9,15-20,0.4375,0.41666666666666663
3,9,15-30,0.375,0.3666666666666667
3,9,20-30,0.3125,0.35
3,9,8-15,0.25,0.23333333333333334
4,0,8-12,0.5,0.5
4,0,8-20,0.5625,0.5625
4,0,8-30,0.5,0.5
4,0,12-20,0.375,0.375
4,0,15-20,0.1875,0.1875
