subject_id,fold_id,feature_set,cv_scheme,classifier,accuracy,balanced_accuracy,train_accuracy,train_balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,y_train_counts,y_test_counts,n_train,n_test,meta_riemann_dim_pca,meta_riemann_pca_var,meta_fused_dim
1,0,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.6875,0.6875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,15,0.7216160472771423,15
1,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.71875,0.71875,0.0,1.0,"[[0, 4], [0, 4]]",True,1.0,"[0, 8]","[16, 16]","[4, 4]",32,8,15,0.7239308840765243,15
1,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7181669222045057,15
1,3,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.6875,0.6875,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6878847354256437,15
1,4,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.84375,0.84375,0.5,0.0,"[[2, 2], [4, 0]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.7181908303709748,15
2,0,riemann,sjepa_5fold,shrinkage_lda,0.125,0.125,0.75,0.75,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7426963574718266,15
2,1,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.84375,0.84375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7724299378620575,15
2,2,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.84375,0.84375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7467923177301997,15
2,3,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.65625,0.65625,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7625265261566374,15
2,4,riemann,sjepa_5fold,shrinkage_lda,0.125,0.125,0.84375,0.84375,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7694443530544738,15
3,0,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.78125,0.78125,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.8139509059767542,15
3,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.90625,0.90625,0.0,1.0,"[[0, 4], [0, 4]]",True,1.0,"[0, 8]","[16, 16]","[4, 4]",32,8,15,0.8158539273405604,15
3,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.875,0.875,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.8028000214852817,15
3,3,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,0.84375,0.84375,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7762361731364373,15
3,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.8125,0.8125,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7865604887098816,15
