subject_id,fold_id,feature_set,cv_scheme,classifier,accuracy,balanced_accuracy,train_accuracy,train_balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,y_train_counts,y_test_counts,n_train,n_test,meta_riemann_dim_pca,meta_riemann_pca_var,meta_fused_dim
4,0,riemann,sjepa_5fold,shrinkage_lda,0.0,0.0,0.8125,0.8125,0.0,0.0,"[[0, 4], [4, 0]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.6819275454486632,15
4,1,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.625,0.625,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6839963991629769,15
4,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.6720204525260013,15
4,3,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.6875,0.6875,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.6810713216948865,15
4,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.84375,0.84375,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,15,0.6836988410969421,15
5,0,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.875,0.875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,15,0.585892835319406,15
5,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.5852753837385715,15
5,2,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.8125,0.8125,0.0,0.75,"[[0, 4], [1, 3]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,15,0.5833146688788333,15
5,3,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.78125,0.78125,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.580244713435186,15
5,4,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.9375,0.9375,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.580878534432642,15
6,0,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.875,0.875,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.888694293652111,15
6,1,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.78125,0.78125,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,15,0.88188225364156,15
6,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.8879717347020605,15
6,3,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.8125,0.8125,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,15,0.8801051389484285,15
6,4,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.8636216303490751,15
7,0,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.8125,0.8125,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.8197327126891398,15
7,1,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.84375,0.84375,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,15,0.8236823396490288,15
7,2,riemann,sjepa_5fold,shrinkage_lda,1.0,1.0,0.875,0.875,1.0,1.0,"[[4, 0], [0, 4]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7921660121143473,15
7,3,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,0.9375,0.9375,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,15,0.8090672286581654,15
7,4,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.90625,0.90625,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.793320788353899,15
8,0,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.84375,0.84375,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7046744240489837,15
8,1,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.8125,0.8125,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.6882852781646757,15
8,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.75,0.75,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7015281956428856,15
8,3,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.8125,0.8125,0.5,0.0,"[[2, 2], [4, 0]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.6995159441728848,15
8,4,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.75,0.75,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,15,0.6961005787468528,15
9,0,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.75,0.75,0.0,0.75,"[[0, 4], [1, 3]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,15,0.6774799865550893,15
9,1,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.65625,0.65625,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,15,0.6853590959100636,15
9,2,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.8125,0.8125,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.6707189901417813,15
9,3,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,15,0.6731551701577573,15
9,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.75,0.75,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6908607796293661,15
10,0,riemann,sjepa_5fold,shrinkage_lda,0.125,0.125,0.8125,0.8125,0.0,0.25,"[[0, 4], [3, 1]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7568916154277948,15
10,1,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.75,0.75,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7482046743997942,15
10,2,riemann,sjepa_5fold,shrinkage_lda,0.125,0.125,0.78125,0.78125,0.0,0.25,"[[0, 4], [3, 1]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7534097469619472,15
10,3,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.8125,0.8125,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7515691881074866,15
10,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.75,0.75,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6840711872120112,15
11,0,riemann,sjepa_5fold,shrinkage_lda,0.875,0.875,0.96875,0.96875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7915921990841068,15
11,1,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,0.9375,0.9375,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7908656607890183,15
11,2,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,0.96875,0.96875,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.789261024033056,15
11,3,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,1.0,1.0,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7936844061214394,15
11,4,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,1.0,1.0,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.6470911575487359,15
12,0,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.84375,0.84375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7024791820229961,15
12,1,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.8125,0.8125,0.5,0.0,"[[2, 2], [4, 0]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.7170094561290601,15
12,2,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.8125,0.8125,0.0,0.5,"[[0, 4], [2, 2]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,15,0.7223868091592771,15
12,3,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.78125,0.78125,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7130700100933267,15
12,4,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.7068925524600728,15
13,0,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.84375,0.84375,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.9159211498354419,15
13,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.9271534463157981,15
13,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.9328380994138036,15
13,3,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.9369612552175747,15
13,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.84375,0.84375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.9438435515133972,15
14,0,riemann,sjepa_5fold,shrinkage_lda,0.125,0.125,0.84375,0.84375,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6467990030434141,15
14,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.6474039951519291,15
14,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.78125,0.78125,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.6426467007344903,15
14,3,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.78125,0.78125,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.639042879920519,15
14,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.8125,0.8125,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.6503083750589984,15
15,0,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,15,0.5807467415944585,15
15,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.5825825934570003,15
15,2,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.9375,0.9375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.5826570638052138,15
15,3,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,0.84375,0.84375,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.5750545712536795,15
15,4,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.90625,0.90625,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.5826490807395839,15
16,0,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.78125,0.78125,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.8860926164651637,15
16,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.6875,0.6875,1.0,0.0,"[[4, 0], [4, 0]]",True,1.0,"[8, 0]","[16, 16]","[4, 4]",32,8,15,0.8839849715132265,15
16,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.71875,0.71875,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.8818794618469187,15
16,3,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.75,0.75,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.715504101327172,15
16,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.78125,0.78125,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.8846279672204224,15
17,0,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.84375,0.84375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7257362023455796,15
17,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.875,0.875,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7356705458065442,15
17,2,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.90625,0.90625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7267897307263079,15
17,3,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.8125,0.8125,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.720122868374774,15
17,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.90625,0.90625,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,15,0.7320366968930696,15
18,0,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.875,0.875,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.700275012991518,15
18,1,riemann,sjepa_5fold,shrinkage_lda,0.0,0.0,0.90625,0.90625,0.0,0.0,"[[0, 4], [4, 0]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.6956809204968644,15
18,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.90625,0.90625,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.6689259416239526,15
18,3,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.6977536352932688,15
18,4,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.78125,0.78125,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,15,0.7110365082897733,15
19,0,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.78125,0.78125,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7611677569123534,15
19,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.71875,0.71875,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.771197490918896,15
19,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.90625,0.90625,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7996313810822124,15
19,3,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,0.78125,0.78125,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.8067080018285757,15
19,4,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.8125,0.8125,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,15,0.8093366994586131,15
20,0,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.90625,0.90625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7652241370267723,15
20,1,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,1.0,1.0,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]","[16, 16]","[4, 4]",32,8,15,0.7636358120577352,15
20,2,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,0.875,0.875,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7538021069371477,15
20,3,riemann,sjepa_5fold,shrinkage_lda,0.875,0.875,0.875,0.875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7701870455608015,15
20,4,riemann,sjepa_5fold,shrinkage_lda,0.875,0.875,0.9375,0.9375,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.7605492943703427,15
21,0,riemann,sjepa_5fold,shrinkage_lda,0.125,0.125,0.84375,0.84375,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7798889127269771,15
21,1,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.84375,0.84375,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,15,0.7857283206830259,15
21,2,riemann,sjepa_5fold,shrinkage_lda,0.25,0.25,0.875,0.875,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.7746892908342277,15
21,3,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.8125,0.8125,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,15,0.7940910339344814,15
21,4,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.875,0.875,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]","[16, 16]","[4, 4]",32,8,15,0.8057348786972806,15
22,0,riemann,sjepa_5fold,shrinkage_lda,0.75,0.75,1.0,1.0,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.652803070703958,15
22,1,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.9375,0.9375,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6434590511750612,15
22,2,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.96875,0.96875,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6452951216638957,15
22,3,riemann,sjepa_5fold,shrinkage_lda,0.875,0.875,0.90625,0.90625,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.623308375218628,15
22,4,riemann,sjepa_5fold,shrinkage_lda,0.875,0.875,0.96875,0.96875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6446094089070203,15
23,0,riemann,sjepa_5fold,shrinkage_lda,0.875,0.875,0.96875,0.96875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6787333477797467,15
23,1,riemann,sjepa_5fold,shrinkage_lda,1.0,1.0,0.96875,0.96875,1.0,1.0,"[[4, 0], [0, 4]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.6878288554465222,15
23,2,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.9375,0.9375,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.6604649555024612,15
23,3,riemann,sjepa_5fold,shrinkage_lda,0.875,0.875,0.96875,0.96875,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.6843129442427781,15
23,4,riemann,sjepa_5fold,shrinkage_lda,0.875,0.875,0.96875,0.96875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.6985050624508093,15
24,0,riemann,sjepa_5fold,shrinkage_lda,0.375,0.375,0.8125,0.8125,0.0,0.75,"[[0, 4], [1, 3]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,15,0.8765127515592861,15
24,1,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.71875,0.71875,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,15,0.8903381327258404,15
24,2,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.71875,0.71875,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]","[16, 16]","[4, 4]",32,8,15,0.8443418928338714,15
24,3,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.8125,0.8125,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.8887442321391297,15
24,4,riemann,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,15,0.8898447962187557,15
25,0,riemann,sjepa_5fold,shrinkage_lda,0.625,0.625,0.75,0.75,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,15,0.7960927254640411,15
