model_name,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,n_folds_total,n_subjects
CSP_LDA,0.514,0.19642640691448113,0.514,0.19642640691448113,0.51375,0.2530220209236523,250,50
FBCSP_LDA,0.515,0.1754226107703278,0.515,0.1754226107703278,0.522,0.21999338252186965,250,50
