subject_id,fold_id,model_name,n_train,n_test,train_class_counts,test_class_counts,feature_band,n_csp_components,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,roc_auc,n_filter_bands,n_csp_components_per_band
1,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",0.0,,
1,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.125,0.125,"[[1, 3], [4, 0]]","[5, 3]",0.25,9.0,4.0
1,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[1, 3], [0, 4]]","[1, 7]",0.5,,
1,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,9.0,4.0
1,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.3125,,
1,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.375,9.0,4.0
1,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[4, 0], [4, 0]]","[8, 0]",1.0,,
1,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[4, 0], [4, 0]]","[8, 0]",0.75,9.0,4.0
1,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.25,,
1,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.1875,9.0,4.0
2,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.25,,
2,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.625,9.0,4.0
2,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.75,,
2,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[0, 4], [2, 2]]","[2, 6]",0.25,9.0,4.0
2,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.3125,,
2,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.5625,9.0,4.0
