subject,BA_%,acc_%
1,52.5,52.5
2,47.5,47.5
3,55.0,55.0
4,50.0,50.0
5,62.5,62.5
6,47.5,47.5
7,75.0,75.0
8,32.5,32.5
9,45.0,45.0
10,50.0,50.0
11,47.5,47.5
12,50.0,50.0
13,70.0,70.0
14,65.0,65.0
15,57.5,57.5
16,35.0,35.0
17,50.0,50.0
18,72.5,72.5
19,45.0,45.0
20,65.0,65.0
21,45.0,45.0
22,45.0,45.0
23,52.5,52.5
24,45.0,45.0
25,42.5,42.5
26,60.0,60.0
27,50.0,50.0
28,57.5,57.5
29,40.0,40.0
30,62.5,62.5
31,62.5,62.5
32,32.5,32.5
33,52.5,52.5
34,40.0,40.0
35,55.0,55.0
36,47.5,47.5
37,65.0,65.0
38,70.0,70.0
39,35.0,35.0
40,70.0,70.0
41,47.5,47.5
42,55.0,55.0
43,52.5,52.5
44,47.5,47.5
45,70.0,70.0
46,57.5,57.5
47,52.5,52.5
48,57.5,57.5
49,55.0,55.0
50,55.0,55.0
