subject,balanced_acc_%,acc_%,collapse_ratio
1,50.0,50.0,0.9
2,52.5,52.5,0.97
3,42.5,42.5,0.93
4,45.0,45.0,0.9
5,50.0,50.0,1.0
6,45.0,45.0,0.95
7,50.0,50.0,0.9
8,52.5,52.5,0.97
9,50.0,50.0,1.0
10,50.0,50.0,1.0
11,45.0,45.0,0.9
12,47.5,47.5,0.97
13,52.5,52.5,0.93
14,55.0,55.0,0.95
15,42.5,42.5,0.62
16,47.5,47.5,0.97
17,50.0,50.0,1.0
18,45.0,45.0,0.95
19,45.0,45.0,0.95
20,57.5,57.5,0.68
21,40.0,40.0,0.55
22,55.0,55.0,0.55
23,50.0,50.0,1.0
24,52.5,52.5,0.53
25,50.0,50.0,0.95
26,50.0,50.0,1.0
27,60.0,60.0,0.9
28,50.0,50.0,1.0
29,52.5,52.5,0.57
30,52.5,52.5,0.97
31,55.0,55.0,0.95
32,47.5,47.5,0.57
33,47.5,47.5,0.53
34,50.0,50.0,1.0
35,55.0,55.0,0.95
36,50.0,50.0,1.0
37,55.0,55.0,0.95
38,50.0,50.0,1.0
39,50.0,50.0,1.0
40,50.0,50.0,0.95
41,50.0,50.0,0.55
42,47.5,47.5,0.78
43,47.5,47.5,0.97
44,40.0,40.0,0.5
45,50.0,50.0,0.9
46,50.0,50.0,1.0
47,45.0,45.0,0.95
48,50.0,50.0,0.95
49,47.5,47.5,0.62
50,55.0,55.0,0.95
