subject_id,fold_id,feature_set,cv_scheme,classifier,accuracy,balanced_accuracy,train_accuracy,train_balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,y_train_counts,y_test_counts,n_train,n_test,meta_sjepa_dim,meta_sjepa_pca,meta_sjepa_pca_var,meta_riemann_dim_pca,meta_riemann_pca_var,meta_fused_dim
1,0,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.5625,0.5625,1.0,1.0,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]","[12, 12]","[8, 8]",24,16,64,15,0.9765310883522034,15,0.8241030834936924,30
1,1,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.625,0.625,0.9583333333333334,0.9583333333333333,0.75,0.5,"[[6, 2], [4, 4]]",False,0.625,"[10, 6]","[12, 12]","[8, 8]",24,16,64,15,0.9741135835647583,15,0.7885089083232049,30
1,2,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.3125,0.3125,1.0,1.0,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]","[12, 12]","[8, 8]",24,16,64,15,0.9709606766700745,15,0.8030113276968488,30
1,3,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.5625,0.5625,0.9166666666666666,0.9166666666666666,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]","[12, 12]","[8, 8]",24,16,64,15,0.9723212718963623,15,0.8283886089311593,30
1,4,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.5625,0.5625,0.9583333333333334,0.9583333333333333,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]","[12, 12]","[8, 8]",24,16,64,15,0.9699066877365112,15,0.8213121698499513,30
1,5,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.6875,0.6875,0.9583333333333334,0.9583333333333333,1.0,0.375,"[[8, 0], [5, 3]]",False,0.8125,"[13, 3]","[12, 12]","[8, 8]",24,16,64,15,0.9737986326217651,15,0.8203974159950916,30
1,6,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.8125,0.8125,0.9583333333333334,0.9583333333333333,0.75,0.875,"[[6, 2], [1, 7]]",False,0.5625,"[7, 9]","[12, 12]","[8, 8]",24,16,64,15,0.9683200120925903,15,0.8199246107399975,30
1,7,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.9375,0.9375,1.0,1.0,1.0,0.875,"[[8, 0], [1, 7]]",False,0.5625,"[9, 7]","[12, 12]","[8, 8]",24,16,64,15,0.9691576361656189,15,0.7939739454029778,30
1,8,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.625,0.625,0.9583333333333334,0.9583333333333333,0.75,0.5,"[[6, 2], [4, 4]]",False,0.625,"[10, 6]","[12, 12]","[8, 8]",24,16,64,15,0.9747063517570496,15,0.8292426051153771,30
1,9,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.625,0.625,0.9166666666666666,0.9166666666666667,1.0,0.25,"[[8, 0], [6, 2]]",False,0.875,"[14, 2]","[12, 12]","[8, 8]",24,16,64,15,0.9702223539352417,15,0.8009942290760902,30
2,0,sjepa+riemann,liu_repeated_holdout,shrinkage_lda,0.4375,0.4375,0.9583333333333334,0.9583333333333333,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]","[12, 12]","[8, 8]",24,16,64,15,0.9560663104057312,15,0.836911357693881,30
