subject_id,mean_accuracy,mean_balanced_accuracy,std_balanced_accuracy,n_folds,n_collapsed_folds
1,0.63125,0.63125,0.15674920254980568,10,0
2,0.45,0.45,0.11456439237389601,10,0
3,0.5125,0.5125,0.06123724356957944,10,0
4,0.50625,0.50625,0.14644218142324977,10,0
5,0.51875,0.51875,0.06875,10,0
6,0.425,0.425,0.06123724356957946,10,0
7,0.70625,0.70625,0.07421463804398698,10,0
8,0.45625,0.45625,0.10097184013377196,10,0
9,0.425,0.425,0.07288689868556626,10,0
10,0.60625,0.60625,0.08860904299223642,10,0
11,0.5625,0.5625,0.08385254915624211,10,0
12,0.425,0.425,0.09185586535436917,10,0
13,0.46875,0.46875,0.06987712429686843,10,0
14,0.46875,0.46875,0.10174262872562316,10,0
15,0.40625,0.40625,0.11608859763129194,10,0
16,0.4625,0.4625,0.08003905296791061,10,0
17,0.55,0.55,0.11792476415070755,10,0
18,0.5,0.5,0.06846531968814576,10,0
19,0.375,0.375,0.125,10,0
20,0.68125,0.68125,0.06525191568069093,10,0
21,0.50625,0.50625,0.06525191568069094,10,0
22,0.65,0.65,0.075,10,0
23,0.6875,0.6875,0.08838834764831845,10,0
24,0.4875,0.4875,0.11110243021644486,10,0
25,0.45625,0.45625,0.05625,10,0
26,0.45,0.45,0.08291561975888499,10,0
27,0.3625,0.3625,0.11110243021644485,10,0
28,0.5875,0.5875,0.09354143466934853,10,0
29,0.55,0.55,0.12119199643540822,10,0
30,0.6125,0.6125,0.10383279828647592,10,0
31,0.64375,0.64375,0.12823927830426995,10,0
32,0.58125,0.58125,0.040019526483955306,10,0
33,0.39375,0.39375,0.10097184013377196,10,0
34,0.6625,0.6625,0.05,10,0
35,0.51875,0.51875,0.09702609185162515,10,0
36,0.525,0.525,0.075,10,0
37,0.46875,0.46875,0.10915155747858113,10,0
38,0.59375,0.59375,0.07525996611745185,10,0
39,0.41875,0.41875,0.10843344733060921,10,0
40,0.63125,0.63125,0.14100642715848097,10,0
41,0.41875,0.41875,0.08860904299223642,10,0
42,0.46875,0.46875,0.0894863816454772,10,0
43,0.5625,0.5625,0.10825317547305482,10,0
44,0.5875,0.5875,0.06959705453537526,10,0
45,0.53125,0.53125,0.0978279740156158,10,0
46,0.51875,0.51875,0.09702609185162514,10,0
47,0.55625,0.55625,0.12005857945186592,10,0
48,0.44375,0.44375,0.07098635432250341,10,0
49,0.5125,0.5125,0.09185586535436918,10,0
50,0.58125,0.58125,0.11541365820387117,10,0
