subject,n_trials,twfb_leaky,twfb_honest_acc,twfb_honest_bacc,fixed_8_12,fixed_9_13,fixed_10_14,fixed_11_15,fixed_12_16,fixed_13_17,fixed_14_18,fixed_15_19,fixed_16_20,fixed_17_21,fixed_18_22,fixed_19_23,fixed_20_24,fixed_21_25,fixed_22_26,fixed_23_27,fixed_24_28,fixed_25_29,fixed_26_30
38,40,0.7875,0.5125,0.5125,0.44375,0.475,0.5375,0.45625,0.39375,0.45,0.53125,0.4375,0.4125,0.4625,0.51875,0.65,0.55625,0.5125,0.5125,0.40625,0.475,0.46875,0.41875
39,40,0.83125,0.48125,0.48125,0.51875,0.55625,0.475,0.4625,0.44375,0.4375,0.43125,0.41875,0.4625,0.475,0.44375,0.375,0.4375,0.4375,0.475,0.45,0.48125,0.48125,0.48125
40,40,0.8625,0.6125,0.6125,0.575,0.55625,0.51875,0.56875,0.5125,0.61875,0.625,0.625,0.70625,0.6125,0.60625,0.58125,0.6625,0.7,0.69375,0.70625,0.64375,0.68125,0.7375
41,40,0.80625,0.46875,0.46875,0.56875,0.55,0.5625,0.5375,0.44375,0.45625,0.50625,0.5375,0.4625,0.375,0.375,0.4125,0.5,0.45625,0.49375,0.425,0.4375,0.4875,0.51875
42,40,0.83125,0.58125,0.58125,0.5375,0.55625,0.60625,0.54375,0.5125,0.575,0.50625,0.45625,0.55,0.4625,0.575,0.59375,0.61875,0.63125,0.66875,0.54375,0.4375,0.425,0.54375
43,40,0.775,0.475,0.475,0.45625,0.5,0.4375,0.45,0.46875,0.5,0.475,0.4375,0.45625,0.46875,0.425,0.525,0.475,0.54375,0.40625,0.4375,0.45,0.39375,0.38125
44,40,0.81875,0.55625,0.55625,0.5125,0.48125,0.5125,0.48125,0.45,0.475,0.54375,0.41875,0.46875,0.34375,0.4875,0.475,0.46875,0.4125,0.6125,0.71875,0.76875,0.65,0.46875
45,40,0.8,0.58125,0.58125,0.48125,0.4875,0.48125,0.50625,0.51875,0.6125,0.58125,0.53125,0.50625,0.55,0.5125,0.55,0.4875,0.48125,0.48125,0.475,0.51875,0.43125,0.4875
46,40,0.8125,0.49375,0.49375,0.54375,0.49375,0.3875,0.45,0.4375,0.51875,0.43125,0.38125,0.4625,0.5,0.48125,0.45,0.45,0.43125,0.40625,0.40625,0.45,0.4625,0.49375
47,40,0.75625,0.43125,0.43125,0.49375,0.53125,0.60625,0.55,0.4375,0.4125,0.5,0.45625,0.4375,0.525,0.55,0.5,0.48125,0.5125,0.49375,0.4875,0.44375,0.46875,0.56875
48,40,0.7875,0.45,0.45,0.44375,0.4625,0.48125,0.45625,0.49375,0.475,0.4875,0.49375,0.44375,0.45625,0.45,0.41875,0.425,0.45,0.475,0.44375,0.46875,0.45625,0.5625
49,40,0.79375,0.5625,0.5625,0.5,0.56875,0.525,0.51875,0.525,0.59375,0.4875,0.5125,0.5375,0.5875,0.475,0.5375,0.45625,0.4625,0.56875,0.4375,0.5,0.4875,0.50625
50,40,0.84375,0.59375,0.59375,0.58125,0.5875,0.61875,0.56875,0.66875,0.56875,0.53125,0.40625,0.45625,0.43125,0.425,0.45625,0.5,0.525,0.6,0.65625,0.575,0.5125,0.48125
