dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
Liu2024_SourceMAT,1,2,3,F3,0.03282192,-0.02295657,0.04017539,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,4,F4,0.04235121,0.03411132,0.05867434,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,5,F7,0.08031103,0.03223037,0.08753151,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,6,F8,0.09669849,0.02001094,0.10782491,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,7,FCz,0.12166364,0.0733771,0.12978536,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,8,FC3,0.11322153,0.01821018,0.11498356,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,9,FC4,0.1619451,-0.00147818,0.16306987,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,10,FT7,0.12138189,0.04289632,0.13066477,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,11,FT8,0.09648451,-0.03274108,0.10297738,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,12,Cz,0.08001797,0.02971754,0.08607924,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,13,C3,0.12116273,0.0937001,0.13088936,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,14,C4,0.09287535,7.099e-05,0.11148775,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,15,T7,0.11031024,0.08812849,0.11979377,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,16,T8,0.06838971,-0.00904847,0.07816008,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,17,CP3,0.0750975,-0.0750975,0.09402635,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,18,CP4,0.12124854,0.05898646,0.13699602,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,19,TP7,0.09128928,-0.00720605,0.0993771,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,20,TP8,0.11144111,-0.01894525,0.11971401,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,21,Pz,0.13911785,0.04232867,0.15007521,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,22,P3,0.06628473,-0.04499649,0.06862727,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,23,P4,0.08023912,0.01214809,0.09289122,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,24,P7,0.10926894,0.02560987,0.12107267,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,25,P8,0.08162951,0.0022529,0.1005069,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,26,Oz,0.08475389,-0.02688922,0.09218638,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,27,O1,0.05376552,0.03549201,0.05919965,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,2,28,O2,0.11803042,0.00845484,0.12938534,0.375,0.375,"[7, 1]",0.875,False,0.08077355,0.01251986,0.06912161,True
Liu2024_SourceMAT,1,3,0,Fp1,0.11106788,0.11106788,0.12039913,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,1,Fp2,0.09515657,-0.07260357,0.10151,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,2,Fz,0.06925721,0.06469193,0.09293332,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,3,F3,0.04190289,-0.02364611,0.04820692,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,4,F4,0.04535191,0.0339063,0.05866412,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,5,F7,0.08195022,0.03336626,0.08931518,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,6,F8,0.09549797,0.01922728,0.10742297,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,7,FCz,0.11884028,0.07434729,0.12547529,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,8,FC3,0.11458825,0.01912025,0.11657584,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,9,FC4,0.16663902,-0.00434484,0.16753806,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,10,FT7,0.12181764,0.0457858,0.13050851,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,11,FT8,0.09241641,-0.03423026,0.0988922,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,12,Cz,0.0787397,0.02993674,0.08510303,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,13,C3,0.12140001,0.09394846,0.13113075,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,14,C4,0.0961099,-0.00343621,0.11595363,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,15,T7,0.11323136,0.09654804,0.12470721,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,16,T8,0.07084227,-0.01363355,0.07950956,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,17,CP3,0.07650635,-0.07650635,0.09605846,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,18,CP4,0.11501877,0.05990857,0.13467965,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,19,TP7,0.09203926,-0.00570278,0.10103776,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,20,TP8,0.10471475,-0.01812952,0.11322226,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,21,Pz,0.13618571,0.04448237,0.14790933,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,22,P3,0.06978749,-0.05070712,0.07433803,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,23,P4,0.076667,0.01112228,0.09015508,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,24,P7,0.11336932,0.02387312,0.12637839,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,25,P8,0.08153953,0.00119189,0.10471335,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,26,Oz,0.07722962,-0.02306792,0.08675139,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,27,O1,0.04758695,0.0353555,0.05213227,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,3,28,O2,0.11406203,0.00956437,0.12620133,0.375,0.375,"[3, 5]",0.625,False,0.07774838,0.01194464,0.06653284,True
Liu2024_SourceMAT,1,4,0,Fp1,0.11400989,0.11400989,0.12312086,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,1,Fp2,0.08885939,-0.06928042,0.09637769,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,2,Fz,0.07110916,0.06759875,0.09371714,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,3,F3,0.0394134,-0.02539676,0.04695126,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,4,F4,0.0409546,0.03367162,0.05474607,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,5,F7,0.08945233,0.03665155,0.09552114,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,6,F8,0.10051139,0.02536575,0.10973381,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,7,FCz,0.11521757,0.07023524,0.12221477,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,8,FC3,0.1143371,0.01870557,0.11603072,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,9,FC4,0.16276936,-0.00745461,0.16380824,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,10,FT7,0.12788182,0.04889141,0.13559237,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,11,FT8,0.09471723,-0.03240774,0.10054919,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,12,Cz,0.07454583,0.02106756,0.08267887,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,13,C3,0.12126456,0.08842215,0.13054354,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,14,C4,0.09748318,-0.00808751,0.11706151,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,15,T7,0.11294639,0.09229241,0.12330762,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,16,T8,0.07443878,-0.01445604,0.08195841,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,17,CP3,0.0774832,-0.07421489,0.09453016,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,18,CP4,0.11330819,0.05552474,0.13148296,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,19,TP7,0.09760477,-0.00824936,0.10389718,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,20,TP8,0.1078649,-0.0195062,0.11560751,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,21,Pz,0.13469493,0.04037499,0.14677338,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,22,P3,0.06923441,-0.04732861,0.07274118,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,23,P4,0.08135712,0.01054143,0.09321027,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,24,P7,0.11049006,0.02349003,0.12283245,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,25,P8,0.08214336,-0.00034701,0.10211787,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
