model_name,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_kappa,mean_precision_macro,mean_sensitivity_macro,n_folds
CSP_LDA,0.513,0.138159059969672,0.513,0.138159059969672,0.026,0.5112092407592408,0.513,500
FBCSP_SVM,0.51075,0.1340419598259738,0.51075,0.1340419598259738,0.0215,0.5074081252081253,0.51075,500
