subject_id,split_id,model_name,n_train,n_test,train_class_counts,test_class_counts,n_channels_used,n_times,window_s,accuracy,balanced_accuracy,kappa,precision_macro,sensitivity_macro,confusion_matrix,n_filter_bands
1,1,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5,0.5,0.0,0.5,0.5,"[[5, 3], [5, 3]]",
1,1,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.30952380952380953,0.3125,"[[3, 5], [6, 2]]",6.0
1,2,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.4375,0.4375,-0.125,0.4365079365079365,0.4375,"[[3, 5], [4, 4]]",
1,2,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5,0.5,0.0,0.5,0.5,"[[4, 4], [4, 4]]",6.0
1,3,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.4375,0.4375,-0.125,0.42727272727272725,0.4375,"[[5, 3], [6, 2]]",
1,3,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5625,0.5625,0.125,0.5634920634920635,0.5625,"[[4, 4], [3, 5]]",6.0
1,4,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.28181818181818186,0.3125,"[[1, 7], [4, 4]]",
1,4,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5,0.5,0.0,0.5,0.5,"[[6, 2], [6, 2]]",6.0
1,5,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.25,0.25,-0.5,0.25,0.25,"[[2, 6], [6, 2]]",
1,5,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.19230769230769232,0.3125,"[[5, 3], [8, 0]]",6.0
1,6,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5,0.5,0.0,0.5,0.5,"[[4, 4], [4, 4]]",
1,6,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.375,0.375,-0.25,0.375,0.375,"[[3, 5], [5, 3]]",6.0
1,7,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.30952380952380953,0.3125,"[[2, 6], [5, 3]]",
1,7,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5625,0.5625,0.125,0.6025641025641025,0.5625,"[[7, 1], [6, 2]]",6.0
1,8,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5,0.5,0.0,0.5,0.5,"[[2, 6], [2, 6]]",
1,8,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5625,0.5625,0.125,0.5727272727272728,0.5625,"[[6, 2], [5, 3]]",6.0
1,9,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5625,0.5625,0.125,0.5634920634920635,0.5625,"[[4, 4], [3, 5]]",
1,9,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.625,0.625,0.25,0.6333333333333333,0.625,"[[6, 2], [4, 4]]",6.0
1,10,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.375,0.375,-0.25,0.375,0.375,"[[3, 5], [5, 3]]",
1,10,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.375,0.375,-0.25,0.3666666666666667,0.375,"[[2, 6], [4, 4]]",6.0
2,1,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.6875,0.6875,0.375,0.7181818181818183,0.6875,"[[7, 1], [4, 4]]",
2,1,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.375,0.375,-0.25,0.33333333333333337,0.375,"[[1, 7], [3, 5]]",6.0
2,2,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.28181818181818186,0.3125,"[[1, 7], [4, 4]]",
2,2,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5625,0.5625,0.125,0.5727272727272728,0.5625,"[[3, 5], [2, 6]]",6.0
2,3,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5625,0.5625,0.125,0.5634920634920635,0.5625,"[[5, 3], [4, 4]]",
2,3,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5,0.5,0.0,0.5,0.5,"[[2, 6], [2, 6]]",6.0
2,4,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.625,0.625,0.25,0.6333333333333333,0.625,"[[4, 4], [2, 6]]",
2,4,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.4375,0.4375,-0.125,0.42727272727272725,0.4375,"[[2, 6], [3, 5]]",6.0
2,5,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.30952380952380953,0.3125,"[[2, 6], [5, 3]]",
2,5,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.375,0.375,-0.25,0.33333333333333337,0.375,"[[1, 7], [3, 5]]",6.0
2,6,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.30952380952380953,0.3125,"[[2, 6], [5, 3]]",
2,6,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.28181818181818186,0.3125,"[[4, 4], [7, 1]]",6.0
2,7,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.4375,0.4375,-0.125,0.4365079365079365,0.4375,"[[3, 5], [4, 4]]",
2,7,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.3125,0.3125,-0.375,0.30952380952380953,0.3125,"[[3, 5], [6, 2]]",6.0
2,8,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.4375,0.4375,-0.125,0.39743589743589747,0.4375,"[[1, 7], [2, 6]]",
2,8,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.4375,0.4375,-0.125,0.39743589743589747,0.4375,"[[1, 7], [2, 6]]",6.0
2,9,CSP_LDA,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5625,0.5625,0.125,0.5634920634920635,0.5625,"[[5, 3], [4, 4]]",
2,9,FBCSP_SVM,24,16,"[12, 12]","[8, 8]",29,2000,"[2.0, 6.0]",0.5625,0.5625,0.125,0.5634920634920635,0.5625,"[[4, 4], [3, 5]]",6.0
