model_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_kappa,n_splits
FBCSP_SVM,38,0.41875,0.12859416135009138,0.41875,-0.1625,10
FBCSP_SVM,39,0.51875,0.10643366478704,0.51875,0.0375,10
FBCSP_SVM,40,0.675,0.04930066485916347,0.675,0.35,10
FBCSP_SVM,41,0.425,0.10120798167909265,0.425,-0.15,10
FBCSP_SVM,42,0.48125,0.11043631900582143,0.48125,-0.0375,10
FBCSP_SVM,43,0.44375,0.10395812458228874,0.44375,-0.1125,10
FBCSP_SVM,44,0.625,0.2041241452319315,0.625,0.25,10
FBCSP_SVM,45,0.60625,0.15037568693848824,0.60625,0.2125,10
FBCSP_SVM,46,0.4,0.13881942707464734,0.4,-0.2,10
FBCSP_SVM,47,0.55,0.05743353646704257,0.55,0.1,10
FBCSP_SVM,48,0.4875,0.09223309842157772,0.4875,-0.025,10
FBCSP_SVM,49,0.45,0.09682458365518543,0.45,-0.1,10
FBCSP_SVM,50,0.5375,0.10704360482220941,0.5375,0.075,10
