subject_id,method,n_trials,accuracy,balanced_accuracy,confusion_matrix
sub-14,riemann_2s,40,0.35,0.35,"[[7, 13], [13, 7]]"
sub-14,riemann_equal_short_scales,40,0.325,0.325,"[[8, 12], [15, 5]]"
sub-14,shallow_locked,40,0.425,0.42500000000000004,"[[11, 9], [14, 6]]"
sub-14,shallow_riemann_fusion,40,0.4,0.4,"[[10, 10], [14, 6]]"
sub-15,riemann_1s,40,0.475,0.475,"[[9, 11], [10, 10]]"
sub-15,riemann_2s,40,0.575,0.575,"[[13, 7], [10, 10]]"
sub-15,riemann_equal_short_scales,40,0.55,0.55,"[[12, 8], [10, 10]]"
sub-15,shallow_locked,40,0.45,0.45,"[[10, 10], [12, 8]]"
sub-15,shallow_riemann_fusion,40,0.5,0.5,"[[12, 8], [12, 8]]"
sub-16,riemann_1s,40,0.4,0.4,"[[8, 12], [12, 8]]"
sub-16,riemann_2s,40,0.475,0.47500000000000003,"[[11, 9], [12, 8]]"
sub-16,riemann_equal_short_scales,40,0.5,0.5,"[[11, 9], [11, 9]]"
sub-16,shallow_locked,40,0.6,0.6000000000000001,"[[11, 9], [7, 13]]"
sub-16,shallow_riemann_fusion,40,0.55,0.55,"[[12, 8], [10, 10]]"
sub-17,riemann_1s,40,0.675,0.675,"[[13, 7], [6, 14]]"
sub-17,riemann_2s,40,0.5,0.5,"[[10, 10], [10, 10]]"
sub-17,riemann_equal_short_scales,40,0.55,0.55,"[[10, 10], [8, 12]]"
sub-17,shallow_locked,40,0.45,0.45,"[[10, 10], [12, 8]]"
sub-17,shallow_riemann_fusion,40,0.4,0.4,"[[9, 11], [13, 7]]"
sub-18,riemann_1s,40,0.55,0.55,"[[9, 11], [7, 13]]"
sub-18,riemann_2s,40,0.425,0.42500000000000004,"[[9, 11], [12, 8]]"
sub-18,riemann_equal_short_scales,40,0.55,0.55,"[[10, 10], [8, 12]]"
sub-18,shallow_locked,40,0.65,0.65,"[[11, 9], [5, 15]]"
sub-18,shallow_riemann_fusion,40,0.7,0.7,"[[13, 7], [5, 15]]"
sub-19,riemann_1s,40,0.5,0.5,"[[9, 11], [9, 11]]"
sub-19,riemann_2s,40,0.525,0.525,"[[9, 11], [8, 12]]"
sub-19,riemann_equal_short_scales,40,0.525,0.525,"[[10, 10], [9, 11]]"
sub-19,shallow_locked,40,0.475,0.47500000000000003,"[[11, 9], [12, 8]]"
sub-19,shallow_riemann_fusion,40,0.425,0.42500000000000004,"[[11, 9], [14, 6]]"
sub-20,riemann_1s,40,0.875,0.875,"[[18, 2], [3, 17]]"
sub-20,riemann_2s,40,0.875,0.875,"[[18, 2], [3, 17]]"
sub-20,riemann_equal_short_scales,40,0.825,0.825,"[[18, 2], [5, 15]]"
sub-20,shallow_locked,40,0.8,0.8,"[[16, 4], [4, 16]]"
sub-20,shallow_riemann_fusion,40,0.8,0.8,"[[16, 4], [4, 16]]"
sub-21,riemann_1s,40,0.525,0.525,"[[9, 11], [8, 12]]"
sub-21,riemann_2s,40,0.5,0.5,"[[10, 10], [10, 10]]"
sub-21,riemann_equal_short_scales,40,0.45,0.45,"[[8, 12], [10, 10]]"
sub-21,shallow_locked,40,0.525,0.525,"[[9, 11], [8, 12]]"
sub-21,shallow_riemann_fusion,40,0.475,0.47500000000000003,"[[8, 12], [9, 11]]"
sub-22,riemann_1s,40,0.75,0.75,"[[14, 6], [4, 16]]"
sub-22,riemann_2s,40,0.775,0.7749999999999999,"[[19, 1], [8, 12]]"
sub-22,riemann_equal_short_scales,40,0.725,0.7250000000000001,"[[16, 4], [7, 13]]"
sub-22,shallow_locked,40,0.7,0.7,"[[13, 7], [5, 15]]"
sub-22,shallow_riemann_fusion,40,0.8,0.8,"[[17, 3], [5, 15]]"
sub-23,riemann_1s,40,0.75,0.75,"[[15, 5], [5, 15]]"
sub-23,riemann_2s,40,0.775,0.775,"[[16, 4], [5, 15]]"
sub-23,riemann_equal_short_scales,40,0.775,0.775,"[[16, 4], [5, 15]]"
sub-23,shallow_locked,40,0.725,0.725,"[[14, 6], [5, 15]]"
sub-23,shallow_riemann_fusion,40,0.75,0.75,"[[15, 5], [5, 15]]"
sub-24,riemann_1s,40,0.5,0.5,"[[9, 11], [9, 11]]"
sub-24,riemann_2s,40,0.575,0.575,"[[9, 11], [6, 14]]"
sub-24,riemann_equal_short_scales,40,0.575,0.575,"[[9, 11], [6, 14]]"
sub-24,shallow_locked,40,0.6,0.6000000000000001,"[[13, 7], [9, 11]]"
sub-24,shallow_riemann_fusion,40,0.575,0.575,"[[11, 9], [8, 12]]"
sub-25,riemann_1s,40,0.65,0.65,"[[13, 7], [7, 13]]"
sub-25,riemann_2s,40,0.65,0.65,"[[13, 7], [7, 13]]"
sub-25,riemann_equal_short_scales,40,0.725,0.7250000000000001,"[[16, 4], [7, 13]]"
sub-25,shallow_locked,40,0.675,0.675,"[[13, 7], [6, 14]]"
sub-25,shallow_riemann_fusion,40,0.75,0.75,"[[15, 5], [5, 15]]"
sub-26,riemann_1s,40,0.65,0.65,"[[11, 9], [5, 15]]"
sub-26,riemann_2s,40,0.6,0.6000000000000001,"[[11, 9], [7, 13]]"
sub-26,riemann_equal_short_scales,40,0.575,0.575,"[[10, 10], [7, 13]]"
sub-26,shallow_locked,40,0.525,0.525,"[[12, 8], [11, 9]]"
sub-26,shallow_riemann_fusion,40,0.575,0.575,"[[12, 8], [9, 11]]"
sub-27,riemann_1s,40,0.425,0.42500000000000004,"[[9, 11], [12, 8]]"
sub-27,riemann_2s,40,0.475,0.475,"[[10, 10], [11, 9]]"
sub-27,riemann_equal_short_scales,40,0.45,0.45,"[[9, 11], [11, 9]]"
sub-27,shallow_locked,40,0.65,0.6499999999999999,"[[12, 8], [6, 14]]"
sub-27,shallow_riemann_fusion,40,0.625,0.625,"[[12, 8], [7, 13]]"
sub-28,riemann_1s,40,0.725,0.725,"[[15, 5], [6, 14]]"
sub-28,riemann_2s,40,0.825,0.825,"[[18, 2], [5, 15]]"
sub-28,riemann_equal_short_scales,40,0.875,0.875,"[[19, 1], [4, 16]]"
sub-28,shallow_locked,40,0.525,0.525,"[[13, 7], [12, 8]]"
sub-28,shallow_riemann_fusion,40,0.575,0.575,"[[15, 5], [12, 8]]"
sub-29,riemann_1s,40,0.65,0.6499999999999999,"[[14, 6], [8, 12]]"
sub-29,riemann_2s,40,0.575,0.575,"[[11, 9], [8, 12]]"
sub-29,riemann_equal_short_scales,40,0.625,0.625,"[[12, 8], [7, 13]]"
sub-29,shallow_locked,40,0.4,0.4,"[[8, 12], [12, 8]]"
sub-29,shallow_riemann_fusion,40,0.45,0.45,"[[9, 11], [11, 9]]"
sub-30,riemann_1s,40,0.45,0.45,"[[9, 11], [11, 9]]"
sub-30,riemann_2s,40,0.375,0.375,"[[5, 15], [10, 10]]"
sub-30,riemann_equal_short_scales,40,0.45,0.45,"[[9, 11], [11, 9]]"
sub-30,shallow_locked,40,0.65,0.65,"[[15, 5], [9, 11]]"
sub-30,shallow_riemann_fusion,40,0.65,0.65,"[[16, 4], [10, 10]]"
sub-31,riemann_1s,40,0.3,0.3,"[[7, 13], [15, 5]]"
sub-31,riemann_2s,40,0.225,0.22499999999999998,"[[6, 14], [17, 3]]"
sub-31,riemann_equal_short_scales,40,0.2,0.2,"[[6, 14], [18, 2]]"
sub-31,shallow_locked,40,0.5,0.5,"[[12, 8], [12, 8]]"
sub-31,shallow_riemann_fusion,40,0.525,0.525,"[[12, 8], [11, 9]]"
sub-32,riemann_1s,40,0.425,0.42500000000000004,"[[9, 11], [12, 8]]"
sub-32,riemann_2s,40,0.425,0.42500000000000004,"[[9, 11], [12, 8]]"
sub-32,riemann_equal_short_scales,40,0.45,0.45,"[[9, 11], [11, 9]]"
sub-32,shallow_locked,40,0.475,0.475,"[[9, 11], [10, 10]]"
sub-32,shallow_riemann_fusion,40,0.475,0.475,"[[9, 11], [10, 10]]"
sub-33,riemann_1s,40,0.45,0.45,"[[8, 12], [10, 10]]"
sub-33,riemann_2s,40,0.425,0.425,"[[7, 13], [10, 10]]"
sub-33,riemann_equal_short_scales,40,0.4,0.4,"[[7, 13], [11, 9]]"
sub-33,shallow_locked,40,0.55,0.55,"[[6, 14], [4, 16]]"
sub-33,shallow_riemann_fusion,40,0.5,0.5,"[[6, 14], [6, 14]]"
sub-34,riemann_1s,40,0.525,0.525,"[[11, 9], [10, 10]]"
sub-34,riemann_2s,40,0.5,0.5,"[[11, 9], [11, 9]]"
sub-34,riemann_equal_short_scales,40,0.55,0.55,"[[12, 8], [10, 10]]"
sub-34,shallow_locked,40,0.6,0.6,"[[14, 6], [10, 10]]"
sub-34,shallow_riemann_fusion,40,0.575,0.575,"[[13, 7], [10, 10]]"
sub-35,riemann_1s,40,0.475,0.475,"[[10, 10], [11, 9]]"
sub-35,riemann_2s,40,0.425,0.42500000000000004,"[[8, 12], [11, 9]]"
sub-35,riemann_equal_short_scales,40,0.425,0.42500000000000004,"[[9, 11], [12, 8]]"
sub-35,shallow_locked,40,0.5,0.5,"[[13, 7], [13, 7]]"
sub-35,shallow_riemann_fusion,40,0.45,0.45,"[[13, 7], [15, 5]]"
sub-36,riemann_1s,40,0.475,0.47500000000000003,"[[8, 12], [9, 11]]"
sub-36,riemann_2s,40,0.525,0.525,"[[9, 11], [8, 12]]"
sub-36,riemann_equal_short_scales,40,0.5,0.5,"[[9, 11], [9, 11]]"
sub-36,shallow_locked,40,0.5,0.5,"[[11, 9], [11, 9]]"
sub-36,shallow_riemann_fusion,40,0.475,0.47500000000000003,"[[11, 9], [12, 8]]"
sub-37,riemann_1s,40,0.675,0.675,"[[13, 7], [6, 14]]"
sub-37,riemann_2s,40,0.7,0.7,"[[13, 7], [5, 15]]"
sub-37,riemann_equal_short_scales,40,0.65,0.6499999999999999,"[[12, 8], [6, 14]]"
sub-37,shallow_locked,40,0.775,0.775,"[[13, 7], [2, 18]]"
sub-37,shallow_riemann_fusion,40,0.775,0.775,"[[13, 7], [2, 18]]"
sub-38,riemann_1s,40,0.55,0.55,"[[8, 12], [6, 14]]"
sub-38,riemann_2s,40,0.75,0.75,"[[14, 6], [4, 16]]"
sub-38,riemann_equal_short_scales,40,0.65,0.6499999999999999,"[[12, 8], [6, 14]]"
sub-38,shallow_locked,40,0.6,0.6,"[[10, 10], [6, 14]]"
sub-38,shallow_riemann_fusion,40,0.65,0.6499999999999999,"[[12, 8], [6, 14]]"
sub-39,riemann_1s,40,0.525,0.525,"[[10, 10], [9, 11]]"
sub-39,riemann_2s,40,0.55,0.55,"[[11, 9], [9, 11]]"
sub-39,riemann_equal_short_scales,40,0.525,0.525,"[[10, 10], [9, 11]]"
sub-39,shallow_locked,40,0.7,0.7,"[[17, 3], [9, 11]]"
sub-39,shallow_riemann_fusion,40,0.65,0.65,"[[16, 4], [10, 10]]"
sub-40,riemann_1s,40,0.75,0.75,"[[15, 5], [5, 15]]"
sub-40,riemann_2s,40,0.75,0.75,"[[15, 5], [5, 15]]"
sub-40,riemann_equal_short_scales,40,0.75,0.75,"[[15, 5], [5, 15]]"
sub-40,shallow_locked,40,0.725,0.725,"[[14, 6], [5, 15]]"
sub-40,shallow_riemann_fusion,40,0.7,0.7,"[[14, 6], [6, 14]]"
sub-41,riemann_1s,40,0.55,0.55,"[[13, 7], [11, 9]]"
sub-41,riemann_2s,40,0.375,0.375,"[[9, 11], [14, 6]]"
sub-41,riemann_equal_short_scales,40,0.425,0.42500000000000004,"[[11, 9], [14, 6]]"
sub-41,shallow_locked,40,0.525,0.525,"[[10, 10], [9, 11]]"
sub-41,shallow_riemann_fusion,40,0.55,0.55,"[[10, 10], [8, 12]]"
sub-42,riemann_1s,40,0.55,0.55,"[[11, 9], [9, 11]]"
sub-42,riemann_2s,40,0.55,0.55,"[[11, 9], [9, 11]]"
sub-42,riemann_equal_short_scales,40,0.55,0.55,"[[12, 8], [10, 10]]"
sub-42,shallow_locked,40,0.675,0.675,"[[13, 7], [6, 14]]"
sub-42,shallow_riemann_fusion,40,0.675,0.675,"[[13, 7], [6, 14]]"
sub-43,riemann_1s,40,0.4,0.4,"[[10, 10], [14, 6]]"
sub-43,riemann_2s,40,0.45,0.45,"[[8, 12], [10, 10]]"
sub-43,riemann_equal_short_scales,40,0.475,0.475,"[[10, 10], [11, 9]]"
sub-43,shallow_locked,40,0.25,0.25,"[[4, 16], [14, 6]]"
sub-43,shallow_riemann_fusion,40,0.375,0.375,"[[7, 13], [12, 8]]"
sub-44,riemann_1s,40,0.6,0.6,"[[10, 10], [6, 14]]"
sub-44,riemann_2s,40,0.65,0.65,"[[11, 9], [5, 15]]"
sub-44,riemann_equal_short_scales,40,0.65,0.6499999999999999,"[[12, 8], [6, 14]]"
sub-44,shallow_locked,40,0.625,0.625,"[[13, 7], [8, 12]]"
sub-44,shallow_riemann_fusion,40,0.65,0.65,"[[13, 7], [7, 13]]"
sub-45,riemann_1s,40,0.675,0.675,"[[13, 7], [6, 14]]"
sub-45,riemann_2s,40,0.7,0.7,"[[13, 7], [5, 15]]"
sub-45,riemann_equal_short_scales,40,0.7,0.7,"[[13, 7], [5, 15]]"
sub-45,shallow_locked,40,0.775,0.7749999999999999,"[[17, 3], [6, 14]]"
sub-45,shallow_riemann_fusion,40,0.775,0.7749999999999999,"[[17, 3], [6, 14]]"
sub-46,riemann_1s,40,0.575,0.575,"[[10, 10], [7, 13]]"
sub-46,riemann_2s,40,0.575,0.575,"[[11, 9], [8, 12]]"
sub-46,riemann_equal_short_scales,40,0.575,0.575,"[[11, 9], [8, 12]]"
sub-46,shallow_locked,40,0.475,0.475,"[[7, 13], [8, 12]]"
sub-46,shallow_riemann_fusion,40,0.5,0.5,"[[8, 12], [8, 12]]"
sub-47,riemann_1s,40,0.525,0.525,"[[11, 9], [10, 10]]"
sub-47,riemann_2s,40,0.45,0.45,"[[11, 9], [13, 7]]"
sub-47,riemann_equal_short_scales,40,0.5,0.5,"[[11, 9], [11, 9]]"
sub-47,shallow_locked,40,0.5,0.5,"[[11, 9], [11, 9]]"
sub-47,shallow_riemann_fusion,40,0.425,0.42500000000000004,"[[9, 11], [12, 8]]"
sub-48,riemann_1s,40,0.55,0.55,"[[11, 9], [9, 11]]"
sub-48,riemann_2s,40,0.425,0.42500000000000004,"[[8, 12], [11, 9]]"
sub-48,riemann_equal_short_scales,40,0.525,0.525,"[[11, 9], [10, 10]]"
sub-48,shallow_locked,40,0.55,0.55,"[[11, 9], [9, 11]]"
sub-48,shallow_riemann_fusion,40,0.625,0.625,"[[13, 7], [8, 12]]"
sub-49,riemann_1s,40,0.8,0.8,"[[14, 6], [2, 18]]"
sub-49,riemann_2s,40,0.65,0.6499999999999999,"[[12, 8], [6, 14]]"
sub-49,riemann_equal_short_scales,40,0.7,0.7,"[[12, 8], [4, 16]]"
sub-49,shallow_locked,40,0.675,0.675,"[[15, 5], [8, 12]]"
sub-49,shallow_riemann_fusion,40,0.65,0.6499999999999999,"[[14, 6], [8, 12]]"
sub-50,riemann_1s,40,0.525,0.525,"[[9, 11], [8, 12]]"
sub-50,riemann_2s,40,0.675,0.675,"[[12, 8], [5, 15]]"
sub-50,riemann_equal_short_scales,40,0.675,0.675,"[[13, 7], [6, 14]]"
sub-50,shallow_locked,40,0.375,0.375,"[[9, 11], [14, 6]]"
sub-50,shallow_riemann_fusion,40,0.475,0.475,"[[10, 10], [11, 9]]"
