subject_id,fold_id,method,accuracy,balanced_accuracy,outer_test_used_for_selection,outer_test_used_for_fit,shallow_retrained
sub-01,0,shallow_locked,0.625,0.625,False,False,False
sub-01,0,riemann_1s,0.25,0.25,False,False,False
sub-01,0,riemann_2s,0.5,0.5,False,False,False
sub-01,0,riemann_equal_short_scales,0.375,0.375,False,False,False
sub-01,0,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-01,1,shallow_locked,0.5,0.5,False,False,False
sub-01,1,riemann_1s,0.25,0.25,False,False,False
sub-01,1,riemann_2s,0.25,0.25,False,False,False
sub-01,1,riemann_equal_short_scales,0.25,0.25,False,False,False
sub-01,1,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-01,2,shallow_locked,0.625,0.625,False,False,False
sub-01,2,riemann_1s,0.375,0.375,False,False,False
sub-01,2,riemann_2s,0.375,0.375,False,False,False
sub-01,2,riemann_equal_short_scales,0.375,0.375,False,False,False
sub-01,2,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-01,3,shallow_locked,0.5,0.5,False,False,False
sub-01,3,riemann_1s,0.25,0.25,False,False,False
sub-01,3,riemann_2s,0.5,0.5,False,False,False
sub-01,3,riemann_equal_short_scales,0.5,0.5,False,False,False
sub-01,3,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-01,4,shallow_locked,0.5,0.5,False,False,False
sub-01,4,riemann_1s,0.25,0.25,False,False,False
sub-01,4,riemann_2s,0.25,0.25,False,False,False
sub-01,4,riemann_equal_short_scales,0.125,0.125,False,False,False
sub-01,4,shallow_riemann_fusion,0.25,0.25,False,False,False
sub-02,0,shallow_locked,0.25,0.25,False,False,False
sub-02,0,riemann_1s,0.5,0.5,False,False,False
sub-02,0,riemann_2s,0.5,0.5,False,False,False
sub-02,0,riemann_equal_short_scales,0.375,0.375,False,False,False
sub-02,0,shallow_riemann_fusion,0.25,0.25,False,False,False
sub-02,1,shallow_locked,0.375,0.375,False,False,False
sub-02,1,riemann_1s,0.625,0.625,False,False,False
sub-02,1,riemann_2s,0.75,0.75,False,False,False
sub-02,1,riemann_equal_short_scales,0.75,0.75,False,False,False
sub-02,1,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-02,2,shallow_locked,0.5,0.5,False,False,False
sub-02,2,riemann_1s,0.875,0.875,False,False,False
sub-02,2,riemann_2s,0.625,0.625,False,False,False
sub-02,2,riemann_equal_short_scales,0.875,0.875,False,False,False
sub-02,2,shallow_riemann_fusion,0.625,0.625,False,False,False
sub-02,3,shallow_locked,0.625,0.625,False,False,False
sub-02,3,riemann_1s,0.625,0.625,False,False,False
sub-02,3,riemann_2s,0.625,0.625,False,False,False
sub-02,3,riemann_equal_short_scales,0.625,0.625,False,False,False
sub-02,3,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-02,4,shallow_locked,0.625,0.625,False,False,False
sub-02,4,riemann_1s,0.5,0.5,False,False,False
sub-02,4,riemann_2s,0.75,0.75,False,False,False
sub-02,4,riemann_equal_short_scales,0.75,0.75,False,False,False
sub-02,4,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-03,0,shallow_locked,0.375,0.375,False,False,False
sub-03,0,riemann_1s,0.625,0.625,False,False,False
sub-03,0,riemann_2s,0.5,0.5,False,False,False
sub-03,0,riemann_equal_short_scales,0.5,0.5,False,False,False
sub-03,0,shallow_riemann_fusion,0.625,0.625,False,False,False
sub-03,1,shallow_locked,0.5,0.5,False,False,False
sub-03,1,riemann_1s,0.75,0.75,False,False,False
sub-03,1,riemann_2s,0.5,0.5,False,False,False
sub-03,1,riemann_equal_short_scales,0.625,0.625,False,False,False
sub-03,1,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-03,2,shallow_locked,0.5,0.5,False,False,False
sub-03,2,riemann_1s,0.75,0.75,False,False,False
sub-03,2,riemann_2s,0.375,0.375,False,False,False
sub-03,2,riemann_equal_short_scales,0.5,0.5,False,False,False
sub-03,2,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-03,3,shallow_locked,0.5,0.5,False,False,False
sub-03,3,riemann_1s,0.75,0.75,False,False,False
sub-03,3,riemann_2s,0.625,0.625,False,False,False
sub-03,3,riemann_equal_short_scales,0.625,0.625,False,False,False
sub-03,3,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-03,4,shallow_locked,0.375,0.375,False,False,False
sub-03,4,riemann_1s,0.375,0.375,False,False,False
sub-03,4,riemann_2s,0.125,0.125,False,False,False
sub-03,4,riemann_equal_short_scales,0.375,0.375,False,False,False
sub-03,4,shallow_riemann_fusion,0.375,0.375,False,False,False
sub-04,0,shallow_locked,0.625,0.625,False,False,False
sub-04,0,riemann_1s,0.25,0.25,False,False,False
sub-04,0,riemann_2s,0.125,0.125,False,False,False
sub-04,0,riemann_equal_short_scales,0.25,0.25,False,False,False
sub-04,0,shallow_riemann_fusion,0.375,0.375,False,False,False
sub-04,1,shallow_locked,0.5,0.5,False,False,False
sub-04,1,riemann_1s,0.5,0.5,False,False,False
sub-04,1,riemann_2s,0.5,0.5,False,False,False
sub-04,1,riemann_equal_short_scales,0.375,0.375,False,False,False
sub-04,1,shallow_riemann_fusion,0.375,0.375,False,False,False
sub-04,2,shallow_locked,0.625,0.625,False,False,False
sub-04,2,riemann_1s,0.375,0.375,False,False,False
sub-04,2,riemann_2s,0.375,0.375,False,False,False
sub-04,2,riemann_equal_short_scales,0.5,0.5,False,False,False
sub-04,2,shallow_riemann_fusion,0.625,0.625,False,False,False
sub-04,3,shallow_locked,0.75,0.75,False,False,False
sub-04,3,riemann_1s,0.5,0.5,False,False,False
sub-04,3,riemann_2s,0.5,0.5,False,False,False
sub-04,3,riemann_equal_short_scales,0.5,0.5,False,False,False
sub-04,3,shallow_riemann_fusion,0.75,0.75,False,False,False
sub-04,4,shallow_locked,0.75,0.75,False,False,False
sub-04,4,riemann_1s,0.625,0.625,False,False,False
sub-04,4,riemann_2s,0.25,0.25,False,False,False
sub-04,4,riemann_equal_short_scales,0.5,0.5,False,False,False
sub-04,4,shallow_riemann_fusion,0.75,0.75,False,False,False
sub-05,0,shallow_locked,0.75,0.75,False,False,False
sub-05,0,riemann_1s,0.25,0.25,False,False,False
sub-05,0,riemann_2s,0.5,0.5,False,False,False
sub-05,0,riemann_equal_short_scales,0.25,0.25,False,False,False
sub-05,0,shallow_riemann_fusion,0.5,0.5,False,False,False
sub-05,1,shallow_locked,0.5,0.5,False,False,False
sub-05,1,riemann_1s,0.625,0.625,False,False,False
sub-05,1,riemann_2s,0.625,0.625,False,False,False
sub-05,1,riemann_equal_short_scales,0.625,0.625,False,False,False
sub-05,1,shallow_riemann_fusion,0.5,0.5,False,False,False
