subject_id,fold_id,view_id,training_margin_scale,fit_scope
sub-01,0,1s_0s_8-12Hz,5.893513244010382,outer_train_only
sub-01,0,1s_0s_13-20Hz,4.809743273449218,outer_train_only
sub-01,0,1s_0s_20-30Hz,8.734690584306811,outer_train_only
sub-01,0,1s_0s_8-30Hz,4.879113473477531,outer_train_only
sub-01,0,1s_1s_8-12Hz,6.772150201680262,outer_train_only
sub-01,0,1s_1s_13-20Hz,4.433478937297517,outer_train_only
sub-01,0,1s_1s_20-30Hz,6.540318738304976,outer_train_only
sub-01,0,1s_1s_8-30Hz,4.239733742628724,outer_train_only
sub-01,0,1s_2s_8-12Hz,7.722964674118687,outer_train_only
sub-01,0,1s_2s_13-20Hz,5.841527031635258,outer_train_only
sub-01,0,1s_2s_20-30Hz,8.85392740221819,outer_train_only
sub-01,0,1s_2s_8-30Hz,6.371076824530145,outer_train_only
sub-01,0,1s_3s_8-12Hz,4.793355703732229,outer_train_only
sub-01,0,1s_3s_13-20Hz,8.392121126666819,outer_train_only
sub-01,0,1s_3s_20-30Hz,5.634267521291138,outer_train_only
sub-01,0,1s_3s_8-30Hz,6.070075199964521,outer_train_only
sub-01,0,2s_0s_8-12Hz,5.679358279153955,outer_train_only
sub-01,0,2s_0s_13-20Hz,4.760246487603854,outer_train_only
sub-01,0,2s_0s_20-30Hz,9.46413071853529,outer_train_only
sub-01,0,2s_0s_8-30Hz,4.031659151025934,outer_train_only
sub-01,0,2s_1s_8-12Hz,5.336583002727922,outer_train_only
sub-01,0,2s_1s_13-20Hz,4.828104433336789,outer_train_only
sub-01,0,2s_1s_20-30Hz,8.175289323176965,outer_train_only
sub-01,0,2s_1s_8-30Hz,4.639273029204722,outer_train_only
sub-01,0,2s_2s_8-12Hz,6.899573133482633,outer_train_only
sub-01,0,2s_2s_13-20Hz,6.678366851466074,outer_train_only
sub-01,0,2s_2s_20-30Hz,5.731478291961544,outer_train_only
sub-01,0,2s_2s_8-30Hz,5.617497419123952,outer_train_only
sub-01,1,1s_0s_8-12Hz,5.595484108292963,outer_train_only
sub-01,1,1s_0s_13-20Hz,5.49598950461558,outer_train_only
sub-01,1,1s_0s_20-30Hz,6.2847699280811415,outer_train_only
sub-01,1,1s_0s_8-30Hz,5.376429035741934,outer_train_only
sub-01,1,1s_1s_8-12Hz,5.83138844448572,outer_train_only
sub-01,1,1s_1s_13-20Hz,5.435717892924034,outer_train_only
sub-01,1,1s_1s_20-30Hz,6.314112255716477,outer_train_only
sub-01,1,1s_1s_8-30Hz,4.418640581583218,outer_train_only
sub-01,1,1s_2s_8-12Hz,6.24624755627241,outer_train_only
sub-01,1,1s_2s_13-20Hz,8.00887775789188,outer_train_only
sub-01,1,1s_2s_20-30Hz,6.449467553115003,outer_train_only
sub-01,1,1s_2s_8-30Hz,6.393493579476067,outer_train_only
sub-01,1,1s_3s_8-12Hz,6.3053709376275915,outer_train_only
sub-01,1,1s_3s_13-20Hz,9.235059567018924,outer_train_only
sub-01,1,1s_3s_20-30Hz,5.177382487572427,outer_train_only
sub-01,1,1s_3s_8-30Hz,6.987225099398284,outer_train_only
sub-01,1,2s_0s_8-12Hz,5.526613591974738,outer_train_only
sub-01,1,2s_0s_13-20Hz,6.137744118593853,outer_train_only
sub-01,1,2s_0s_20-30Hz,7.583738096522055,outer_train_only
sub-01,1,2s_0s_8-30Hz,4.889291158696703,outer_train_only
sub-01,1,2s_1s_8-12Hz,5.7425936748335795,outer_train_only
sub-01,1,2s_1s_13-20Hz,6.266812002442066,outer_train_only
sub-01,1,2s_1s_20-30Hz,8.38896136743347,outer_train_only
sub-01,1,2s_1s_8-30Hz,5.328068954325971,outer_train_only
sub-01,1,2s_2s_8-12Hz,5.999299385478715,outer_train_only
sub-01,1,2s_2s_13-20Hz,8.556228517087568,outer_train_only
sub-01,1,2s_2s_20-30Hz,5.234286734717651,outer_train_only
sub-01,1,2s_2s_8-30Hz,6.3033121837581945,outer_train_only
sub-01,2,1s_0s_8-12Hz,5.393195469467583,outer_train_only
sub-01,2,1s_0s_13-20Hz,7.002564312955775,outer_train_only
sub-01,2,1s_0s_20-30Hz,6.597178908392584,outer_train_only
sub-01,2,1s_0s_8-30Hz,6.270004595247598,outer_train_only
sub-01,2,1s_1s_8-12Hz,6.210993717523105,outer_train_only
sub-01,2,1s_1s_13-20Hz,4.38048483071106,outer_train_only
sub-01,2,1s_1s_20-30Hz,6.572381052010331,outer_train_only
sub-01,2,1s_1s_8-30Hz,3.7470343732466564,outer_train_only
sub-01,2,1s_2s_8-12Hz,7.202545816628717,outer_train_only
sub-01,2,1s_2s_13-20Hz,8.131330129871127,outer_train_only
sub-01,2,1s_2s_20-30Hz,5.722233712713031,outer_train_only
sub-01,2,1s_2s_8-30Hz,5.434377718139302,outer_train_only
sub-01,2,1s_3s_8-12Hz,5.2151313554711445,outer_train_only
sub-01,2,1s_3s_13-20Hz,9.281538022821053,outer_train_only
sub-01,2,1s_3s_20-30Hz,5.661503917582977,outer_train_only
sub-01,2,1s_3s_8-30Hz,5.462691182786985,outer_train_only
sub-01,2,2s_0s_8-12Hz,6.133023532940252,outer_train_only
sub-01,2,2s_0s_13-20Hz,5.9534293017783915,outer_train_only
sub-01,2,2s_0s_20-30Hz,7.825950221873418,outer_train_only
sub-01,2,2s_0s_8-30Hz,4.395093032873234,outer_train_only
sub-01,2,2s_1s_8-12Hz,6.3265205882047395,outer_train_only
sub-01,2,2s_1s_13-20Hz,7.0173822528333885,outer_train_only
sub-01,2,2s_1s_20-30Hz,6.553191974672549,outer_train_only
sub-01,2,2s_1s_8-30Hz,4.484417594126525,outer_train_only
sub-01,2,2s_2s_8-12Hz,6.570444228981636,outer_train_only
sub-01,2,2s_2s_13-20Hz,7.650922185977846,outer_train_only
sub-01,2,2s_2s_20-30Hz,5.617959799482562,outer_train_only
