subject_id,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,kappa_mean
41,0.49375,0.06878155841341324,0.49375,-0.0125
42,0.53125,0.0736569563735987,0.53125,0.0625
43,0.51875,0.12859416135009138,0.51875,0.0375
44,0.5375,0.05270462766947298,0.5375,0.075
45,0.4375,0.09316949906249122,0.4375,-0.125
46,0.49375,0.05472468973568209,0.49375,-0.0125
47,0.44375,0.09524274542218716,0.44375,-0.1125
48,0.61875,0.06215180787573459,0.61875,0.2375
49,0.475,0.07905694150420949,0.475,-0.05
50,0.475,0.11858541225631422,0.475,-0.05
