epoch,train_loss,val_loss,train_n,val_n,train_masked_channels_mean,val_masked_channels_mean,train_masked_tokens_mean,val_masked_tokens_mean
1,0.5746175014972686,0.41359179973602295,1200,400,3.9191666666666665,3.9025,27.434166666666666,27.3175
2,0.40662783980369566,0.35593498051166533,1200,400,3.8941666666666666,3.91,27.259166666666665,27.37
3,0.35871899326642354,0.31601180374622345,1200,400,3.901666666666667,3.975,27.311666666666667,27.825
4,0.32499930560588836,0.2889160597324371,1200,400,3.9008333333333334,3.9125,27.305833333333332,27.3875
5,0.3008191031217575,0.2743947765231132,1200,400,3.9275,3.92,27.4925,27.44
6,0.28570421278476715,0.26013323426246643,1200,400,3.9066666666666667,3.9675,27.346666666666668,27.7725
7,0.2749338394403458,0.2565700617432594,1200,400,3.9141666666666666,3.8575,27.399166666666666,27.0025
8,0.267478819390138,0.25117957025766374,1200,400,3.865,3.865,27.055,27.055
9,0.2617412899931272,0.24958862960338593,1200,400,3.859166666666667,3.915,27.014166666666668,27.405
10,0.2571304336190224,0.24713798582553864,1200,400,3.935,3.915,27.545,27.405
11,0.25518292129039766,0.24674968421459198,1200,400,3.8983333333333334,3.95,27.288333333333334,27.65
12,0.25270230571428937,0.24533534973859786,1200,400,3.879166666666667,3.815,27.154166666666665,26.705
13,0.25118636747201284,0.2451709419488907,1200,400,3.8933333333333335,3.8925,27.253333333333334,27.2475
14,0.25179591139157614,0.24727140247821808,1200,400,3.910833333333333,3.86,27.375833333333333,27.02
15,0.2538947668671608,0.24656959503889084,1200,400,3.9133333333333336,3.9325,27.393333333333334,27.5275
16,0.2542653485139211,0.24747064262628554,1200,400,3.9433333333333334,3.9325,27.60333333333333,27.5275
17,0.25389605383078256,0.25054521799087526,1200,400,3.8841666666666668,3.9725,27.189166666666665,27.8075
18,0.2542703781525294,0.24951737254858017,1200,400,3.890833333333333,3.8875,27.235833333333332,27.2125
19,0.2526965826749802,0.24485357612371444,1200,400,3.9291666666666667,3.935,27.504166666666666,27.545
