epoch,train_loss,val_loss,train_n,val_n,train_masked_channels_mean,val_masked_channels_mean,train_masked_tokens_mean,val_masked_tokens_mean
20,0.25167688767115276,0.24597660481929778,1200,400,3.8983333333333334,3.945,27.288333333333334,27.615
21,0.2519206578532855,0.24363613098859788,1200,400,3.895,3.9075,27.265,27.3525
22,0.25167135258515677,0.2438107019662857,1200,400,3.9091666666666667,3.92,27.364166666666666,27.44
23,0.24863468607266745,0.2438744592666626,1200,400,3.8633333333333333,3.8775,27.043333333333333,27.1425
24,0.2444590244690577,0.24260422319173813,1200,400,3.8541666666666665,3.8425,26.979166666666668,26.8975
25,0.24398558090130487,0.2375383695960045,1200,400,3.88,3.965,27.16,27.755
26,0.242578641474247,0.23792999118566513,1200,400,3.953333333333333,3.9175,27.673333333333332,27.4225
27,0.24071054955323537,0.2348838922381401,1200,400,3.8991666666666664,3.84,27.294166666666666,26.88
28,0.2403351374467214,0.23316230297088622,1200,400,3.8608333333333333,3.8525,27.025833333333335,26.9675
29,0.23491105437278748,0.22760657608509063,1200,400,3.895,3.92,27.265,27.44
30,0.23342562248309454,0.22783443838357925,1200,400,3.8341666666666665,3.9275,26.839166666666667,27.4925
31,0.2301635021964709,0.22563171684741973,1200,400,3.9141666666666666,3.9175,27.399166666666666,27.4225
32,0.2300465640425682,0.22490803003311158,1200,400,3.8866666666666667,3.93,27.206666666666667,27.51
33,0.22652516166369122,0.21881121814250945,1200,400,3.8808333333333334,3.8925,27.16583333333333,27.2475
34,0.22273436297972998,0.21707480818033217,1200,400,3.890833333333333,3.8875,27.235833333333332,27.2125
35,0.2185266054670016,0.21270853161811829,1200,400,3.8975,3.9575,27.2825,27.7025
36,0.2145756158232689,0.2121294704079628,1200,400,3.8933333333333335,3.9325,27.253333333333334,27.5275
37,0.211810708741347,0.20813912153244019,1200,400,3.88,3.86,27.16,27.02
38,0.20887216091156005,0.2039241909980774,1200,400,3.9275,3.9425,27.4925,27.5975
39,0.20705482532580693,0.20509068578481673,1200,400,3.9275,3.9025,27.4925,27.3175
40,0.20565624564886092,0.2029965662956238,1200,400,3.9141666666666666,3.9475,27.399166666666666,27.6325
41,0.20386279881000519,0.19633598178625106,1200,400,3.8958333333333335,3.8675,27.270833333333332,27.0725
42,0.19778257687886555,0.19647114634513854,1200,400,3.8925,3.85,27.2475,26.95
43,0.19736943085988362,0.19476447463035584,1200,400,3.875,3.9,27.125,27.3
44,0.19689669807751972,0.19246694326400757,1200,400,3.9025,3.9275,27.3175,27.4925
45,0.1931604223450025,0.1890186546742916,1200,400,3.9025,3.8975,27.3175,27.2825
46,0.1921238734324773,0.18967147424817085,1200,400,3.91,3.8825,27.37,27.1775
47,0.18985085159540177,0.18506164133548736,1200,400,3.9116666666666666,3.8825,27.381666666666668,27.1775
48,0.18827232837677002,0.18407669991254808,1200,400,3.885,3.8075,27.195,26.6525
49,0.1870302273829778,0.18653478354215622,1200,400,3.908333333333333,3.86,27.358333333333334,27.02
50,0.1872710132598877,0.1819876793026924,1200,400,3.93,3.87,27.51,27.09
51,0.18294503917296728,0.184772766828537,1200,400,3.885,3.875,27.195,27.125
52,0.18047550717989605,0.17912419080734254,1200,400,3.9475,3.855,27.6325,26.985
53,0.18199882169564566,0.1775531616806984,1200,400,3.8808333333333334,3.915,27.16583333333333,27.405
54,0.17769931127627692,0.1768193605542183,1200,400,3.908333333333333,3.8875,27.358333333333334,27.2125
55,0.17574789464473725,0.17509837418794633,1200,400,3.8916666666666666,3.9875,27.241666666666667,27.9125
56,0.1765760985016823,0.1721078933775425,1200,400,3.901666666666667,3.975,27.311666666666667,27.825
57,0.17453687290350597,0.17029504731297493,1200,400,3.89,3.84,27.23,26.88
58,0.17599302272001902,0.17156061828136443,1200,400,3.910833333333333,3.8375,27.375833333333333,26.8625
59,0.17311841110388437,0.17277004301548005,1200,400,3.8975,3.9175,27.2825,27.4225
60,0.17527472933133442,0.1680145977437496,1200,400,3.9033333333333333,3.905,27.323333333333334,27.335
61,0.17475164478023847,0.1665153719484806,1200,400,3.93,3.895,27.51,27.265
62,0.17279366225004197,0.17143009305000306,1200,400,3.921666666666667,3.9375,27.451666666666668,27.5625
63,0.1710432979464531,0.1681108756363392,1200,400,3.879166666666667,3.91,27.154166666666665,27.37
64,0.16795205970605215,0.1644582498073578,1200,400,3.87,3.8525,27.09,26.9675
65,0.1695970313747724,0.1686624228954315,1200,400,3.9033333333333333,3.9775,27.323333333333334,27.8425
66,0.16779299353559812,0.16871603459119797,1200,400,3.8666666666666667,3.8675,27.066666666666666,27.0725
67,0.16792739157875378,0.16291287392377854,1200,400,3.9075,3.84,27.3525,26.88
68,0.16790553361177443,0.16556063696742057,1200,400,3.8866666666666667,3.905,27.206666666666667,27.335
69,0.1646231302122275,0.16236978620290757,1200,400,3.8341666666666665,3.9125,26.839166666666667,27.3875
70,0.16089481423298518,0.16319243595004082,1200,400,3.9116666666666666,3.905,27.381666666666668,27.335
71,0.1590411022802194,0.15497979238629342,1200,400,3.8641666666666667,3.8325,27.049166666666668,26.8275
72,0.154655298491319,0.1552301150560379,1200,400,3.8841666666666668,3.9525,27.189166666666665,27.6675
73,0.15489331841468812,0.1521666866540909,1200,400,3.8733333333333335,3.935,27.113333333333333,27.545
74,0.15275348554054896,0.15160339891910554,1200,400,3.8958333333333335,3.9325,27.270833333333332,27.5275
75,0.15213377038637796,0.15058283850550652,1200,400,3.8675,3.895,27.0725,27.265
76,0.15051446666320165,0.15142694354057312,1200,400,3.910833333333333,3.88,27.375833333333333,27.16
77,0.14860319440563519,0.15180942744016648,1200,400,3.9233333333333333,3.9175,27.463333333333335,27.4225
78,0.1474499872326851,0.14795467749238014,1200,400,3.8991666666666664,3.865,27.294166666666666,27.055
79,0.14513808717330298,0.14376187622547149,1200,400,3.9141666666666666,3.8675,27.399166666666666,27.0725
80,0.14551261092225712,0.14916025653481482,1200,400,3.8991666666666664,3.94,27.294166666666666,27.58
81,0.14324076359470686,0.1424390110373497,1200,400,3.8733333333333335,3.8975,27.113333333333333,27.2825
82,0.13908745567003886,0.13927712187170982,1200,400,3.9133333333333336,3.8925,27.393333333333334,27.2475
83,0.13731038431326548,0.13955921843647956,1200,400,3.9391666666666665,3.875,27.574166666666667,27.125
84,0.13051432088017464,0.13292729049921037,1200,400,3.9191666666666665,3.9325,27.434166666666666,27.5275
85,0.12745957071582475,0.1307366046309471,1200,400,3.901666666666667,3.8925,27.311666666666667,27.2475
86,0.12731889362136523,0.12518103823065757,1200,400,3.9316666666666666,3.8575,27.52166666666667,27.0025
87,0.12307509844501813,0.1257530627399683,1200,400,3.92,3.9075,27.44,27.3525
88,0.11992378070950509,0.12318933308124543,1200,400,3.9166666666666665,3.845,27.416666666666668,26.915
89,0.11695882981022199,0.11939546763896942,1200,400,3.9058333333333333,3.87,27.340833333333332,27.09
90,0.11438031166791916,0.11300649851560593,1200,400,3.921666666666667,3.84,27.451666666666668,26.88
91,0.10946033914883932,0.11110452622175217,1200,400,3.8425,3.82,26.8975,26.74
92,0.10699925377964974,0.11086297407746315,1200,400,3.8916666666666666,3.89,27.241666666666667,27.23
93,0.10513432636857033,0.10755729660391808,1200,400,3.8808333333333334,3.905,27.16583333333333,27.335
94,0.101127490401268,0.10379958674311637,1200,400,3.9025,3.9125,27.3175,27.3875
95,0.0970034580429395,0.09755489647388459,1200,400,3.9,3.875,27.3,27.125
96,0.09608543624480566,0.0986279595643282,1200,400,3.9225,3.8975,27.4575,27.2825
97,0.09076455980539322,0.09459536999464035,1200,400,3.8966666666666665,3.8975,27.276666666666667,27.2825
98,0.09079626527925333,0.0912366434186697,1200,400,3.9516666666666667,3.9075,27.661666666666665,27.3525
99,0.0869040563205878,0.088247339874506,1200,400,3.9258333333333333,3.9775,27.480833333333333,27.8425
100,0.08374956853687764,0.084984390437603,1200,400,3.9258333333333333,3.88,27.480833333333333,27.16
101,0.08220324421922366,0.08573811717331409,1200,400,3.8733333333333335,3.915,27.113333333333333,27.405
102,0.08060880469779173,0.0813931268453598,1200,400,3.89,3.89,27.23,27.23
103,0.07954941503703594,0.08334411352872849,1200,400,3.9225,3.945,27.4575,27.615
104,0.07980885662138462,0.08329762861132622,1200,400,3.895,3.905,27.265,27.335
105,0.07713832472761473,0.08250281371176243,1200,400,3.8866666666666667,3.8925,27.206666666666667,27.2475
106,0.07578583685060342,0.08139370150864124,1200,400,3.92,3.93,27.44,27.51
107,0.07595082168777784,0.08055427826941014,1200,400,3.908333333333333,3.8225,27.358333333333334,26.7575
108,0.0730919103572766,0.0783321013301611,1200,400,3.901666666666667,3.955,27.311666666666667,27.685
109,0.07322754934430123,0.0767307309806347,1200,400,3.908333333333333,3.9475,27.358333333333334,27.6325
110,0.07287056006491184,0.07844473592936993,1200,400,3.910833333333333,3.86,27.375833333333333,27.02
111,0.0701093720148007,0.07852441176772118,1200,400,3.8866666666666667,3.8925,27.206666666666667,27.2475
112,0.07063689981897672,0.07754249297082424,1200,400,3.8925,3.8925,27.2475,27.2475
113,0.06961110743383567,0.07717180244624615,1200,400,3.8933333333333335,3.9725,27.253333333333334,27.8075
114,0.07080815561115741,0.07678497344255447,1200,400,3.8866666666666667,3.8825,27.206666666666667,27.1775
115,0.07193394156793753,0.07660899527370929,1200,400,3.8733333333333335,3.8825,27.113333333333333,27.1775
116,0.07155483188728491,0.0761927792429924,1200,400,3.91,3.905,27.37,27.335
117,0.07094477092226346,0.07529911786317825,1200,400,3.933333333333333,3.9325,27.533333333333335,27.5275
118,0.07065887629985809,0.07830049887299538,1200,400,3.888333333333333,3.86,27.218333333333334,27.02
119,0.07050852971772353,0.07679175309836865,1200,400,3.8966666666666665,3.98,27.276666666666667,27.86
120,0.06854983712236086,0.07621126845479012,1200,400,3.8758333333333335,3.8725,27.13083333333333,27.1075
121,0.06980152472853661,0.07681925803422927,1200,400,3.88,3.915,27.16,27.405
122,0.06915858380496502,0.07782487839460372,1200,400,3.8808333333333334,3.9075,27.16583333333333,27.3525
123,0.0698783486833175,0.07880536384880543,1200,400,3.9033333333333333,3.925,27.323333333333334,27.475
124,0.07172870919108391,0.08106029823422432,1200,400,3.9075,3.9225,27.3525,27.4575
125,0.07118917589386305,0.07978546157479287,1200,400,3.9133333333333336,3.815,27.393333333333334,26.705
126,0.0709074208388726,0.07910411104559899,1200,400,3.8766666666666665,3.8125,27.136666666666667,26.6875
127,0.07061008503039679,0.0800661527365446,1200,400,3.9033333333333333,3.9225,27.323333333333334,27.4575
128,0.07048408135771751,0.07850125081837177,1200,400,3.885,3.915,27.195,27.405
129,0.06884201936423778,0.07873667411506176,1200,400,3.904166666666667,3.915,27.329166666666666,27.405
130,0.07064329507450262,0.07788645453751088,1200,400,3.8933333333333335,3.8625,27.253333333333334,27.0375
131,0.07024044891198476,0.08059068821370602,1200,400,3.925,3.91,27.475,27.37
132,0.07065002483626207,0.08092557162046432,1200,400,3.9316666666666666,3.9425,27.52166666666667,27.5975
133,0.07024532206356525,0.08010192692279816,1200,400,3.9375,3.9675,27.5625,27.7725
134,0.07204178795218467,0.07760830208659172,1200,400,3.915,3.85,27.405,26.95
135,0.06986214819053808,0.08168203100562095,1200,400,3.8733333333333335,3.9,27.113333333333333,27.3
136,0.07141942145923773,0.08198091857135296,1200,400,3.9383333333333335,3.8925,27.56833333333333,27.2475
137,0.0709835641582807,0.08211566992104054,1200,400,3.8916666666666666,3.8925,27.241666666666667,27.2475
138,0.07246703073382378,0.08502370432019234,1200,400,3.8966666666666665,3.9125,27.276666666666667,27.3875
139,0.07257534069319566,0.07852517031133174,1200,400,3.924166666666667,3.9,27.469166666666666,27.3
140,0.07216246984899044,0.08037322096526622,1200,400,3.86,3.8625,27.02,27.0375
141,0.07400208634634813,0.08439199037849904,1200,400,3.9033333333333333,3.88,27.323333333333334,27.16
142,0.07217879633108774,0.08155265927314759,1200,400,3.910833333333333,3.815,27.375833333333333,26.705
143,0.07181116491556168,0.08475188419222832,1200,400,3.915,3.8375,27.405,26.8625
144,0.07317261531949043,0.08181161932647228,1200,400,3.8991666666666664,3.9025,27.294166666666666,27.3175
145,0.07138805761933327,0.08517327412962913,1200,400,3.905,3.875,27.335,27.125
146,0.07226639506717523,0.0853534609079361,1200,400,3.8766666666666665,3.84,27.136666666666667,26.88
147,0.07279532392819722,0.08096160523593426,1200,400,3.8858333333333333,3.8625,27.200833333333332,27.0375
