subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,n_folds,n_collapsed_folds
1,0.40625,0.07525996611745185,0.40625,0.07525996611745185,10,0
2,0.35625,0.09291292967074066,0.35625,0.09291292967074066,10,0
3,0.49375,0.06525191568069093,0.49375,0.06525191568069093,10,0
4,0.5,0.1152443057161611,0.5,0.1152443057161611,10,0
5,0.59375,0.12263385543967865,0.59375,0.12263385543967865,10,0
6,0.39375,0.0840851502942107,0.39375,0.0840851502942107,10,0
7,0.6,0.09354143466934853,0.6,0.09354143466934853,10,0
8,0.50625,0.14100642715848097,0.50625,0.14100642715848097,10,0
9,0.5625,0.09270248108869579,0.5625,0.09270248108869579,10,0
10,0.4875,0.09999999999999999,0.4875,0.09999999999999999,10,0
11,0.48125,0.10097184013377195,0.48125,0.10097184013377195,10,0
12,0.48125,0.08860904299223642,0.48125,0.08860904299223642,10,0
13,0.46875,0.09375,0.46875,0.09375,10,0
14,0.5375,0.09762812094883318,0.5375,0.09762812094883318,10,0
15,0.4875,0.06123724356957945,0.4875,0.06123724356957945,10,0
16,0.41875,0.08408515029421068,0.41875,0.08408515029421068,10,0
17,0.49375,0.090355201842506,0.49375,0.090355201842506,10,0
18,0.49375,0.1098649739452934,0.49375,0.1098649739452934,10,0
19,0.50625,0.090355201842506,0.50625,0.090355201842506,10,0
20,0.60625,0.10843344733060921,0.60625,0.10843344733060921,10,0
21,0.39375,0.10476909133900131,0.39375,0.10476909133900131,10,0
22,0.63125,0.13243512562760681,0.63125,0.13243512562760681,10,0
23,0.65625,0.05762215285808055,0.65625,0.05762215285808055,10,0
24,0.48125,0.08860904299223642,0.48125,0.08860904299223642,10,0
25,0.65,0.09354143466934853,0.65,0.09354143466934853,10,0
26,0.3625,0.07806247497997998,0.3625,0.07806247497997998,10,0
27,0.39375,0.06281172263200556,0.39375,0.06281172263200556,10,0
28,0.71875,0.09375,0.71875,0.09375,10,0
29,0.50625,0.07098635432250341,0.50625,0.07098635432250341,10,0
30,0.55625,0.08125,0.55625,0.08125,10,0
31,0.4375,0.13110110602126895,0.4375,0.13110110602126895,10,0
32,0.425,0.082915619758885,0.425,0.082915619758885,10,0
33,0.4375,0.11180339887498948,0.4375,0.11180339887498948,10,0
34,0.425,0.08750000000000001,0.425,0.08750000000000001,10,0
35,0.49375,0.13243512562760681,0.49375,0.13243512562760681,10,0
36,0.45625,0.1532206334016408,0.45625,0.1532206334016408,10,0
37,0.7625,0.082915619758885,0.7625,0.082915619758885,10,0
38,0.49375,0.06525191568069094,0.49375,0.06525191568069094,10,0
39,0.475,0.09762812094883318,0.475,0.09762812094883318,10,0
40,0.81875,0.06525191568069094,0.81875,0.06525191568069094,10,0
41,0.4125,0.09762812094883318,0.4125,0.09762812094883318,10,0
42,0.54375,0.0793036096278095,0.54375,0.0793036096278095,10,0
43,0.4375,0.1152443057161611,0.4375,0.1152443057161611,10,0
44,0.66875,0.10476909133900131,0.66875,0.10476909133900131,10,0
45,0.61875,0.10986497394529342,0.61875,0.10986497394529342,10,0
46,0.59375,0.13764197215965776,0.59375,0.13764197215965776,10,0
47,0.5125,0.10383279828647592,0.5125,0.10383279828647592,10,0
48,0.525,0.09762812094883318,0.525,0.09762812094883318,10,0
49,0.46875,0.05038911092686594,0.46875,0.05038911092686594,10,0
50,0.74375,0.08125,0.74375,0.08125,10,0
