run_id,subject_id,accuracies,balanced_accuracies,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy
20260519_1122_37d6f312,1,"[0.625, 0.375, 0.375, 0.625, 0.625]","[0.625, 0.375, 0.375, 0.625, 0.625]",0.525,0.1224744871391589,0.525,0.1224744871391589
20260519_1122_37d6f312,28,"[0.5, 0.5, 0.625, 0.625, 0.625]","[0.5, 0.5, 0.625, 0.625, 0.625]",0.575,0.06123724356957946,0.575,0.06123724356957946
20260519_1122_37d6f312,29,"[0.5, 0.625, 0.375, 0.25, 0.625]","[0.5, 0.625, 0.375, 0.25, 0.625]",0.475,0.1457737973711325,0.475,0.1457737973711325
20260519_1122_37d6f312,30,"[0.5, 0.75, 0.75, 0.625, 0.5]","[0.5, 0.75, 0.75, 0.625, 0.5]",0.625,0.11180339887498948,0.625,0.11180339887498948
20260519_1122_37d6f312,31,"[0.25, 0.375, 0.75, 0.25, 0.5]","[0.25, 0.375, 0.75, 0.25, 0.5]",0.425,0.18708286933869706,0.425,0.18708286933869706
20260519_1122_37d6f312,32,"[0.625, 0.375, 0.75, 0.375, 0.875]","[0.625, 0.375, 0.75, 0.375, 0.875]",0.6,0.2,0.6,0.2
20260519_1122_37d6f312,33,"[0.625, 0.25, 0.5, 0.375, 0.75]","[0.625, 0.25, 0.5, 0.375, 0.75]",0.5,0.1767766952966369,0.5,0.1767766952966369
20260519_1122_37d6f312,34,"[0.875, 0.875, 0.625, 0.75, 0.75]","[0.875, 0.875, 0.625, 0.75, 0.75]",0.775,0.09354143466934853,0.775,0.09354143466934853
20260519_1122_37d6f312,35,"[0.5, 0.625, 0.875, 0.875, 0.25]","[0.5, 0.625, 0.875, 0.875, 0.25]",0.625,0.23717082451262844,0.625,0.23717082451262844
20260519_1122_37d6f312,36,"[0.5, 0.5, 0.375, 0.5, 0.25]","[0.5, 0.5, 0.375, 0.5, 0.25]",0.425,0.1,0.425,0.1
20260519_1122_37d6f312,38,"[0.75, 0.625, 0.375, 0.75, 0.375]","[0.75, 0.625, 0.375, 0.75, 0.375]",0.575,0.1695582495781317,0.575,0.1695582495781317
20260519_1122_37d6f312,27,"[0.25, 0.625, 0.375, 0.75, 0.5]","[0.25, 0.625, 0.375, 0.75, 0.5]",0.5,0.1767766952966369,0.5,0.1767766952966369
20260519_1122_37d6f312,39,"[0.5, 0.25, 0.625, 0.625, 0.375]","[0.5, 0.25, 0.625, 0.625, 0.375]",0.475,0.1457737973711325,0.475,0.1457737973711325
20260519_1122_37d6f312,41,"[0.75, 0.875, 0.625, 0.625, 0.625]","[0.75, 0.875, 0.625, 0.625, 0.625]",0.7,0.09999999999999999,0.7,0.09999999999999999
20260519_1122_37d6f312,42,"[0.375, 0.625, 0.875, 0.875, 0.375]","[0.375, 0.625, 0.875, 0.875, 0.375]",0.625,0.22360679774997896,0.625,0.22360679774997896
20260519_1122_37d6f312,43,"[0.875, 0.375, 0.5, 0.25, 0.375]","[0.875, 0.375, 0.5, 0.25, 0.375]",0.475,0.2150581316760657,0.475,0.2150581316760657
20260519_1122_37d6f312,44,"[0.625, 0.375, 0.375, 0.25, 0.125]","[0.625, 0.375, 0.375, 0.25, 0.125]",0.35,0.16583123951777,0.35,0.16583123951777
