effective_sfreq,n_runs,mean_metric,median_metric,max_metric,min_metric,std_metric,mean_collapse,mean_std_balacc,window_mismatch_rate,mean_n_folds,mean_metric_pct,median_metric_pct,max_metric_pct,min_metric_pct
500.0,1,0.5795,0.5795,0.5795,0.5795,,0.404,0.15489431881124627,1.0,250.0,57.95,57.95,57.95,57.95
128.0,182,0.5472809065934066,0.5495,0.57,0.4925,0.012785462388311939,0.44329670329670334,0.14801975274833473,0.0,254.12087912087912,54.72809065934066,54.949999999999996,56.99999999999999,49.25
250.0,18,0.5437430555555556,0.5495,0.569,0.505,0.018634569798762924,0.4161111111111111,0.1446220477438171,1.0,263.8888888888889,54.37430555555556,54.949999999999996,56.89999999999999,50.5
