filter_band,n_runs,mean_metric,median_metric,max_metric,min_metric,std_metric,mean_collapse,mean_std_balacc,window_mismatch_rate,mean_n_folds,mean_metric_pct,median_metric_pct,max_metric_pct,min_metric_pct
1-35Hz,2,0.5602499999999999,0.5602499999999999,0.569,0.5515,0.012374368670764592,0.374,0.15251848804549065,0.5,250.0,56.02499999999999,56.02499999999999,56.89999999999999,55.15
1-40Hz,30,0.5510958333333333,0.5545,0.5655,0.5235,0.012089807768025766,0.4244,0.14831706130846822,0.06666666666666667,258.3333333333333,55.10958333333333,55.45,56.55,52.349999999999994
0.5-40Hz,103,0.5495740291262136,0.55,0.5795,0.5225,0.009216361013039373,0.44821359223300977,0.1488047084880856,0.06796116504854369,257.28155339805824,54.957402912621355,55.00000000000001,57.95,52.25
0.5-30Hz,28,0.5463392857142857,0.5475,0.5645,0.5255,0.01047488492947364,0.4202857142857143,0.15017301598184143,0.07142857142857142,250.0,54.63392857142857,54.75,56.45,52.55
0.5-35Hz,28,0.5463035714285714,0.5475000000000001,0.5685,0.5265,0.013226194047975799,0.42771428571428566,0.1498483621578031,0.07142857142857142,250.0,54.63035714285714,54.75000000000001,56.85,52.65
no_filter,2,0.53425,0.53425,0.5355,0.533,0.001767766952966331,0.438,0.13730458672152357,0.5,250.0,53.425,53.425,53.55,53.300000000000004
4-40Hz,4,0.5125,0.51425,0.5225,0.499,0.010543560435956474,0.511,0.1201299784524617,0.5,250.0,51.24999999999999,51.425,52.25,49.9
8-30Hz,4,0.5,0.4995,0.5085,0.4925,0.007947746011710907,0.5660000000000001,0.11513117840402148,0.5,250.0,50.0,49.95,50.849999999999994,49.25
