parameter,value,n_runs,mean_metric,median_metric,max_metric,min_metric,std_metric,mean_collapse,mean_std_balacc,window_mismatch_rate,mean_n_folds,mean_metric_pct,median_metric_pct,max_metric_pct,min_metric_pct
sweep_group,537_hpgrid_demean_none_addon,72,0.5545833333333333,0.553,0.5685,0.542,0.008773760495901188,0.39966666666666667,0.15340515619484552,0.0,250.0,55.45833333333333,55.300000000000004,56.85,54.2
sweep_group,537_hpgrid_batch_lr_clip_start_test_filter_demean,144,0.549375,0.5545,0.564,0.515,0.01372882985657445,0.4180555555555555,0.1509457191550385,0.0,250.0,54.93749999999999,55.45,56.39999999999999,51.5
evaluation_mode,stratified_kfold,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
effective_sfreq,128.0,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
filter_band,0.5-40Hz,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
filter_method,fir,108,0.5528240740740741,0.55925,0.5685,0.515,0.0165659704707971,0.4277777777777778,0.15104462672666874,0.0,250.0,55.282407407407405,55.925000000000004,56.85,51.5
filter_method,iir,108,0.5493981481481481,0.55025,0.5575,0.5365,0.005898185709982017,0.396074074074074,0.1524864362766129,0.0,250.0,54.93981481481482,55.025,55.75,53.65
filter_phase,zero,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
filter_fir_design,firwin,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
filter_l_trans_bandwidth,auto,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
filter_h_trans_bandwidth,auto,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
demean_mode,none,72,0.5545833333333333,0.553,0.5685,0.542,0.008773760495901188,0.39966666666666667,0.15340515619484552,0.0,250.0,55.45833333333333,55.300000000000004,56.85,54.2
demean_mode,baseline_window_mean,72,0.5530833333333334,0.55625,0.564,0.5285,0.010610584670142052,0.40311111111111114,0.15349553196996243,0.0,250.0,55.30833333333334,55.625,56.39999999999999,52.849999999999994
demean_mode,trial_mean,72,0.5456666666666667,0.5507500000000001,0.5615,0.515,0.015464179417945924,0.433,0.14839590634011454,0.0,250.0,54.56666666666668,55.07500000000001,56.15,51.5
detrend_mode,none,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
reference_mode,average,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
reference_timing,before_resample_filter,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
notch_freqs,none,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
notch_before_bandpass,False,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
eog_correction,none,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
artifact_clip_mode,none,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
normalization_mode,none,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
mi_window_start_s,1,72,0.556875,0.55775,0.5665,0.547,0.005857912669634996,0.418,0.15566191562888146,0.0,250.0,55.6875,55.775,56.65,54.7
mi_window_start_s,2,72,0.5567361111111111,0.5555000000000001,0.5685,0.549,0.0065407564182356995,0.41544444444444445,0.15355938027639257,0.0,250.0,55.67361111111111,55.55000000000001,56.85,54.900000000000006
mi_window_start_s,0,72,0.5397222222222222,0.54025,0.5585,0.515,0.014160769277884247,0.4023333333333333,0.14607529859964843,0.0,250.0,53.97222222222222,54.025,55.85,51.5
effective_window_duration_s,4.1953125,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
window_duration_mismatch_flag,0.0,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
learning_rate,0.0004,108,0.5514351851851852,0.5535000000000001,0.5685,0.515,0.012616946879634402,0.4104444444444444,0.15254267228600807,0.0,250.0,55.14351851851852,55.35000000000001,56.85,51.5
learning_rate,0.0003,108,0.550787037037037,0.5535,0.565,0.516,0.012479741285005565,0.4134074074074074,0.15098839071727357,0.0,250.0,55.0787037037037,55.35,56.49999999999999,51.6
batch_size,8,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
optimizer_name,adam,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
optimizer,adam,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
weight_decay,0.0,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
val_split,0.2,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
early_stopping_patience,50,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
gradient_clip_norm,2,72,0.551138888888889,0.5535,0.5685,0.515,0.012627719961422213,0.41188888888888886,0.15175906684855192,0.0,250.0,55.113888888888894,55.35,56.85,51.5
gradient_clip_norm,0,72,0.551125,0.5535000000000001,0.5685,0.515,0.012605819693333924,0.41188888888888886,0.1517362035761038,0.0,250.0,55.1125,55.35000000000001,56.85,51.5
gradient_clip_norm,1,72,0.5510694444444444,0.55325,0.568,0.5155,0.012512614917809061,0.412,0.15180132408026678,0.0,250.0,55.10694444444444,55.325,56.8,51.55
checkpoint_metric,valid_loss,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
label_smoothing,0.0,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
prediction_balance_loss_weight,0.0,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
augmentation_noise_fraction,0.0,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
augmentation_time_shift_samples,0,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
augmentation_channel_dropout_prob,0.0,216,0.5511111111111111,0.5535,0.5685,0.515,0.012523528244465388,0.4119259259259259,0.15176553150164085,0.0,250.0,55.111111111111114,55.35,56.85,51.5
