run_id,fold_id,fold_label,model_name,strategy,n_train,n_test,best_epoch,stopped_epoch,best_valid_loss,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,collapse_diagnostics,spatial_conv,spatial_update_stats,subject_id
20260519_1122_37d6f312,1,subject=1,SignalJEPA_PreLocal,full,32,8,29,100,0.69374018907547,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]","{'prediction_histogram': [3, 5], 'collapse_ratio': 0.625, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 1}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.10173001, 0.09810093, 0.0736914, 0.03524777, 0.0327565, 0.09124771, 0.09498139, 0.11045331, 0.11574721, 0.14502656, 0.13668998, 0.08013944, 0.0888629, 0.10593114, 0.09539787, 0.10004684, 0.07782611, 0.10017676, 0.12003133, 0.07741804, 0.11628363, 0.12605242, 0.05202745, 0.09001011, 0.11582454, 0.08707201, 0.09309074, 0.0517548, 0.10812642], 'channel_signed_mean': [0.10173001, -0.05857404, 0.05425802, -0.03167568, 0.02980565, 0.03835282, 0.02265676, 0.07948503, 0.01045039, -0.01979058, 0.06667898, -0.04244509, 0.03200661, 0.0956343, 0.01025723, 0.09224259, -0.01268851, -0.07588986, 0.0742766, -0.01799015, -0.02397074, 0.04018426, -0.04797291, 0.02015544, 0.01220509, 0.00487619, -0.0402191, 0.02956732, 0.01244184], 'channel_l2': [0.22450718, 0.19946976, 0.16049901, 0.09946263, 0.10864276, 0.21633717, 0.21803723, 0.25282156, 0.23753358, 0.29874995, 0.28976581, 0.18155551, 0.1932511, 0.2343332, 0.22943521, 0.22263648, 0.16845177, 0.21163252, 0.28125015, 0.18083644, 0.26508948, 0.28029081, 0.14111689, 0.19446136, 0.27504206, 0.23001073, 0.20133959, 0.10434365, 0.24065042], 'global_abs_mean': 0.09385329, 'global_l2': 1.17575407}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.17575405, 'delta_l2': 0.2610433, 'delta_max_abs': 0.04976358, 'relative_delta': 0.22338667, 'changed': True}",1
20260519_1122_37d6f312,5,subject=32,SignalJEPA_PreLocal,full,32,8,10,100,0.692699134349823,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]","{'prediction_histogram': [5, 3], 'collapse_ratio': 0.625, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 0}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.08310397, 0.08161649, 0.08493315, 0.03601239, 0.04390137, 0.07033476, 0.10412561, 0.1156996, 0.12253013, 0.16667791, 0.11373157, 0.08578694, 0.08758019, 0.1440372, 0.09803458, 0.11365636, 0.07110062, 0.0640614, 0.12664121, 0.1088752, 0.10289261, 0.12202838, 0.06160488, 0.08255608, 0.11263749, 0.08080982, 0.09679142, 0.04150585, 0.11860247], 'channel_signed_mean': [0.08310397, -0.05424158, 0.07170421, -0.03601239, 0.04013614, 0.01983131, 0.00865419, 0.07699916, -0.00492554, 0.00591177, 0.0325914, -0.01908622, 0.03197885, 0.10534789, -0.00240562, 0.07782548, -0.0080579, -0.05349103, 0.06891093, -0.01561557, -0.01026714, 0.03808088, -0.03340878, 0.01922794, 0.0209523, 0.01623403, -0.022676, 0.00271829, 0.01887827], 'channel_l2': [0.18721825, 0.16782522, 0.22149026, 0.09938463, 0.12445616, 0.14605612, 0.24580538, 0.25616476, 0.24631883, 0.3418358, 0.25348553, 0.18271381, 0.19237576, 0.30928144, 0.24781005, 0.2487327, 0.16485503, 0.15812075, 0.29842022, 0.2272086, 0.22248401, 0.26520839, 0.12984668, 0.17830773, 0.2581234, 0.1966276, 0.21098366, 0.09410291, 0.26971734], 'global_abs_mean': 0.09454722, 'global_l2': 1.18695915}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.18695912, 'delta_l2': 0.25073417, 'delta_max_abs': 0.04992686, 'relative_delta': 0.21456467, 'changed': True}",32
20260519_1122_37d6f312,1,subject=33,SignalJEPA_PreLocal,full,32,8,48,100,0.6639381647109985,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]","{'prediction_histogram': [7, 1], 'collapse_ratio': 0.875, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 0}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.11732223, 0.07490606, 0.07143153, 0.05640899, 0.03830107, 0.06800323, 0.11166673, 0.12195592, 0.14613485, 0.16047907, 0.13792412, 0.08783186, 0.08663715, 0.11749828, 0.09260365, 0.10259715, 0.05876347, 0.07490841, 0.13419876, 0.06976275, 0.10191259, 0.10266981, 0.06079573, 0.10211126, 0.1086576, 0.06709571, 0.11184731, 0.05072986, 0.11085071], 'channel_signed_mean': [0.11732223, -0.03752068, 0.05303285, -0.04943909, 0.01784479, 0.00447652, 0.03443405, 0.06168761, 0.0221432, -0.00988529, 0.0535493, -0.01904604, 0.01652787, 0.08858481, 0.00512882, 0.09189731, 0.00633656, -0.063113, 0.0701406, -0.00242897, -0.00827019, 0.03647327, -0.05828627, 0.02335191, 0.03092713, 0.00468906, -0.04375793, 0.05072986, 0.02454411], 'channel_l2': [0.2517333, 0.15535264, 0.18092524, 0.14804974, 0.08612043, 0.15493025, 0.24442345, 0.2580826, 0.29607537, 0.32426161, 0.29493564, 0.18675616, 0.19220288, 0.26779464, 0.20052302, 0.22565776, 0.15151024, 0.18980546, 0.30813593, 0.1605521, 0.22883518, 0.23092362, 0.13955101, 0.22851209, 0.24258058, 0.16164652, 0.24143644, 0.12916766, 0.24713014], 'global_abs_mean': 0.09468986, 'global_l2': 1.18004155}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.18004154, 'delta_l2': 0.28682705, 'delta_max_abs': 0.05087376, 'relative_delta': 0.245451, 'changed': True}",33
20260519_1122_37d6f312,2,subject=33,SignalJEPA_PreLocal,full,32,8,1,100,0.6954774260520935,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]","{'prediction_histogram': [6, 2], 'collapse_ratio': 0.75, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 0}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.1074246, 0.08692898, 0.08069611, 0.03367972, 0.02780991, 0.07737596, 0.09794404, 0.11170866, 0.13588065, 0.15238208, 0.12957929, 0.11458603, 0.06863181, 0.11423096, 0.10211509, 0.11278108, 0.07027297, 0.09337729, 0.12872639, 0.06938356, 0.10968986, 0.10905764, 0.04752889, 0.09969541, 0.09545058, 0.08115342, 0.10620803, 0.04878663, 0.11903852], 'channel_signed_mean': [0.1074246, -0.05976121, 0.06626534, -0.01865167, 0.0223562, 0.01905399, 0.03941881, 0.05823041, 0.02388521, -0.01874127, 0.04052097, -0.03172998, 0.01606409, 0.08440444, -0.01435717, 0.08442663, -0.00463303, -0.0703904, 0.07601328, -0.00738624, -0.01369131, 0.05235357, -0.04141079, 0.02353055, 0.02417827, -0.00227778, -0.03536163, 0.04262429, 0.00309995], 'channel_l2': [0.23967665, 0.17922144, 0.2009663, 0.07870793, 0.07872622, 0.16675, 0.20674503, 0.23117785, 0.27608213, 0.31193507, 0.28832203, 0.23836862, 0.15167645, 0.26167083, 0.22594769, 0.24153379, 0.16877151, 0.22353534, 0.30692974, 0.15997636, 0.23026344, 0.25528538, 0.12739284, 0.21975051, 0.21973348, 0.19269997, 0.24402869, 0.11357982, 0.25459832], 'global_abs_mean': 0.09421118, 'global_l2': 1.17657471}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.17657471, 'delta_l2': 0.259936, 'delta_max_abs': 0.04794917, 'relative_delta': 0.22243911, 'changed': True}",33
20260519_1122_37d6f312,3,subject=33,SignalJEPA_PreLocal,full,32,8,1,100,0.6927005052566528,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]","{'prediction_histogram': [4, 4], 'collapse_ratio': 0.5, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 0}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.1086908, 0.09035276, 0.0771504, 0.04870886, 0.03767407, 0.06762464, 0.10770703, 0.10774941, 0.12856911, 0.16009344, 0.12424251, 0.10811302, 0.07011648, 0.11297548, 0.12012088, 0.12161673, 0.07636215, 0.09320921, 0.10528657, 0.08751736, 0.11346549, 0.12670466, 0.05810478, 0.09079482, 0.10585858, 0.059608, 0.10418408, 0.08218107, 0.12028086], 'channel_signed_mean': [0.1086908, -0.06573538, 0.05105768, -0.04060355, 0.02439836, 0.01537412, 0.04809879, 0.05917028, 0.02280228, -0.01398057, 0.04760304, -0.02705516, 0.01485, 0.08044097, -0.02741936, 0.10075972, -0.00525887, -0.08036473, 0.06963731, 0.00348963, -0.01258994, 0.07159939, -0.03411904, 0.03571384, 0.02891823, -0.00663783, -0.0235624, 0.04745211, 0.00810457], 'channel_l2': [0.24367715, 0.19845414, 0.19859143, 0.11565198, 0.09006555, 0.15233295, 0.21880281, 0.23104107, 0.26182494, 0.32329932, 0.2804397, 0.22544706, 0.16080453, 0.25452214, 0.26823044, 0.26857275, 0.17208524, 0.22120197, 0.23404583, 0.18452945, 0.23867667, 0.29641473, 0.12858957, 0.19748464, 0.23897128, 0.1539972, 0.24003737, 0.16784944, 0.28942868], 'global_abs_mean': 0.09707115, 'global_l2': 1.19980538}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.19980541, 'delta_l2': 0.26107164, 'delta_max_abs': 0.04862387, 'relative_delta': 0.22341092, 'changed': True}",33
20260519_1122_37d6f312,4,subject=33,SignalJEPA_PreLocal,full,32,8,47,100,0.6249163746833801,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]","{'prediction_histogram': [5, 3], 'collapse_ratio': 0.625, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 0}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.10726779, 0.07329027, 0.07350796, 0.04384515, 0.03940995, 0.08451414, 0.10859617, 0.10404256, 0.1301823, 0.15405503, 0.13228586, 0.08373033, 0.07848302, 0.10111402, 0.11058027, 0.12600681, 0.06165337, 0.08143111, 0.10916369, 0.0946765, 0.10694554, 0.13349721, 0.05331627, 0.09521846, 0.1020197, 0.06654812, 0.10272172, 0.07008181, 0.12623793], 'channel_signed_mean': [0.10726779, -0.07030219, 0.07350796, -0.02418778, 0.03314371, 0.01650221, 0.02750537, 0.05170854, 0.03338997, -0.01182365, 0.05504256, -0.03229565, -0.00156817, 0.07646595, -0.00947094, 0.09414048, -0.00888432, -0.08143111, 0.07185166, 0.0015386, -0.02059747, 0.03553573, -0.04767205, 0.02145755, 0.02315688, -0.01279833, -0.04261664, 0.04568219, 0.01671629], 'channel_l2': [0.22728489, 0.175409, 0.19452332, 0.09687755, 0.10363705, 0.19205737, 0.2339133, 0.23538819, 0.26967385, 0.31698832, 0.28397098, 0.18052143, 0.17196795, 0.22359249, 0.25051403, 0.26393145, 0.13416992, 0.18270962, 0.24999329, 0.1989115, 0.23614246, 0.29974756, 0.11727156, 0.21145424, 0.22826745, 0.16023402, 0.22814618, 0.14807372, 0.27188209], 'global_abs_mean': 0.09498011, 'global_l2': 1.17005098}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.17005099, 'delta_l2': 0.26330009, 'delta_max_abs': 0.04918369, 'relative_delta': 0.22531791, 'changed': True}",33
20260519_1122_37d6f312,5,subject=33,SignalJEPA_PreLocal,full,32,8,54,100,0.6463701128959656,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]","{'prediction_histogram': [4, 4], 'collapse_ratio': 0.5, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 0}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.11681478, 0.08493391, 0.06055972, 0.04813057, 0.03012101, 0.08213271, 0.11423532, 0.11499552, 0.11957221, 0.15655993, 0.13768636, 0.10403128, 0.09132472, 0.11370887, 0.10798559, 0.10382608, 0.0635558, 0.08274793, 0.11710681, 0.06491974, 0.11154287, 0.12496255, 0.04142023, 0.08801994, 0.10090029, 0.0764356, 0.09781252, 0.05405159, 0.11464374], 'channel_signed_mean': [0.11681478, -0.06336748, 0.06055972, -0.04770798, 0.01796439, 0.01780905, 0.038322, 0.06695181, 0.01148467, -0.00692694, 0.03695361, -0.03190729, 0.02694616, 0.08730222, 0.00143298, 0.09396871, -0.00123063, -0.06640915, 0.06868812, -0.01401879, -0.00014841, 0.04343459, -0.03599878, 0.03520956, 0.01402682, 0.00626496, -0.03801694, 0.01752332, 0.00772383], 'channel_l2': [0.2547138, 0.17733569, 0.16607326, 0.13234495, 0.09344792, 0.17910375, 0.23970245, 0.23617548, 0.24055007, 0.31523734, 0.3066617, 0.22263573, 0.18964429, 0.2496856, 0.24515297, 0.23227835, 0.14304206, 0.18148771, 0.25763184, 0.15565456, 0.23830315, 0.27662095, 0.09743144, 0.19511794, 0.23698403, 0.17357264, 0.22830129, 0.12739456, 0.24127492], 'global_abs_mean': 0.09395649, 'global_l2': 1.16034627}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.16034629, 'delta_l2': 0.26067471, 'delta_max_abs': 0.04877152, 'relative_delta': 0.22307125, 'changed': True}",33
20260519_1122_37d6f312,1,subject=34,SignalJEPA_PreLocal,full,32,8,52,100,0.43374866247177124,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]","{'prediction_histogram': [3, 5], 'collapse_ratio': 0.625, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 1}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.10381613, 0.08126561, 0.06623894, 0.05355882, 0.03565053, 0.09557109, 0.09822804, 0.12710685, 0.10313329, 0.13028088, 0.11464573, 0.11714125, 0.08318399, 0.10878499, 0.07071483, 0.10648979, 0.07277749, 0.08110571, 0.11623904, 0.11188146, 0.08248211, 0.15235375, 0.05895301, 0.09605245, 0.12351868, 0.06426515, 0.10491681, 0.04858647, 0.14295308], 'channel_signed_mean': [0.10381613, -0.05502819, 0.04736917, -0.04318278, 0.03565053, 0.02871839, 0.03591746, 0.08254874, 0.01012704, -0.00139751, 0.02003508, -0.03253016, 0.01607376, 0.08614776, 0.00015912, 0.06917603, -0.00783363, -0.06843014, 0.06132765, -0.01720297, -0.01933681, 0.04670113, -0.04118433, 0.02431624, 0.02699493, -0.00326977, -0.03398749, 0.03184491, 0.00023809], 'channel_l2': [0.22789697, 0.18156166, 0.1713988, 0.1357023, 0.09761945, 0.20735815, 0.21287256, 0.26400435, 0.21242481, 0.26301649, 0.26102629, 0.24386509, 0.18210842, 0.25415471, 0.17248271, 0.23370957, 0.17693868, 0.2004258, 0.25205785, 0.23990636, 0.17533517, 0.3332907, 0.13581747, 0.21578836, 0.27912346, 0.17298771, 0.23463331, 0.11063153, 0.29639426], 'global_abs_mean': 0.09489297, 'global_l2': 1.17756021}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.17756027, 'delta_l2': 0.27175574, 'delta_max_abs': 0.04965811, 'relative_delta': 0.23255379, 'changed': True}",34
20260519_1122_37d6f312,2,subject=34,SignalJEPA_PreLocal,full,32,8,54,100,0.282930850982666,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]","{'prediction_histogram': [3, 5], 'collapse_ratio': 0.625, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 1}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.12595685, 0.08817461, 0.07753752, 0.05242213, 0.05250967, 0.06791002, 0.10703772, 0.11007205, 0.10305981, 0.14822236, 0.11854042, 0.10700838, 0.10017448, 0.11185258, 0.08205727, 0.0986743, 0.0768267, 0.08323396, 0.11464871, 0.10685985, 0.08540086, 0.13137317, 0.06936124, 0.09128121, 0.12852305, 0.08319581, 0.10899343, 0.03349362, 0.13161448], 'channel_signed_mean': [0.12595685, -0.05485139, 0.07753752, -0.03170332, 0.05250967, 0.02068172, 0.04662048, 0.08591874, -0.00610491, -0.01108973, 0.0270699, -0.03436057, 0.03028706, 0.08437919, 0.01486231, 0.06722355, -0.0213348, -0.08323396, 0.05242413, -0.01546691, -0.01329799, 0.01694628, -0.04639387, 0.0191309, 0.03684853, -0.00660823, -0.0433713, 0.02538058, 0.0091629], 'channel_l2': [0.27229539, 0.18838005, 0.20372182, 0.12567158, 0.11692595, 0.1574852, 0.22198835, 0.23783006, 0.2099016, 0.30435383, 0.27600172, 0.22705643, 0.21233377, 0.24604177, 0.19158858, 0.2085048, 0.1677767, 0.21317381, 0.25759587, 0.22358978, 0.17541185, 0.28944081, 0.15559414, 0.21320252, 0.27949777, 0.18973364, 0.23403537, 0.10058268, 0.27891368], 'global_abs_mean': 0.09641435, 'global_l2': 1.18000734}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.1800074, 'delta_l2': 0.25435662, 'delta_max_abs': 0.04771059, 'relative_delta': 0.21766457, 'changed': True}",34
20260519_1122_37d6f312,3,subject=34,SignalJEPA_PreLocal,full,32,8,57,100,0.24983766674995422,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]","{'prediction_histogram': [5, 3], 'collapse_ratio': 0.625, 'collapse_threshold': 0.9, 'collapse_flag': False, 'majority_predicted_class': 0}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'weight_shape': [4, 29], 'channel_names': ['Fp1', 'Fp2', 'Fz', 'F3', 'F4', 'F7', 'F8', 'FCz', 'FC3', 'FC4', 'FT7', 'FT8', 'Cz', 'C3', 'C4', 'T7', 'T8', 'CP3', 'CP4', 'TP7', 'TP8', 'Pz', 'P3', 'P4', 'P7', 'P8', 'Oz', 'O1', 'O2'], 'channel_abs_mean': [0.12456899, 0.08624166, 0.07441009, 0.04986201, 0.03899835, 0.08944689, 0.0966551, 0.09339973, 0.10060769, 0.13782686, 0.11050791, 0.09856714, 0.07630561, 0.11702439, 0.09074631, 0.09029239, 0.06391977, 0.08379765, 0.12280553, 0.10910839, 0.09142576, 0.14296596, 0.07299358, 0.09316552, 0.11670133, 0.09101909, 0.10104741, 0.03228715, 0.14667852], 'channel_signed_mean': [0.12456899, -0.05485844, 0.06227775, -0.03386884, 0.03899835, 0.02061711, 0.04090538, 0.07236764, -0.00539717, -0.01243274, 0.03205142, -0.02320914, 0.0226773, 0.08407182, 0.02174532, 0.0579203, -0.00462164, -0.08034015, 0.06872361, -0.02204216, -0.00932137, 0.03599984, -0.04595126, 0.01557422, 0.02350275, -0.01019948, -0.04302122, 0.03040423, -0.00030546], 'channel_l2': [0.26774436, 0.18704852, 0.1890635, 0.12714483, 0.1088555, 0.19319142, 0.20259844, 0.21701744, 0.20827381, 0.28389111, 0.2530283, 0.20384622, 0.16820101, 0.25399849, 0.22995347, 0.19227308, 0.15280633, 0.21198966, 0.26956162, 0.23443404, 0.1871257, 0.30747992, 0.16185383, 0.22043394, 0.25848648, 0.21257143, 0.22432315, 0.08417102, 0.30748156], 'global_abs_mean': 0.0945992, 'global_l2': 1.17145872}","{'available': True, 'parameter_name': 'spatial_conv.1.weight', 'shape': [4, 29], 'init_l2': 1.16857152, 'final_l2': 1.17145874, 'delta_l2': 0.2584386, 'delta_max_abs': 0.04958971, 'relative_delta': 0.22115771, 'changed': True}",34
