sweep_group,n_runs,mean_metric,median_metric,max_metric,min_metric,std_metric,mean_collapse,mean_std_balacc,window_mismatch_rate,mean_n_folds,mean_metric_pct,median_metric_pct,max_metric_pct,min_metric_pct
E_controls,1,0.5795,0.5795,0.5795,0.5795,,0.404,0.15489431881124627,1.0,250.0,57.95,57.95,57.95,57.95
D_trainhp,24,0.5540416666666667,0.5555,0.5615,0.547,0.0040751544827123815,0.4498333333333333,0.1502080850995382,0.0,250.0,55.40416666666667,55.55,56.15,54.7
B_artifact,40,0.5479499999999999,0.548,0.5615,0.5325,0.007628220211146482,0.46180000000000004,0.14858811306426717,0.0,250.0,54.794999999999995,54.800000000000004,56.15,53.25
A_core128,96,0.54709375,0.54775,0.57,0.5225,0.01275215410079909,0.42975,0.14853980242731618,0.0,250.0,54.709375,54.775,56.99999999999999,52.25
E_finaleval,8,0.546375,0.5451875,0.5565,0.536875,0.006653073940453615,0.45525,0.13704422317571865,0.25,375.0,54.6375,54.518750000000004,55.65,53.6875
C_filter,32,0.540171875,0.5487500000000001,0.569,0.4925,0.021675245794268112,0.437625,0.14494057738118502,0.5,250.0,54.0171875,54.87500000000001,56.89999999999999,49.25
