subject_id,fold_id,cv_scheme,branches,fusion,twfb_classifier,n_train,n_test,y_test_counts,selected_window_idx,selected_band_idx,selected_inner_score,accuracy,balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts
1,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.65625,0.875,0.875,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]"
1,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.71875,0.875,0.875,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]"
1,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.8125,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
1,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.75,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
1,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.75,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
2,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,2,0.65625,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
2,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.59375,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
2,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.59375,0.125,0.125,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]"
2,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,1,0.625,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
2,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.53125,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
3,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.75,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
3,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.5625,0.25,0.25,0.5,0.0,"[[2, 2], [4, 0]]",False,0.75,"[6, 2]"
3,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.78125,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
3,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.65625,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
3,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.65625,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
4,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,2,0.71875,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
4,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.59375,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
4,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,2,0.71875,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
4,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.5625,0.125,0.125,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]"
4,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.65625,0.25,0.25,0.0,0.5,"[[0, 4], [2, 2]]",False,0.75,"[2, 6]"
5,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.71875,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
5,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.59375,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
5,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.6875,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
5,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.6875,0.625,0.625,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]"
5,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.59375,0.875,0.875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]"
6,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,1,0.625,0.25,0.25,0.5,0.0,"[[2, 2], [4, 0]]",False,0.75,"[6, 2]"
6,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,1,0.59375,0.625,0.625,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]"
6,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.53125,0.375,0.375,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]"
6,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.59375,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
6,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.625,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
7,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.78125,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
7,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.78125,0.625,0.625,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]"
7,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.84375,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
7,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.75,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
7,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.78125,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]"
8,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.625,0.0,0.0,0.0,0.0,"[[0, 4], [4, 0]]",False,0.5,"[4, 4]"
8,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,2,0.65625,0.125,0.125,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]"
8,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.53125,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
8,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.53125,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
8,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,2,0.5625,0.625,0.625,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]"
9,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.625,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
9,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,2,0.59375,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
9,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.5,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
9,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.75,0.125,0.125,0.0,0.25,"[[0, 4], [3, 1]]",False,0.625,"[3, 5]"
9,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.6875,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
10,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,1,0.5,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
10,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.625,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
10,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,2,0.71875,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
10,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.625,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
10,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,1,0.59375,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
11,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.71875,1.0,1.0,1.0,1.0,"[[4, 0], [0, 4]]",False,0.5,"[4, 4]"
11,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.65625,0.875,0.875,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]"
11,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.84375,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
11,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.75,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]"
11,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,0,0.75,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
12,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.71875,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
12,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,2,0.59375,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
12,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.625,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
12,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.5625,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
12,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,2,0.59375,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
13,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,2,0.65625,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
13,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,0,0.65625,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]"
13,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.59375,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
