subject_id,fold_id,feature_set,cv_scheme,classifier,accuracy,balanced_accuracy,train_accuracy,train_balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,y_train_counts,y_test_counts,n_train,n_test,meta_sjepa_dim,meta_sjepa_pca,meta_sjepa_pca_var,meta_fused_dim
1,0,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.875,0.875,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.9461982250213623,15
1,1,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.90625,0.90625,0.0,1.0,"[[0, 4], [0, 4]]",True,1.0,"[0, 8]","[16, 16]","[4, 4]",32,8,64,15,0.9453242421150208,15
1,2,sjepa,sjepa_5fold,shrinkage_lda,0.625,0.625,0.90625,0.90625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.958979606628418,15
1,3,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.8125,0.8125,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,64,15,0.9717076420783997,15
1,4,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.875,0.875,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]","[16, 16]","[4, 4]",32,8,64,15,0.9666880965232849,15
2,0,sjepa,sjepa_5fold,shrinkage_lda,0.25,0.25,0.78125,0.78125,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,64,15,0.9420822262763977,15
2,1,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.96875,0.96875,0.0,0.75,"[[0, 4], [1, 3]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,64,15,0.9469092488288879,15
2,2,sjepa,sjepa_5fold,shrinkage_lda,0.625,0.625,0.9375,0.9375,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]","[16, 16]","[4, 4]",32,8,64,15,0.944689154624939,15
2,3,sjepa,sjepa_5fold,shrinkage_lda,0.375,0.375,0.78125,0.78125,0.0,0.75,"[[0, 4], [1, 3]]",False,0.875,"[1, 7]","[16, 16]","[4, 4]",32,8,64,15,0.9358462691307068,15
2,4,sjepa,sjepa_5fold,shrinkage_lda,0.5,0.5,0.84375,0.84375,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]","[16, 16]","[4, 4]",32,8,64,15,0.9396349191665649,15
