dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
Liu2024_SourceMAT,1,1,0,Fp1,0.11375587,0.11375587,0.12342538,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,1,Fp2,0.0933881,-0.06242272,0.09796353,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,2,Fz,0.07427829,0.06295181,0.08747782,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,3,F3,0.03568715,-0.02035637,0.04133364,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,4,F4,0.03843862,0.03843862,0.05748666,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,5,F7,0.09830394,0.03935206,0.10768923,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,6,F8,0.10496926,0.02937181,0.11341886,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,7,FCz,0.11421314,0.07683437,0.12413666,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,8,FC3,0.11783826,0.02016939,0.1215779,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,9,FC4,0.1546655,-0.00622476,0.15636259,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,10,FT7,0.1298687,0.05040897,0.13785186,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,11,FT8,0.08960989,-0.04165516,0.09971303,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,12,Cz,0.07389598,0.02180017,0.08165846,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,13,C3,0.11647517,0.09323782,0.12540534,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
Liu2024_SourceMAT,1,1,14,C4,0.09695072,0.00077501,0.11787631,0.75,0.75,"[2, 6]",0.75,False,0.14270767,0.02509686,0.12212147,True
