model_name,author_style_confusion_matrix_right_left_order,n_predictions,accuracy_from_matrix
CSP_LDA,"[[513, 487], [485, 515]]",2000,51.4
FBCSP_SVM,"[[554, 446], [507, 493]]",2000,52.349999999999994
