method_name,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,n_folds_total,n_subjects,paper_target_accuracy,mean_accuracy_percent,delta_vs_paper_percent
CSP_LDA,0.514,0.19642640691448113,0.514,0.19642640691448113,0.51375,0.2530220209236523,250,50,55.57,51.4,-4.170000000000002
FBCSP_SVM,0.5235,0.19663394833688871,0.5235,0.19663394833688871,0.507,0.2661354208837974,250,50,57.57,52.349999999999994,-5.220000000000006
